"Produto","Período","Valor"
"GASA",2023-02-01,133
"GASA",2023-03-01,125
"GASA",2023-04-01,126
"GASA",2023-05-01,130
"GASA",2023-06-01,132
"GASA",2023-07-01,137
"GASA",2023-08-01,132
"GASA",2023-09-01,144
"GASA",2023-10-01,137
"GASA",2023-11-01,145
"GASA",2023-12-01,141
"GASA",2024-01-01,135
"GASA",2024-02-01,134
"GASN",2023-02-01,14
"GASN",2023-03-01,14
"GASN",2023-04-01,16
"GASN",2023-05-01,15
"GASN",2023-06-01,20
"GASN",2023-07-01,17
"GASN",2023-08-01,16
"GASN",2023-09-01,14
"GASN",2023-10-01,16
"GASN",2023-11-01,18
"GASN",2023-12-01,16
"GASN",2024-01-01,19
"GASN",2024-02-01,15
"Gás Total",2023-02-01,147
"Gás Total",2023-03-01,139
"Gás Total",2023-04-01,142
"Gás Total",2023-05-01,144
"Gás Total",2023-06-01,152
"Gás Total",2023-07-01,154
"Gás Total",2023-08-01,148
"Gás Total",2023-09-01,158
"Gás Total",2023-10-01,153
"Gás Total",2023-11-01,162
"Gás Total",2023-12-01,157
"Gás Total",2024-01-01,154
"Gás Total",2024-02-01,149
