"Poço","Campo","Bacia","Localização","Petróleo (bbl/d)","mes"
"9-BRSA-1254-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",50751,2024-02-01
"7-ATP-6-RJS","Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu","Santos","Mar",50399,2024-02-01
"7-BUZ-50D-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",49518,2024-02-01
"7-BUZ-18-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",49377,2024-02-01
"9-ITP-1-RJS","Itapu / Itapu_Eco","Santos","Mar",48871,2024-02-01
"7-BUZ-33-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",48801,2024-02-01
"7-BUZ-45DA-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",48433,2024-02-01
"7-MRO-10B-RJS","Anc_Mero / Mero","Santos","Mar",48111,2024-02-01
"7-MRO-6DB-RJS","Anc_Mero / Mero","Santos","Mar",47473,2024-02-01
"3-BRSA-1201-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",44813,2024-02-01
"7-BUZ-10-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",44135,2024-02-01
"7-ITP-5D-RJS","Itapu / Itapu_Eco","Santos","Mar",43022,2024-02-01
"7-BUZ-23-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",42069,2024-02-01
"9-ATP-1-RJS","Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu","Santos","Mar",42032,2024-02-01
"7-BUZ-25-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",42008,2024-02-01
"7-BUZ-12-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",41823,2024-02-01
"7-BUZ-30-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",40251,2024-02-01
"3-BRSA-1322-RJS","Anc_Mero / Mero","Santos","Mar",35771,2024-02-01
"1-BRSA-976-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",35421,2024-02-01
"7-ITP-3A-RJS","Itapu / Itapu_Eco","Santos","Mar",34479,2024-02-01
"9-BUZ-4-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",34424,2024-02-01
"7-MRO-3-RJS","Anc_Mero / Mero","Santos","Mar",34024,2024-02-01
"3-BRSA-1255-RJS","Anc_Mero / Mero","Santos","Mar",33948,2024-02-01
"7-MRO-16D-RJS","Anc_Mero / Mero","Santos","Mar",32693,2024-02-01
"7-SEP-6-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",32453,2024-02-01
"7-LL-27-RJS","Tupi","Santos","Mar",32442,2024-02-01
"7-TUP-121DA-RJS","Tupi","Santos","Mar",31511,2024-02-01
"9-BUZ-3-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",31427,2024-02-01
"9-BUZ-1-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",27746,2024-02-01
"3-BRSA-1064-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",27741,2024-02-01
