"Produto","Período","Valor"
"Petróleo",2023-02-01,3.262
"Petróleo",2023-03-01,3.115
"Petróleo",2023-04-01,3.141
"Petróleo",2023-05-01,3.201
"Petróleo",2023-06-01,3.367
"Petróleo",2023-07-01,3.513
"Petróleo",2023-08-01,3.462
"Petróleo",2023-09-01,3.672
"Petróleo",2023-10-01,3.543
"Petróleo",2023-11-01,3.678
"Petróleo",2023-12-01,3.585
"Petróleo",2024-01-01,3.519
"Petróleo",2024-02-01,3.448
"Gás Natural",2023-02-01,922
"Gás Natural",2023-03-01,871
"Gás Natural",2023-04-01,891
"Gás Natural",2023-05-01,908
"Gás Natural",2023-06-01,958
"Gás Natural",2023-07-01,969
"Gás Natural",2023-08-01,930
"Gás Natural",2023-09-01,994
"Gás Natural",2023-10-01,959
"Gás Natural",2023-11-01,1.02
"Gás Natural",2023-12-01,985
"Gás Natural",2024-01-01,968
"Gás Natural",2024-02-01,935
"Produção Total",2023-02-01,4.183
"Produção Total",2023-03-01,3.987
"Produção Total",2023-04-01,4.032
"Produção Total",2023-05-01,4.11
"Produção Total",2023-06-01,4.324
"Produção Total",2023-07-01,4.482
"Produção Total",2023-08-01,4.392
"Produção Total",2023-09-01,4.666
"Produção Total",2023-10-01,4.502
"Produção Total",2023-11-01,4.698
"Produção Total",2023-12-01,4.57
"Produção Total",2024-01-01,4.487
"Produção Total",2024-02-01,4.383
