"Poço","Campo","Bacia","Localização","Gás natural (Mm³/d)","mes"
"7-MRO-10B-RJS","Anc_Mero / Mero","Santos","Mar",3082,2024-02-01
"7-MRO-6DB-RJS","Anc_Mero / Mero","Santos","Mar",3052,2024-02-01
"3-BRSA-1322-RJS","Anc_Mero / Mero","Santos","Mar",2451,2024-02-01
"3-BRSA-1255-RJS","Anc_Mero / Mero","Santos","Mar",2165,2024-02-01
"7-MRO-3-RJS","Anc_Mero / Mero","Santos","Mar",2153,2024-02-01
"7-MRO-16D-RJS","Anc_Mero / Mero","Santos","Mar",2143,2024-02-01
"7-BUZ-23-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1995,2024-02-01
"7-BUZ-50D-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1956,2024-02-01
"7-BUZ-18-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1940,2024-02-01
"7-BUZ-45DA-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1908,2024-02-01
"7-ATP-6-RJS","Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu","Santos","Mar",1875,2024-02-01
"7-BUZ-10-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1866,2024-02-01
"7-BUZ-33-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1864,2024-02-01
"3-BRSA-1201-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",1847,2024-02-01
"9-BUZ-3-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1742,2024-02-01
"7-BUZ-12-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1672,2024-02-01
"1-BRSA-976-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",1641,2024-02-01
"7-LL-27-RJS","Tupi","Santos","Mar",1599,2024-02-01
"7-TUP-121DA-RJS","Tupi","Santos","Mar",1544,2024-02-01
"7-BUZ-25-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1514,2024-02-01
"3-BRSA-883-RJS","Anc_Tupi / Sul De Tupi / Tupi","Santos","Mar",1514,2024-02-01
"9-LL-20D-RJS","Tupi","Santos","Mar",1502,2024-02-01
"9-BRSA-1254-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",1497,2024-02-01
"7-BUZ-30-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1468,2024-02-01
"9-ATP-1-RJS","Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu","Santos","Mar",1458,2024-02-01
"9-LL-2-RJS","Tupi","Santos","Mar",1408,2024-02-01
"9-BUZ-4-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1354,2024-02-01
"7-BUZ-31D-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1347,2024-02-01
"7-SPH-14D-SPS","Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá","Santos","Mar",1313,2024-02-01
"7-BUZ-29D-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",1259,2024-02-01
