Campo,Petróleo (bbl/d) Pré Sal,Petróleo (bbl/d) Pós Sal,Gás natural (Mm³/d) Pré Sal,Gás natural (Mm³/d) Pós Sal,Produção (boe/d) Pré Sal,Produção (boe/d) Pós Sal,mes
7-BUZ-29D-RJS,NA,NA,18101.6978832691,938.445299354839,24004.3405116041,NA,2022-03-01
7-SPH-7D-SPS,NA,NA,19075.0308466746,661.252665483871,23234.1844745617,NA,2022-03-01
3-BRSA-839A-RJS,NA,NA,17814.3612417294,834.480968709677,23063.0879835292,NA,2022-03-01
7-LL-100-RJS,NA,NA,18320.2417264702,750.956727096774,23043.6168581307,NA,2022-03-01
7-LL-69-RJS,NA,NA,19183.1005847161,611.649883870968,23030.2621407865,NA,2022-03-01
8-LPA-2D-SPS,NA,NA,15589.0648112806,1165.5400616129,22920.0903462141,NA,2022-03-01
7-LL-68-RJS,NA,NA,18938.2096729254,632.219422903226,22914.7497212963,NA,2022-03-01
9-LL-19-RJS,NA,NA,18613.0419404524,605.011447419355,22418.4489925451,NA,2022-03-01
4-BRSA-1047-RJS,NA,NA,18491.1135515765,611.253444516129,22335.7815794284,NA,2022-03-01
7-LL-90D-RJS,NA,NA,17682.0818687672,651.636835483871,21780.753752962,NA,2022-03-01
7-SRR-3D-RJS,NA,NA,17870.6341144228,564.433200967742,21420.8117062017,NA,2022-03-01
7-LL-95D-RJS,NA,NA,17725.8861386361,579.500128387097,21370.8318411665,NA,2022-03-01
3-BRSA-830-RJS,NA,NA,15337.1773989019,889.330744516129,20930.8988090669,NA,2022-03-01
9-BBG-1D-RJS,NA,NA,19130.5648148079,245.488794193548,20674.6426874145,NA,2022-03-01
7-SPH-4D-SPS,NA,NA,16931.4493979068,578.443383870968,20569.7483782123,NA,2022-03-01
7-TUP-121DA-RJS,NA,NA,15143.0101526135,798.004518709677,20162.3069544389,NA,2022-03-01
8-LL-81D-RJS,NA,NA,15556.4328570037,719.626990967742,20082.7499010625,NA,2022-03-01
7-LL-73D-RJS,NA,NA,12998.2393190355,1053.90813774194,19627.1212628861,NA,2022-03-01
4-BRSA-1226-RJS,NA,NA,17820.5932260568,225.986780967742,19242.0071408555,NA,2022-03-01
9-BRSA-1191-RJS,NA,NA,14884.3882690734,690.029590322581,19224.5432865803,NA,2022-03-01
7-LL-46-RJS,NA,NA,12344.8510197341,1066.73034709677,19054.3822242068,NA,2022-03-01
7-BBG-2D-RJS,NA,NA,17456.3618636567,229.612526129032,18900.5810266284,NA,2022-03-01
7-BUZ-36DA-RJS,NA,NA,13809.5187851576,743.01738516129,18482.9569645189,NA,2022-03-01
7-LL-34D-RJS,NA,NA,15132.6956859468,509.600891935484,18337.9884720515,NA,2022-03-01
3-BRSA-861-SPS,NA,NA,13710.400012829,537.167840322581,17089.0836665684,NA,2022-03-01
7-LPA-6D-SPS,NA,NA,13576.427059829,379.733310967742,15964.877436487,NA,2022-03-01
7-LL-67D-RJS,NA,NA,9640.91322442283,959.828195483871,15678.0502066592,NA,2022-03-01
7-LPA-5D-SPS,NA,NA,13203.2201689935,354.432003548387,15432.5301292322,NA,2022-03-01
7-SPH-1-SPS,NA,NA,12605.3087669301,408.882359032258,15177.1011175948,NA,2022-03-01
3-BRSA-496-RJS,NA,NA,11227.8515727919,569.986141612903,14812.9561061701,NA,2022-03-01
7-LL-97-RJS,NA,NA,11749.8248367054,341.321257419355,13896.6706948342,NA,2022-03-01
3-BRSA-1172-RJS,NA,NA,11270.5314965149,404.652170967742,13815.7167679895,NA,2022-03-01
6-BRSA-639-ESS,NA,NA,11249.2720259606,396.622741935484,13743.9537144139,NA,2022-03-01
7-LL-70-RJS,NA,NA,7471.12420490644,806.29080483871,12542.540172089,NA,2022-03-01
7-SLL-3-RJS,NA,NA,7477.32532249853,607.294977096774,11297.0953423916,NA,2022-03-01
7-SPH-6-SPS,NA,NA,9427.47438174098,284.67668516129,11218.0366428353,NA,2022-03-01
7-LL-102D-RJS,NA,NA,7305.8089704167,533.401691290323,10660.8042623115,NA,2022-03-01
7-BFR-12PA-ESS,NA,NA,8437.93269361677,345.569559354839,10611.4995637424,NA,2022-03-01
7-MLL-73D-RJS,NA,NA,9435.37137210806,183.848875483871,10591.7458676153,NA,2022-03-01
7-SLL-8D-RJS,NA,NA,6827.21220030707,571.62717,10422.6384904448,NA,2022-03-01
3-BRSA-1181D-RJS,NA,NA,8612.96671527376,272.122210322581,10324.5637149828,NA,2022-03-01
7-JUB-57DPA-ESS,NA,NA,8845.09116724387,218.33869,10218.4000429928,NA,2022-03-01
6-BRSA-1222A-ESS,NA,NA,8284.82167486065,246.841266451613,9837.40634100066,NA,2022-03-01
7-LL-60D-RJS,NA,NA,5696.82895680872,458.386822258065,8579.99497531572,NA,2022-03-01
7-LL-58-RJS,NA,NA,6124.7294707849,305.342864193548,8045.27807141812,NA,2022-03-01
7-LL-79D-RJS,NA,NA,6462.69495995561,239.05579,7966.31045845551,NA,2022-03-01
7-LL-85-RJS,NA,NA,5574.51129970774,377.353436129032,7947.99271580649,NA,2022-03-01
7-LL-45D-RJS,NA,NA,5788.14307318097,316.017407096774,7775.83252051233,NA,2022-03-01
7-LL-31D-RJS,NA,NA,5872.81791568065,289.266347741935,7692.24828237135,NA,2022-03-01
9-BRSA-908D-RJS,NA,NA,5820.20671674784,283.170631290323,7601.29618514402,NA,2022-03-01
7-BFR-7-ESS,NA,NA,5639.94196126968,170.837812580645,6714.47934321754,NA,2022-03-01
7-JUB-58DPA-ESS,NA,NA,5431.19392091581,160.381044516129,6439.9602185238,NA,2022-03-01
7-LL-114D-RJS,NA,NA,3825.68075927613,213.416536451613,5168.03022441485,NA,2022-03-01
3-BRSA-883-RJS,NA,NA,3258.79553719944,302.24576516129,5159.86397336858,NA,2022-03-01
3-BRSA-1123-RJS,NA,NA,4110.37622640903,87.0186916129032,4657.70726310279,NA,2022-03-01
7-LL-11-RJS,NA,NA,2534.29815007089,174.179048387097,3629.85127040654,NA,2022-03-01
6-BRSA-770D-RJS,NA,NA,2987.22169516806,86.6356651612903,3532.1435682562,NA,2022-03-01
8-JUB-39-ESS,NA,NA,2657.90246085032,84.6764996774193,3190.50155528635,NA,2022-03-01
9-BRSA-1284-RJS,NA,NA,2390.21929035888,81.5337435483871,2903.05104586696,NA,2022-03-01
7-BAZ-8-ESS,NA,NA,2386.18753838065,79.8924683870968,2888.69598496649,NA,2022-03-01
7-CRT-49-RJS,NA,NA,1828.47414362258,83.8748006451613,2356.03070346852,NA,2022-03-01
7-LL-3D-RJS,NA,NA,1845.93264953029,70.3725393548387,2288.56255128975,NA,2022-03-01
8-LL-37D-RJS,NA,NA,1534.21512183323,83.3202664516129,2058.28376696324,NA,2022-03-01
7-MLL-78D-RJS,NA,NA,1786.78771770774,24.9419893548387,1943.6680917717,NA,2022-03-01
7-BR-69DA-RJS,NA,NA,1712.98876828645,35.8895158064516,1938.72700370103,NA,2022-03-01
7-JUB-44-ESS,NA,NA,1564.92745247484,46.0164558064516,1854.36221637082,NA,2022-03-01
7-MLL-77D-RJS,NA,NA,727.437830695161,11.3611219354839,798.897129056187,NA,2022-03-01
7-JUB-55-ESS,NA,NA,559.051906905484,16.4266067741935,662.372142459874,NA,2022-03-01
3-BRSA-1053-RJS,NA,NA,0.48410841496129,0.0319490322580645,0.685061757548387,NA,2022-03-01
7-SPH-16D-SPS,NA,NA,0.3757532494,0.0170212903225806,0.482813931483871,NA,2022-03-01
7-LL-48D-RJS,NA,NA,0.364393040951613,0.0141248387096774,0.453235592716129,NA,2022-03-01
7-SPH-15D-SPS,NA,NA,0.169609799077419,0.00545161290322581,0.203899408432258,NA,2022-03-01
1-BRSA-1146-RJS,NA,NA,0.157026121135484,0.00682612903225806,0.199961175783871,NA,2022-03-01
9-BRSA-928-SPS,NA,NA,0.0831573751129032,0.00488516129032258,0.113884111448387,NA,2022-03-01
Total Geral,NA,NA,2076981.4769633468,87936.7179748387,2630086.7250486678,NA,2022-03-01
Tupi,806180.561840863,0,38060.20485451612,0,1045572.018936847,0,2022-08-01
Búzios,572031.2871929957,0,23465.57991580645,0,719625.3264032343,0,2022-08-01
Sapinhoá,187339.70733042157,0,9151.693463548387,0,244902.12039438286,0,2022-08-01
Sépia,146049.9422328414,0,4214.064236129032,0,172555.60560588815,0,2022-08-01
Atapu,127000.06955284116,0,4767.333555806451,0,156985.69182548815,0,2022-08-01
Mero,111276.84141224358,0,7057.802089354838,0,155669.07557188853,0,2022-08-01
Sururu,69735.04596330905,0,2644.745139354839,0,86369.99038827451,0,2022-08-01
Lapa,56323.170883729035,0,2189.014005483871,0,70091.65306556155,0,2022-08-01
Berbigão,60433.965483951615,0,877.6041325806451,0,65953.92873309868,0,2022-08-01
Sul de Tupi,47659.534228075274,0,2123.179492903226,0,61013.929834332914,0,2022-08-01
Jubarte,39424.09427152161,50013.374911005485,1488.5339251612902,479.4719474193549,48786.68983934034,53029.162360603215,2022-08-01
Oeste de Atapu,26373.05451143116,0,989.9927467741936,0,32599.92079001895,0,2022-08-01
Sépia Leste,20049.913590858578,0,578.5118606451613,0,23688.643277063118,0,2022-08-01
Sul de Berbigão,19982.469096481294,0,277.18308258064513,0,21725.89802112786,0,2022-08-01
Marlim Leste,10167.255083987742,50455.733393260656,251.8813387096774,870.9002738709678,11751.540847017259,55933.530644857005,2022-08-01
Marlim Sul,9136.493195013549,81872.9842808416,76.39883870967742,1713.6461480645162,9617.027374718065,92651.49295939927,2022-08-01
Albacora,7456.932332111935,18610.885878801193,250.46765064516129,253.74462419354845,9032.326265816377,20206.891353500017,2022-08-01
Anc_Mero,4035.9476243983513,0,255.98245903225805,0,5646.028655044038,0,2022-08-01
Sudoeste de Sapinhoá,4227.302008814581,0,206.50706096774198,0,5526.192185960094,0,2022-08-01
Tambuatá,3692.114158436694,0,151.45605225806452,0,4644.743950489991,0,2022-08-01
Anc_Tupi,3570.415132554809,0,159.05804129032262,0,4570.859991243094,0,2022-08-01
Noroeste de Sapinhoá,2458.955196351539,0,120.12191580645161,0,3214.4992236101166,0,2022-08-01
Barracuda,2078.0978249766968,25891.728174794505,37.340471290322576,479.5772106451612,2312.962294703281,28908.177710082546,2022-08-01
Caratinga,1918.2441461323353,4070.0844826738844,34.46812741935484,119.34319032258064,2135.042118655868,4820.730474596756,2022-08-01
Anc_Norte_Atapu,1471.019373821229,0,55.219182258064514,0,1818.3375385798258,0,2022-08-01
Nordeste de Sapinhoá,511.6338814832903,0,24.993721290322576,0,668.8396395923742,0,2022-08-01
Total,2340584.0675496464,230914.79112137732,99509.33736032258,3916.6833945161293,2966478.892771977,255549.9855030388,2022-08-01
Tupi,806180.561840863,0,38060.20485451612,0,1045572.018936847,0,2022-12-01
Tupi,837917.6727946042,0,39107.74108387096,0,1083897.9337413467,0,2022-12-01
Búzios,508670.8176031245,0,21090.86264096774,0,641328.3363509098,0,2022-12-01
Mero,187313.74087243792,0,12106.805613870967,0,263463.2478906197,0,2022-12-01
Sapinhoá,171334.91334751074,0,8208.91838451613,0,222967.45029162412,0,2022-12-01
Sépia,151853.7160357525,0,4683.363648387097,0,181311.18354501415,0,2022-12-01
Atapu,123187.28749765528,0,4555.158254193549,0,151838.3674364644,0,2022-12-01
Sururu,76661.5030628669,0,2821.665784193549,0,94409.24472894533,0,2022-12-01
Sul de Tupi,50097.272460814325,0,2197.225336451613,0,63917.40235428105,0,2022-12-01
Jubarte,45386.10466138679,54004.94364878304,1691.615259677419,691.3010258064517,56026.043237858416,58353.09575391072,2022-12-01
Berbigão,39762.94339580951,0,560.9878806451613,0,43291.450577370255,0,2022-12-01
Oeste de Atapu,25581.285577381637,0,945.9320561290322,0,31531.018483342585,0,2022-12-01
Sépia Leste,20762.072470752082,0,640.0374554838709,0,24787.78645862909,0,2022-12-01
Lapa,19787.336465806453,0,708.0264048387097,0,24240.688027225016,0,2022-12-01
Sul de Berbigão,18725.150529841496,0,300.37318709677425,0,20614.44080577466,0,2022-12-01
Marlim Sul,12915.266292166769,75824.94232428598,222.38064741935486,1589.0261012903227,14313.998312111502,85819.61458644285,2022-12-01
Albacora,9219.472840385562,13511.36819096517,311.88703354838714,238.67524774193546,11181.183022868543,15012.590150964872,2022-12-01
Itapu,9030.407409132027,0,114.14665483870968,0,9748.368180203091,0,2022-12-01
Anc_Mero,6793.762623483322,0,439.10693935483874,0,9555.66184170678,0,2022-12-01
Itapu_Eco,8433.829089689661,0,106.6057529032258,0,9104.3590203579,0,2022-12-01
Sudoeste de Sapinhoá,3866.15541474402,0,185.23343354838713,0,5031.238517411001,0,2022-12-01
Anc_Tupi,3753.0383618569,0,164.60518870967738,0,4788.373723854916,0,2022-12-01
Tambuatá,3283.1608611494744,0,136.12869516129032,0,4139.38448926191,0,2022-12-01
Barracuda,3919.461033048481,13444.094978259034,32.03425838709678,156.51188354838712,4120.9504317942265,14428.524988520516,2022-12-01
Caratinga,3617.964030662364,1250.7843488259937,29.57008483870968,13.636183225806453,3803.9542459817285,1336.5533504415034,2022-12-01
Noroeste de Sapinhoá,2248.8819376680294,0,107.74738064516129,0,2926.5924899237716,0,2022-12-01
Anc_Norte_Atapu,1426.8565807243774,0,52.761592580645164,0,1758.7169733540452,0,2022-12-01
Marlim Leste,1397.6672220677742,14277.73440849856,33.32728516129032,281.4049635483871,1607.2895135481097,16047.718162274841,2022-12-01
Nordeste de Sapinhoá,467.9240094886548,0,22.41895677419355,0,608.9349879965451,0,2022-12-01
Total,2347415.664482012,172313.86789961776,101576.66689419355,2970.5554051612903,2986313.5996797793,190998.0969925553,2022-12-01
Tupi,813750.7242273714,0,38441.82107419354,0,1055542.4748380447,0,2022-07-01
Búzios,570830.5093232171,0,23452.554600322583,0,718342.6217738721,0,2022-07-01
Sapinhoá,182252.55723106145,0,8538.824390322583,0,235960.14026955634,0,2022-07-01
Sépia,145897.97829687982,0,4250.062822580646,0,172630.0659389758,0,2022-07-01
Atapu,119458.85047168039,0,4524.826991612903,0,147919.15253179712,0,2022-07-01
Mero,86099.41184374856,0,5539.4542796774185,0,120941.52676660637,0,2022-07-01
Sururu,69956.15327741581,0,2633.057549032258,0,86517.5849798944,0,2022-07-01
Lapa,57302.13517286774,0,2134.575094516129,0,70728.20694810624,0,2022-07-01
Berbigão,61687.47896510484,0,934.5745987096776,0,67565.77562181496,0,2022-07-01
Sul de Tupi,47526.62263384643,0,2093.3974861290317,0,60693.69507607567,0,2022-07-01
Oeste de Atapu,24807.03187115221,0,939.6334138709677,0,30717.14751405196,0,2022-07-01
Sépia Leste,20029.051808758864,0,583.4537903225806,0,23698.865293667735,0,2022-07-01
Sul de Berbigão,19134.234247353546,0,261.62336870967744,0,20779.795528097362,0,2022-07-01
Jubarte,12580.090721264516,41597.18203261678,570.2067480645162,403.95565032258065,16166.58282730819,44137.98632157225,2022-07-01
Marlim Leste,12014.87378607355,71370.45824402646,264.6453141935484,1270.0990083870968,13679.442529741273,79359.13968796971,2022-07-01
Albacora,8677.849785977098,16429.303035392964,288.92569322580647,347.43098774193544,10495.137500485707,18614.577936402067,2022-07-01
Sudoeste de Sapinhoá,4112.510945314642,0,192.67772870967744,0,5324.417250130058,0,2022-07-01
Tambuatá,3684.3638768733745,0,151.3719816129032,0,4636.464880542029,0,2022-07-01
Anc_Tupi,3560.458073181961,0,156.82692258064515,0,4546.8696190989285,0,2022-07-01
Anc_Mero,3122.7766205998455,0,200.91285,0,4386.480273658345,0,2022-07-01
Noroeste de Sapinhoá,2392.183113097816,0,112.07761225806452,0,3097.129999454713,0,2022-07-01
Barracuda,1774.1947146152388,17279.31443323932,58.05343419354839,389.88228999999995,2139.3397855401613,19731.59995970422,2022-07-01
Caratinga,1637.7181981063743,2546.378308432616,53.58778548387096,63.8337170967742,1974.7751871206806,2947.880260565077,2022-07-01
Anc_Norte_Atapu,1383.6707513512902,0,52.41027193548387,0,1713.321403873816,0,2022-07-01
Nordeste de Sapinhoá,497.7406346647902,0,23.319946129032257,0,644.4186650266386,0,2022-07-01
Marlim,386.2969065983032,27303.78950125108,13.368844193548387,425.4560264516129,470.3843964953258,29979.8270709867,2022-07-01
Voador,200.78183570016452,0,6.948595483870968,0,244.48718106057098,0,2022-07-01
Anc_Brava,13.974486816048387,0,0.4836248387096774,0,17.016395162812902,0,2022-07-01
Total,2274772.223820693,176526.42555495922,96473.6768129032,2900.6576800000003,2881573.3209752594,194771.01123720003,2022-07-01
Tupi,806180.561840863,0,38060.20485451612,0,1045572.018936847,0,2022-11-01
Tupi,812492.37981274,0,38382.34014766666,0,1053910.0066969353,0,2022-11-01
Búzios,577973.4185513805,0,24172.335108333333,0,730012.8136391266,0,2022-11-01
Mero,175059.9067939496,0,11301.280557333333,0,246142.81425627036,0,2022-11-01
Sépia,152773.15493375633,0,4655.659719333334,0,182056.36999301633,0,2022-11-01
Atapu,128547.23341616456,0,4777.071563333333,0,158594.10590593418,0,2022-11-01
Sapinhoá,120585.54308827291,0,5617.534326333333,0,155918.76666938758,0,2022-11-01
Sururu,80330.87617518267,0,2996.9851733333335,0,99181.3434882664,0,2022-11-01
Sul de Tupi,50592.94434011049,0,2272.2767383333335,0,64885.13329164687,0,2022-11-01
Jubarte,39348.981473921085,44435.580099986626,1732.735668666667,612.6429363333333,50247.559610057375,48288.98776736539,2022-11-01
Berbigão,37013.92649340728,0,581.8211953333334,0,40673.471266026834,0,2022-11-01
Lapa,28368.49394950667,0,1066.348034,0,35075.62047724021,0,2022-11-01
Oeste de Atapu,26694.341236961634,0,992.0149586666666,0,32933.926844132824,0,2022-11-01
Sépia Leste,20972.884408238875,0,639.134625,0,24992.919763910126,0,2022-11-01
Sul de Berbigão,19450.100860526207,0,274.4331906666667,0,21176.233487513313,0,2022-11-01
Marlim Sul,12617.60568472402,78519.40476261792,202.15472666666668,1771.768813,13889.120506059287,89663.49396031346,2022-11-01
Marlim Leste,10276.759013616564,41771.55483109901,276.66627066666666,815.9900776666667,12016.93728951847,46903.97738150759,2022-11-01
Albacora,9444.78713063521,20412.028067790437,312.75542233333334,293.0209856666668,11411.959313581634,22255.074393646493,2022-11-01
Anc_Mero,6349.323043764391,0,409.8910046666667,0,8927.459583826838,0,2022-11-01
Anc_Tupi,3790.17162637048,0,170.2276653333333,0,4860.871298060733,0,2022-11-01
Tambuatá,3730.46702015273,0,156.017726,0,4711.78887332479,0,2022-11-01
Sudoeste de Sapinhoá,2721.0008816950267,0,126.759107,0,3518.291580494697,0,2022-11-01
Noroeste de Sapinhoá,1582.7635134258032,0,73.73378400000001,0,2046.5350053668433,0,2022-11-01
Barracuda,1663.614261686237,12838.172993077262,30.009254333333335,176.48241333333337,1852.3667696845803,13948.213841285395,2022-11-01
Anc_Norte_Atapu,1488.9398894713436,0,55.331976000000004,0,1836.9675054359036,0,2022-11-01
Caratinga,1535.6439322514466,1255.3722755626666,27.700850000000003,17.916774666666665,1709.8770155899465,1368.0653840288132,2022-11-01
Marlim,799.8348263077099,15622.984146081122,22.057004666666668,245.98599833333338,938.5691948301567,17170.189338258107,2022-11-01
Voador,415.7224592531733,0,11.464357333333334,0,487.8310886519467,0,2022-11-01
Nordeste de Sapinhoá,329.3250022087767,0,15.341760666666667,0,425.8217618675834,0,2022-11-01
Anc_Brava,28.934432183876662,0,0.7979233333333333,0,33.953218345109995,0,2022-11-01
Total,2326979.078251866,214855.09717621506,101352.87983933331,3933.807999,2964469.435394101,239598.00206640523,2022-11-01
Tupi,806180.561840863,0,38060.20485451612,0,1045572.018936847,0,2022-10-01
Tupi,870432.7288629042,0,42352.63523225807,0,1136822.7574731135,0,2022-10-01
Búzios,574105.29205194,0,23348.646398387104,0,720963.8416549792,0,2022-10-01
Mero,176796.66902710366,0,11537.270552258064,0,249363.90871940195,0,2022-10-01
Sapinhoá,173363.3772327994,0,8604.082881290324,0,227481.4237803681,0,2022-10-01
Sépia,132900.6067382927,0,3887.1105077419356,0,157349.793280993,0,2022-10-01
Atapu,123875.44253506641,0,4579.825640967742,0,152681.6756498817,0,2022-10-01
Sururu,77981.6543296855,0,2933.1189470967747,0,96430.41521432425,0,2022-10-01
Lapa,55599.071724761285,0,2371.4796787096775,0,70515.2283227062,0,2022-10-01
Sul de Tupi,51604.82130417156,0,2370.9679070967736,0,66517.75895590792,0,2022-10-01
Jubarte,45610.543957703696,36343.084866402605,2071.1758158064517,532.4717519354839,58637.846315721275,39692.23101644393,2022-10-01
Berbigão,51595.9849570576,0,776.1941558064516,0,56478.098720190574,0,2022-10-01
Oeste de Atapu,25724.18904812513,0,951.0545287096774,0,31706.141333348543,0,2022-10-01
Sépia Leste,18244.756840144728,0,533.627255483871,0,21601.170887959735,0,2022-10-01
Sul de Berbigão,19767.197155630987,0,279.90900129032264,0,21527.77159103687,0,2022-10-01
Marlim Leste,12548.706007904933,50598.76600597726,273.7867170967742,922.3980741935484,14270.772438967395,56400.47463702058,2022-10-01
Marlim Sul,12820.468185108448,84106.4608932513,188.00083838709676,1889.8228664516128,14002.957738403993,95993.0876568873,2022-10-01
Albacora,9282.529332004158,17525.12139092939,333.02797161290323,250.3516161290323,11377.211998134713,19099.78548957394,2022-10-01
Anc_Mero,6412.3144198206155,0,418.45022741935486,0,9044.286844745147,0,2022-10-01
Sudoeste de Sapinhoá,3911.927510511587,0,194.15028096774194,0,5133.0958892453,0,2022-10-01
Anc_Tupi,3865.976410809361,0,177.62111645161286,0,4983.17948527788,0,2022-10-01
Tambuatá,3705.5006088868713,0,150.7013174193548,0,4653.383262204304,0,2022-10-01
Noroeste de Sapinhoá,2275.5068413680547,0,112.93417193548387,0,2985.8413253495805,0,2022-10-01
Barracuda,2221.919772326832,18249.228726650133,36.73836870967742,246.87082258064513,2452.997131220648,19801.999295226102,2022-10-01
Caratinga,2051.002867543603,1709.4041974515678,33.91234032258064,23.146999354838712,2264.3050448279737,1854.994425463626,2022-10-01
Anc_Norte_Atapu,1434.8273586786452,0,53.047311290322575,0,1768.484867705629,0,2022-10-01
Nordeste de Sapinhoá,473.4638428339646,0,23.498171290322578,0,621.2628755975484,0,2022-10-01
Marlim,295.8745290532903,18283.037449595908,12.149607096774194,282.10172806451607,372.2932492666516,20057.403719793383,2022-10-01
Voador,153.78386002153871,0,6.314884516129032,0,193.50328379993226,0,2022-10-01
Anc_Brava,10.703412285390321,0,0.43951838709677415,0,13.467899431735482,0,2022-10-01
Total,2459066.840724544,226815.10353025814,108611.87134580646,4147.163858709677,3142214.875234112,252899.97624040887,2022-10-01
Tupi,806180.561840863,0,38060.20485451612,0,1045572.018936847,0,2022-09-01
Tupi,887714.2581764457,0,43143.30251633333,0,1159077.4337767041,0,2022-09-01
Búzios,535862.898726737,0,21835.778332,0,673205.795637134,0,2022-09-01
Sapinhoá,182803.6482676808,0,8809.483803000001,0,238213.62758662825,0,2022-09-01
Sépia,146324.88551979998,0,4239.664218,0,172991.56791481856,0,2022-09-01
Atapu,127987.22117241129,0,4900.866025666667,0,158812.73730930974,0,2022-09-01
Mero,83484.08087090556,0,5308.085312666666,0,116870.92895136948,0,2022-09-01
Sururu,65656.86804164683,0,2591.781419,0,81958.68072868722,0,2022-09-01
Lapa,54855.90909853667,0,2281.4943169999997,0,69206.07486854644,0,2022-09-01
Sul de Tupi,52452.91743363637,0,2408.1304539999996,0,67599.60044451011,0,2022-09-01
Berbigão,57543.96112294059,0,853.87293,0,62914.659616783894,0,2022-09-01
Jubarte,43944.878446880866,54573.75275059986,1888.2382006666667,608.526736,55821.537963816074,58401.270299960015,2022-09-01
Oeste de Atapu,26578.048124292935,0,1017.7223313333333,0,32979.328221136646,0,2022-09-01
Sépia Leste,20087.658146450613,0,582.0262573333333,0,23748.492720088387,0,2022-09-01
Sul de Berbigão,19825.911971985,0,282.81728533333336,0,21604.778961447453,0,2022-09-01
Marlim Sul,12591.518846607856,84962.54971321864,176.00557266666667,1932.796282333333,13698.560457622383,97119.47109780167,2022-09-01
Marlim Leste,10674.507133151217,47160.30849920235,256.942073,833.0968710000001,12290.623953327347,52400.32952938686,2022-09-01
Albacora,5854.72474643684,12416.473490916145,209.05815,179.10495566666668,7169.66078888834,13543.009632117903,2022-09-01
Sudoeste de Sapinhoá,4124.94629188473,0,198.785133,0,5375.267009279461,0,2022-09-01
Anc_Tupi,3929.511563123502,0,180.4051496666666,0,5064.225677548398,0,2022-09-01
Tambuatá,3458.6692177359027,0,140.93667333333332,0,4345.134115034636,0,2022-09-01
Anc_Mero,3027.92003129394,0,192.521229,0,4238.84198267043,0,2022-09-01
Noroeste de Sapinhoá,2399.4165285099,0,115.63019166666665,0,3126.708464356817,0,2022-09-01
Marlim,1618.75431991362,14292.020445429884,58.40261566666666,222.776097,1986.0956759599767,15693.239768101454,2022-09-01
Barracuda,1763.6923028798267,21790.826685514134,31.844941666666667,487.0685796666666,1963.9909354242434,24854.39550858733,2022-09-01
Anc_Norte_Atapu,1482.4533656635936,0,56.76586466666667,0,1839.4998689026402,0,2022-09-01
Caratinga,1628.0236674223065,1787.2513586075365,29.39533066666667,25.700867999999996,1812.9147122028132,1948.9049351626165,2022-09-01
Voador,841.3643702936167,0,30.355366,0,1032.2938549140767,0,2022-09-01
Nordeste de Sapinhoá,499.24568488450666,0,24.059130666666665,0,650.5730455430133,0,2022-09-01
Anc_Brava,58.559263265800006,0,2.112744333333333,0,71.84802370104333,0,2022-09-01
Total,2359076.4524534177,236983.18294348853,101846.48356833332,4289.070389666666,2999671.4832663564,263960.6207711178,2022-09-01
Tupi,806180.561840863,0,38060.20485451612,0,1045572.018936847,0,2023-04-01
Tupi,831710.7925489326,0,39969.17879999999,0,1083109.3330569605,0,2023-04-01
Búzios,576974.2098287811,0,24631.356833333335,0,731900.7643526495,0,2023-04-01
Sapinhoá,175222.619519997,0,8300.184266666667,0,227429.2015223197,0,2023-04-01
Mero,131731.65300693735,0,8413.536666666665,0,184651.20006830402,0,2023-04-01
Sépia,144187.01466548236,0,4796.367,0,174355.25178575236,0,2023-04-01
Atapu,131049.635490376,0,4888.7354000000005,0,161798.85229665,0,2023-04-01
Jubarte,60795.05170802001,56938.62138648499,2239.1391666666673,742.0087000000002,74878.81162991168,61605.715127831994,2023-04-01
Sul de Tupi,50947.103738792015,0,2343.6110666666664,0,65687.97206202269,0,2023-04-01
Lapa,46013.92902011,0,1626.7308000000003,0,56245.756673258,0,2023-04-01
Oeste de Atapu,27213.99429215867,0,1015.2032333333334,0,33599.429741211,0,2023-04-01
Sururu,26795.668673434,0,996.1484999999999,0,33061.253470219,0,2023-04-01
Berbigão,27748.145084750668,0,416.41243333333335,0,30367.300172055002,0,2023-04-01
Itapu,26509.074109765003,0,402.4853333333333,0,29040.630384218337,0,2023-04-01
Itapu_Eco,24757.797908598,0,375.8958333333333,0,27122.111280056335,0,2023-04-01
Sépia Leste,19794.168768537336,0,658.4510666666666,0,23935.700872168003,0,2023-04-01
Marlim Leste,9543.266427923,49289.270632267675,178.14773333333335,856.6654000000001,10663.781822520334,54677.53323184168,2023-04-01
Sul de Berbigão,8979.308645061667,0,230.06303333333335,0,10426.361412752,0,2023-04-01
Marlim Sul,9261.783802501333,77363.783684562,136.72876666666667,1356.608066666667,10121.781766369,85896.59066836267,2023-04-01
Barracuda,7349.393698863667,21742.805160262,155.06840000000003,400.9821333333333,8324.744471867667,24264.906592323332,2023-04-01
Caratinga,6784.055722028001,2117.1695444109996,143.14003333333332,37.3126,7684.379335088334,2351.8587090169995,2023-04-01
Albacora,6148.682807445667,7118.578637897,221.83640000000003,151.6367333333333,7543.9916145296675,8072.344879584332,2023-04-01
Anc_Mero,4777.831926546667,0,305.15413333333333,0,6697.193445928,0,2023-04-01
Sudoeste de Sapinhoá,3953.880654128667,0,187.29280000000006,0,5131.916780496667,0,2023-04-01
Anc_Tupi,3816.7034622543338,0,175.57163333333338,0,4921.015677310667,0,2023-04-01
