	02/2023	03/2023	04/2023	05/2023	06/2023	07/2023	08/2023	09/2023	10/2023	11/2023	12/2023	01/2024	02/2024
Óleo	3255	3109	3134	3194	3359	3506	3455	3665	3536	3671	3578	3511	3441
Condensado	7	7	7	7	7	7	7	7	7	7	7	8	7
Petróleo	3262	3115	3141	3201	3367	3513	3462	3672	3543	3678	3585	3519	3448
