Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
PETROBRAS 43,51161.6838127161,19,Barracuda/Caratinga,2018-03-01,631.668671935484,55134.7597421427
PETROBRAS 54,51143.0233667258,12,Roncador,2018-03-01,626.532238064516,55083.7921030264
PETROBRAS 55,48235.422753171,12,Roncador,2018-03-01,837.698145806451,53504.3849276458
PETROBRAS 56,46326.3294771161,10,Marlim Sul,2018-03-01,1500.98676129032,55767.2510181476
FPSO CIDADE DE ANCHIETA,43638.0038139871,4,Baleia Azul³/Jubarte³,2018-03-01,1546.14282064516,53362.9483887092
PETROBRAS 50,43011.6394134976,16,Albacora/Albacora Leste,2018-03-01,818.551702258064,48160.1740958774
PETROBRAS 53,41745.3208551194,15,Marlim Leste,2018-03-01,666.337096774194,45936.4545897807
FPSO ESPIRITO SANTO,39310.6600620667,20,Argonauta/Ostra,2018-03-01,372.605454516129,41654.2775759368
PETROBRAS 51,38949.7255258968,12,Marlim Sul,2018-03-01,603.940917741936,42748.3991497192
FPSO CIDADE DE CARAGUATATUBA,38329.4975066516,2,Lapa,2018-03-01,1070.55450193548,45063.0819184704
PETROBRAS 62,35027.1727651484,13,Roncador,2018-03-01,2211.33352322581,48936.0404728693
FPSO CIDADE DE NITEROI,32528.882551829,6,Marlim Leste,2018-03-01,538.841522903225,35918.093351001
PETROBRAS 19,31813.8739943852,10,Marlim/Marlim Sul,2018-03-01,406.846125806452,34372.8588249438
PEREGRINO A,31080.6862628645,15,Peregrino,2018-03-01,59.4709677419355,31454.7473504774
PETROBRAS 48,29122.1652250645,11,Barracuda/Caratinga,2018-03-01,459.375138387097,32011.5475642431
FPSO CIDADE DE ITAJAÍ,27369.103874371,6,Baúna,2018-03-01,196.545720645161,28605.3391135421
FPSO PIONEIRO DE LIBRA,25573.9249637506,1,Mero,2018-03-01,1662.87887258065,36033.1171252971
FPSO CIDADE DE SAQUAREMA,149639.909465673,7,Lula,2018-04-01,5760.70203366667,185873.63072405
FPSO CIDADE DE MARICÁ,146073.826208453,7,Lula,2018-04-01,5349.87574633333,179723.528176498
PETROBRAS 58,144725.84864094,12,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-04-01,4551.24588,173352.320489423
FPSO CIDADE DE ILHA BELA,144041.093799067,7,Sapinhoá,2018-04-01,5645.270343,179548.771655171
PETROBRAS 66 (P-66),136653.552612213,6,Lula,2018-04-01,5461.89794433333,171007.852921461
FPSO CIDADE DE ITAGUAÍ,129284.939560253,6,Lula,2018-04-01,6373.53685666667,169373.275416684
FPSO CIDADE DE MANGARATIBA,124373.748985483,6,Lula,2018-04-01,6773.778277,166979.527329941
