Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
PETROBRAS 77,40472.218538493296,2,Búzios,2019-09-01,1365.72609333333,49062.3761776023
FPSO CAPIXABA,38370.65254507,5,Jubarte,2019-09-01,785.758942666666,43312.9270002442
PETROBRAS 56,38320.7764483733,10,Marlim Sul,2019-09-01,732.230988333333,42926.3702411022
PETROBRAS 54,36645.3807247067,11,Roncador,2019-09-01,466.786037333333,39581.3762101863
PETROBRAS 55,36403.69058225,11,Roncador,2019-09-01,618.127064666666,40291.592374861
FPSO ESPIRITO SANTO,34649.7721346356,20,Argonauta/Ostra,2019-09-01,320.779030333333,36667.4112874165
PETROBRAS 53,34105.26192224,11,Marlim Leste,2019-09-01,548.201186333333,37553.3432260513
PETROBRAS 51,32614.2855243767,12,Marlim Sul,2019-09-01,529.549544666667,35945.0515459165
FPSO CIDADE DE ITAGUAÍ,145564.886164671,7,Lula,2019-10-01,7431.27903677419,192306.219362964
FPSO CIDADE DE MANGARATIBA,145208.866686903,8,Lula,2019-10-01,7552.34656387096,192711.691627804
FPSO CIDADE DE ILHA BELA,143373.082984646,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-10-01,6055.05983451613,181458.258882384
FPSO CIDADE DE SAQUAREMA,141453.581249844,6,Anc_Lula/Lula/Sul De Lula,2019-10-01,5733.34166096774,177515.210962416
PETROBRAS 66 (P-66),134620.260463166,7,Anc_Lula/Lula/Sul De Lula,2019-10-01,5587.15207870968,169762.385479355
PETROBRAS 69,123984.944645452,6,Anc_Lula/Lula/Sul De Lula,2019-10-01,4212.13494870968,150478.473167196
FPSO CIDADE DE MARICÁ,120968.946550118,8,Anc_Lula/Lula/Sul De Lula,2019-10-01,4286.42958903226,147929.774243509
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,117278.766291156,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-10-01,1332.68869322581,125661.124960695
FPSO CIDADE DE PARATY,114395.455747018,6,Anc_Lula/Lula/Sul De Lula,2019-10-01,4553.30844064516,143034.900710072
FPSO CIDADE DE SÃO PAULO,112358.891004417,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-10-01,4788.60138806452,142478.283901079
PETROBRAS 58,106282.953164284,12,Baleia Anã/Jubarte,2019-10-01,3363.72601290322,127440.150677503
PETROBRAS 76,101966.861194632,3,Búzios/Tambuatá,2019-10-01,4036.04264935484,127352.802610971
PETROBRAS 75 (P-75),98888.7580347742,4,Búzios/Tambuatá,2019-10-01,3581.14060806452,121413.452042784
FPSO CIDADE DE ANGRA DOS REIS,79103.1919536725,6,Anc_Lula/Lula/Sul De Lula,2019-10-01,3522.84120387097,101261.193786192
PETROBRAS 67 (P-67),79057.5607902284,3,Anc_Lula/Lula/Sul De Lula,2019-10-01,2537.22673225806,95016.2348630525
PETROBRAS 52,62501.7790719,16,Roncador,2019-10-01,1260.40285741935,70429.4735685248
PETROBRAS 74 (P-74),56015.8629409548,4,Búzios/Tambuatá,2019-10-01,2048.5650383871,68900.9478050524
PETROBRAS 40,54645.7536286548,15,Marlim/Marlim Sul,2019-10-01,943.174624516128,60578.1428136826
PETROBRAS 77,52763.2459591903,2,Búzios/Tambuatá,2019-10-01,1836.32791548387,64313.3996452799
PETROBRAS 57,50710.8890720742,15,Jubarte,2019-10-01,417.285223870968,53335.53384603
FPSO CIDADE DE ANCHIETA,45181.9959382226,6,Jubarte,2019-10-01,1601.51858677419,55255.2435605008
PEREGRINO A,44454.8452069194,16,Peregrino,2019-10-01,110.062580645161,45147.1179272871
FPSO PIONEIRO DE LIBRA,42860.5587819309,1,Mero,2019-10-01,2982.28022870968,61618.5347872713
FPSO ESPIRITO SANTO,41285.8313692473,21,Argonauta/Ostra,2019-10-01,385.823641290322,43712.5887664716
PETROBRAS 43,38587.1930513226,18,Barracuda/Caratinga,2019-10-01,724.522408709678,43144.3013428488
PETROBRAS 56,38185.5379585484,10,Marlim Sul,2019-10-01,775.025404516129,43060.300498128
PETROBRAS 53,36053.2578760419,12,Marlim Leste,2019-10-01,546.233046774193,39488.9599559727
PETROBRAS 54,35459.9603884516,11,Roncador,2019-10-01,437.149375806452,38209.5469038928
FPSO CAPIXABA,35357.2072117323,5,Jubarte,2019-10-01,745.206625483871,40044.415296767
PETROBRAS 51,35227.6492995581,12,Marlim Sul,2019-10-01,563.678717741935,38773.0813351985
PETROBRAS 69,150600.569768924,6,Anc_Lula/Lula/Sul De Lula,2019-11-01,5273.11519433333,183767.462449394
FPSO CIDADE DE MARICÁ,150133.524063973,7,Anc_Lula/Lula/Sul De Lula,2019-11-01,5277.361915,183327.127810559
FPSO CIDADE DE ITAGUAÍ,149096.004435733,7,Lula,2019-11-01,7606.462641,196939.209219722
FPSO CIDADE DE MANGARATIBA,147940.742453413,8,Lula,2019-11-01,7775.56904866667,196847.594411407
FPSO CIDADE DE SAQUAREMA,140018.886951488,8,Anc_Lula/Lula/Sul De Lula,2019-11-01,5693.24555333333,175828.319765299
PETROBRAS 76,132539.576585513,4,Búzios/Tambuatá,2019-11-01,5376.03753566667,166353.831237725
PETROBRAS 75 (P-75),131319.87340314,4,Búzios/Tambuatá,2019-11-01,4673.63949166667,160716.17781422
PETROBRAS 66 (P-66),130073.546163689,7,Anc_Lula/Lula/Sul De Lula,2019-11-01,5405.929321,164075.814466208
PETROBRAS 58,123449.952011163,12,Baleia Anã/Jubarte,2019-11-01,4048.723114,148915.651140832
PETROBRAS 74 (P-74),120073.90697668,4,Búzios/Tambuatá,2019-11-01,4911.01699833333,150963.270802967
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,116177.727949258,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-11-01,1335.62335366667,124578.545075384
FPSO CIDADE DE PARATY,115220.321452777,6,Anc_Lula/Lula/Sul De Lula,2019-11-01,4597.88232866667,144140.127702448
FPSO CIDADE DE ILHA BELA,108436.19186322,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-11-01,4494.32617933333,136704.649609253
FPSO CIDADE DE SÃO PAULO,102750.417747222,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-11-01,4674.75525633333,132153.74010606
FPSO CIDADE DE ANGRA DOS REIS,80015.831530342,6,Anc_Lula/Lula/Sul De Lula,2019-11-01,3544.08136366667,102307.429932346
PETROBRAS 67 (P-67),65909.1907535825,4,Anc_Lula/Lula/Sul De Lula,2019-11-01,2058.232646,78855.0830327198
PETROBRAS 77,62162.5989710467,2,Búzios/Tambuatá,2019-11-01,2048.851879,75049.4880080997
PETROBRAS 52,50791.44855276,14,Roncador,2019-11-01,1011.069473,57150.8834347301
PETROBRAS 40,50486.1390787567,14,Marlim/Marlim Sul,2019-11-01,900.38946,56149.4177081593
PETROBRAS 57,48360.3321575933,16,Jubarte,2019-11-01,426.145831333333,51040.7084689721
PEREGRINO A,46927.4148992367,15,Peregrino,2019-11-01,83.4023333333333,47451.99972946
PETROBRAS 43,45540.3398727633,17,Barracuda/Caratinga,2019-11-01,783.665973333333,50469.4499484951
FPSO CIDADE DE ANCHIETA,44380.5555170533,7,Jubarte,2019-11-01,1579.023172,54312.3112545307
FPSO ESPIRITO SANTO,44282.3216816974,21,Argonauta/Ostra,2019-11-01,419.654511,46921.8688215303
FPSO PIONEIRO DE LIBRA,42131.3318624621,1,Mero,2019-11-01,2851.661935,60067.7436178444
PETROBRAS 53,38094.53617588,12,Marlim Leste,2019-11-01,584.989845666667,41774.0111570526
PETROBRAS 55,37837.7022675467,11,Roncador,2019-11-01,639.865066666667,41862.3319625173
PETROBRAS 56,36664.5898044467,10,Marlim Sul,2019-11-01,780.640857666667,41574.6724774071
FPSO CAPIXABA,35726.7728436367,5,Jubarte,2019-11-01,761.431881666666,40516.0347072625
PETROBRAS 54,33626.6178642567,11,Roncador,2019-11-01,267.642734333333,35310.0398110938
FPSO CIDADE DE MARICÁ,148924.169711054,6,Anc_Lula/Lula/Sul De Lula,2019-12-01,5126.64265870968,181169.777972232
FPSO CIDADE DE MANGARATIBA,146648.255212897,8,Lula,2019-12-01,7715.72611451613,195178.706485241
PETROBRAS 69,145314.220515421,6,Anc_Lula/Lula/Sul De Lula,2019-12-01,5074.55987935484,177232.237990186
PETROBRAS 75 (P-75),142322.919251516,4,Búzios/Tambuatá,2019-12-01,5073.95963935484,174237.161330727
FPSO CIDADE DE ITAGUAÍ,140974.674130365,7,Lula,2019-12-01,7066.38806129032,185420.912422149
PETROBRAS 74 (P-74),139692.401000229,4,Búzios/Tambuatá,2019-12-01,5717.47573290323,175654.237039801
FPSO CIDADE DE SAQUAREMA,138934.671132112,8,Anc_Lula/Lula/Sul De Lula,2019-12-01,5833.44199387097,175625.912919582
PETROBRAS 66 (P-66),135627.866378075,7,Anc_Lula/Lula/Sul De Lula,2019-12-01,5745.29656419355,171764.690160505
FPSO CIDADE DE ILHA BELA,132151.936243808,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-12-01,5435.96884387097,166343.147437676
PETROBRAS 58,118438.280842423,12,Baleia Anã/Jubarte,2019-12-01,4005.97623935484,143635.110252479
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,115631.994597347,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-12-01,1331.60494580645,124007.53670153
FPSO CIDADE DE PARATY,110213.245988698,6,Anc_Lula/Lula/Sul De Lula,2019-12-01,4406.64694967742,137930.218039248
PETROBRAS 76,103924.053256448,4,Búzios/Tambuatá,2019-12-01,4189.64367806452,130276.115959175
FPSO CIDADE DE SÃO PAULO,101153.308514075,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-12-01,4783.3393416129,131239.604138346
PETROBRAS 67 (P-67),98003.2477953687,4,Anc_Lula/Lula/Sul De Lula,2019-12-01,3262.09989870968,118521.236359272
FPSO CIDADE DE ANGRA DOS REIS,76709.7269428042,6,Anc_Lula/Lula/Sul De Lula,2019-12-01,3360.17498967742,97844.5891946271
PETROBRAS 77,70321.7801356129,3,Búzios/Tambuatá,2019-12-01,2300.90013903226,84794.0048390994
PETROBRAS 57,50395.9217638968,15,Jubarte,2019-12-01,432.83725483871,53118.3858577538
PETROBRAS 40,49452.0383827903,14,Marlim/Marlim Sul,2019-12-01,637.030596129032,53458.8397966287
PETROBRAS 52,44800.8233073677,12,Roncador,2019-12-01,886.122921290323,50374.3681189288
PETROBRAS 43,43358.5861061355,18,Barracuda/Caratinga,2019-12-01,772.667353548387,48218.5169531577
FPSO PIONEIRO DE LIBRA,43144.1135534698,1,Mero,2019-12-01,2912.82600451613,61465.2356849354
PEREGRINO A,38893.9044766323,15,Peregrino,2019-12-01,73.9516129032258,39359.0460709871
FPSO CIDADE DE ANCHIETA,38709.0915980935,6,Jubarte,2019-12-01,1396.21574612903,47491.0233602534
PETROBRAS 55,37577.7089808871,11,Roncador,2019-12-01,647.227346451614,41648.6460168719
PETROBRAS 68,37517.5012923324,2,Berbigão,2019-12-01,442.082764838709,40298.1178874425
PETROBRAS 53,36093.4903413613,12,Marlim Leste,2019-12-01,569.977076451613,39678.5378565974
PETROBRAS 51,33605.7081686839,12,Marlim Sul,2019-12-01,559.014979354839,37121.8061759797
PETROBRAS 56,33127.2240612452,10,Marlim Sul,2019-12-01,677.432830967742,37388.1478557944
FPSO ESPIRITO SANTO,30957.4232128281,21,Argonauta/Ostra,2019-12-01,291.717578387097,32792.271354543
FPSO CIDADE DE MARICÁ,150233.55194055,6,Anc_Lula/Lula/Sul De Lula,2020-01-01,5226.28052483871,183105.863448486
FPSO CIDADE DE MANGARATIBA,150084.013201123,8,Lula,2020-01-01,7910.86446451613,199841.847618681
FPSO CIDADE DE ITAGUAÍ,148375.790079845,7,Lula,2020-01-01,7553.72825096774,195887.305570065
PETROBRAS 75 (P-75),143752.128430165,4,Búzios/Tambuatá,2020-01-01,5055.31041193548,175549.07041226
FPSO CIDADE DE ILHA BELA,143567.712087625,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-01-01,5983.38309677419,181202.054923546
PETROBRAS 74 (P-74),140405.574150535,5,Búzios/Tambuatá,2020-01-01,5602.04801193548,175641.391756487
FPSO CIDADE DE SAQUAREMA,139401.379059591,8,Anc_Lula/Lula/Sul De Lula,2020-01-01,6046.63462483871,177433.561989247
PETROBRAS 69,135766.264583712,6,Anc_Lula/Lula/Sul De Lula,2020-01-01,4735.72162645161,165553.053826983
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,113481.25889144,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-01-01,1306.39145096774,121698.212903652
PETROBRAS 66 (P-66),110504.103010518,7,Anc_Lula/Lula/Sul De Lula,2020-01-01,4331.09178967742,137745.847460149
PETROBRAS 58,108719.296864987,12,Baleia Anã/Jubarte,2020-01-01,3794.48207516129,132585.868166157
FPSO CIDADE DE PARATY,108388.839948097,6,Anc_Lula/Lula/Sul De Lula,2020-01-01,4307.71956483871,135483.577544215
FPSO CIDADE DE SÃO PAULO,108370.218188496,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-01-01,4836.34342516129,138789.89942751
PETROBRAS 77,106178.120292323,4,Búzios/Tambuatá,2020-01-01,3622.69971129032,128964.213163394
PETROBRAS 76,100073.409255768,4,Búzios/Tambuatá,2020-01-01,4031.77619387097,125432.515477739
PETROBRAS 67 (P-67),96313.4802487961,4,Anc_Lula/Lula/Sul De Lula,2020-01-01,3144.45961032258,116091.533750399
FPSO CIDADE DE ANGRA DOS REIS,78105.518961498,6,Anc_Lula/Lula/Sul De Lula,2020-01-01,3297.99731322581,98849.2954421988
PETROBRAS 68,67133.5687102924,2,Berbigão,2020-01-01,767.029541612903,71958.0387914247
PETROBRAS 52,59341.9185268968,14,Roncador,2020-01-01,1143.10858258064,66531.8543206983
PETROBRAS 57,50538.5361042484,15,Jubarte,2020-01-01,421.24558,53188.0907657882
PETROBRAS 40,46806.7411069742,14,Marlim/Marlim Sul,2020-01-01,723.489114838709,51357.3501763778
PEREGRINO A,42289.3386958451,14,Peregrino,2020-01-01,85.2122580645161,42825.3076087419
PETROBRAS 43,41479.4323256806,17,Barracuda/Caratinga,2020-01-01,692.176687096774,45833.0921739488
FPSO CIDADE DE ANCHIETA,38980.2290754258,7,Jubarte,2020-01-01,1416.58258290323,47890.2643711964
FPSO ESPIRITO SANTO,37604.785574104,23,Abalone/Argonauta/Ostra,2020-01-01,378.379738064516,39984.7222343795
PETROBRAS 56,36208.7480661548,10,Marlim Sul,2020-01-01,945.03541064516,42152.8412423849
FPSO CAPIXABA,35877.1147904484,5,Jubarte,2020-01-01,725.20169,40438.4956322273
PETROBRAS 55,34172.0568638807,11,Roncador,2020-01-01,565.195478387097,37727.0290357946
PETROBRAS 51,33392.6925936936,12,Marlim Sul,2020-01-01,557.275656129032,36897.8505883705
PETROBRAS 54,32826.7253450387,10,Roncador,2020-01-01,441.474747419355,35603.5176261044
FPSO CIDADE DE MANGARATIBA,147576.9162743,8,Lula,2020-02-01,7917.28360517241,197375.12586695
FPSO CIDADE DE ITAGUAÍ,146459.2474019,7,Lula,2020-02-01,7566.76934724138,194052.788909872
FPSO CIDADE DE ILHA BELA,145341.145890341,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-02-01,5994.02671,183042.435031166
PETROBRAS 69,139934.059223311,6,Anc_Lula/Lula/Sul De Lula,2020-02-01,4890.01722862069,170691.338488062
FPSO CIDADE DE SAQUAREMA,137568.589597526,7,Anc_Lula/Lula/Sul De Lula,2020-02-01,5969.12248310345,175113.235882975
PETROBRAS 76,134651.8859359,4,Búzios/Tambuatá,2020-02-01,5446.85396068965,168911.562446385
PETROBRAS 74 (P-74),129883.5094012,5,Búzios/Tambuatá,2020-02-01,5216.09018965517,162691.725636995
PETROBRAS 77,119352.4306335,4,Búzios/Tambuatá,2020-02-01,4057.25134586207,144871.770721217
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,113056.449744287,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-02-01,1297.67835586207,121218.600043772
FPSO CIDADE DE MARICÁ,108714.734840747,7,Anc_Lula/Lula/Sul De Lula,2020-02-01,3944.53514551724,133525.111444373
FPSO CIDADE DE SÃO PAULO,104254.984354208,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-02-01,4910.279,135139.706311198
PETROBRAS 58,101436.0087868,12,Baleia Anã/Jubarte,2020-02-01,3274.96184241379,122034.896532833
PETROBRAS 66 (P-66),101106.407096355,7,Anc_Lula/Lula/Sul De Lula,2020-02-01,3814.60302551724,125099.535352284
PETROBRAS 67 (P-67),89240.1970293229,4,Anc_Lula/Lula/Sul De Lula,2020-02-01,2960.00680172414,107858.077410875
FPSO CIDADE DE PARATY,82295.3790905133,6,Anc_Lula/Lula/Sul De Lula,2020-02-01,3189.01061482759,102353.649945762
FPSO CIDADE DE ANGRA DOS REIS,79853.5143390688,6,Anc_Lula/Lula/Sul De Lula,2020-02-01,3309.74537862069,100671.183918971
PETROBRAS 68,62219.2364081708,2,Berbigão,2020-02-01,709.459477241379,66681.6017227184
PETROBRAS 52,57198.4650412,14,Roncador,2020-02-01,1110.54896034483,64183.6069974665
PETROBRAS 57,50488.9403577,15,Jubarte,2020-02-01,422.140584137931,53144.1244252166
FPSO PIONEIRO DE LIBRA,42487.9634897612,1,Mero,2020-02-01,2867.30934965517,60522.7945103158
PEREGRINO A,40886.1139187,15,Peregrino,2020-02-01,71.4968965517241,41335.8158136
PETROBRAS 43,38851.4232818,17,Barracuda/Caratinga,2020-02-01,1032.20056689655,45343.7687294716
FPSO CIDADE DE ANCHIETA,37819.8445571,6,Jubarte,2020-02-01,1358.23214655173,46362.8666948025
PETROBRAS 55,37666.2820993,12,Roncador,2020-02-01,641.107823793103,41698.7285004721
FPSO ESPIRITO SANTO,37186.7904886962,22,Abalone/Argonauta/Ostra,2020-02-01,426.467686206897,39869.1912060772
FPSO CAPIXABA,34986.7319455,5,Jubarte,2020-02-01,709.338361034483,39448.3354621183
PETROBRAS 54,33672.3134785,10,Roncador,2020-02-01,514.401080689655,36907.7985398326
PETROBRAS 51,31963.0554421,12,Marlim Sul,2020-02-01,560.851429310345,35490.7043706905
PETROBRAS 50,31959.8557571927,13,Albacora/Albacora Leste,2020-02-01,681.08013137931,36243.7203783436
PETROJARL 1,30594.6725742,3,Atlanta,2020-02-01,209.042103448276,31909.50768689
PETROBRAS 69,147883.160778118,6,Anc_Lula/Lula/Sul De Lula,2020-03-01,5186.43189064516,180504.831948217
FPSO CIDADE DE ILHA BELA,141227.757042872,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-03-01,5913.2356883871,178420.886008046
FPSO CIDADE DE MARICÁ,139653.985226819,7,Anc_Lula/Lula/Sul De Lula,2020-03-01,5279.76701870968,172862.716618769
PETROBRAS 74 (P-74),138479.650560303,5,Búzios/Tambuatá,2020-03-01,5597.03743677419,173683.9526005
PETROBRAS 75 (P-75),137555.722108665,4,Búzios/Tambuatá,2020-03-01,4855.69608677419,168097.127912218
PETROBRAS 76,136357.142001977,4,Búzios/Tambuatá,2020-03-01,5586.64209064516,171496.059290138
FPSO CIDADE DE SAQUAREMA,134145.245725649,7,Anc_Lula/Lula/Sul De Lula,2020-03-01,5926.48656419355,171421.720181979
PETROBRAS 66 (P-66),113871.575301119,7,Anc_Lula/Lula/Sul De Lula,2020-03-01,5064.10112903226,145723.809223517
PETROBRAS 77,111009.059587097,4,Búzios/Tambuatá,2020-03-01,3880.60354451613,135417.31856743
FPSO CIDADE DE ITAGUAÍ,110579.270782884,7,Lula,2020-03-01,6086.86389193548,148864.488159019
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,110466.262807476,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-03-01,1252.27323,118342.823492262
FPSO CIDADE DE PARATY,104206.523382716,6,Anc_Lula/Lula/Sul De Lula,2020-03-01,4024.31040935484,129518.671238581
FPSO CIDADE DE SÃO PAULO,99470.2019675963,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-03-01,4736.45913290323,129261.629986322
PETROBRAS 58,94833.1291261936,11,Jubarte,2020-03-01,3174.50534258065,114800.164575011
PETROBRAS 67 (P-67),78264.6872965579,5,Anc_Lula/Lula/Sul De Lula,2020-03-01,2791.52968032258,95822.8785951476
FPSO CIDADE DE MANGARATIBA,75188.6585931387,8,Lula,2020-03-01,4599.89303451613,104121.111800569
PETROBRAS 68,62763.4432432044,2,Berbigão,2020-03-01,794.976055806452,67763.6915887764
PETROBRAS 52,57326.6106496516,13,Roncador,2020-03-01,1091.56476322581,64192.3456130369
PETROBRAS 57,50545.6172129258,15,Jubarte,2020-03-01,415.600772258064,53159.6671062823
PETROBRAS 40,50445.9480720774,13,Marlim/Marlim Sul,2020-03-01,824.091725483871,55629.3284479431
FPSO PIONEIRO DE LIBRA,43048.2406071572,1,Mero,2020-03-01,2929.0965516129,61471.7013884576
FPSO ESPIRITO SANTO,42780.7347707573,21,Argonauta/Ostra,2020-03-01,396.479447419355,45274.5151639301
PEREGRINO A,41502.1466556645,14,Peregrino,2020-03-01,67.5858064516129,41927.2485369419
PETROBRAS 43,39909.4815468839,17,Barracuda/Caratinga,2020-03-01,830.737322580645,45134.6614658248
PETROBRAS 55,37848.6232714129,12,Roncador,2020-03-01,626.590307419354,41789.7572529222
PETROBRAS 50,35230.0794143179,13,Albacora/Albacora Leste,2020-03-01,591.962366451613,38953.4102264489
FPSO CIDADE DE ANCHIETA,34157.0932029935,6,Jubarte,2020-03-01,1208.78961806452,41760.1502305919
FPSO CAPIXABA,32539.7131988548,5,Jubarte,2020-03-01,685.496047741936,36851.3530949025
FPSO CIDADE DE ANGRA DOS REIS,32138.1733313419,5,Anc_Lula/Lula/Sul De Lula,2020-03-01,1296.14588645161,40290.6846894041
PETROBRAS 51,32036.4715876678,12,Marlim Sul,2020-03-01,555.141624838709,35528.2069309945
PETROBRAS 75,158555.80110141,4,Búzios/Tambuatá,2020-04-01,5918.02689466667,195779.065843753
PETROBRAS 77,147215.26109179,4,Búzios/Tambuatá,2020-04-01,5178.313061,179785.866365998
PETROBRAS 69,146730.099562037,6,Anc_Lula/Lula/Sul De Lula,2020-04-01,5194.71912933334,179403.895888909
FPSO CIDADE DE SAQUAREMA,138985.904989263,7,Anc_Lula/Lula/Sul De Lula,2020-04-01,6139.87602,177604.558578619
FPSO CIDADE DE MARICÁ,137483.506478844,8,Anc_Lula/Lula/Sul De Lula,2020-04-01,5176.520199,170042.834991716
FPSO CIDADE DE ITAGUAÍ,136366.58422417,6,Lula,2020-04-01,7555.80728,183891.176411987
PETROBRAS 74,134384.927168587,5,Búzios/Tambuatá,2020-04-01,5397.46705366666,168333.96941741
FPSO CIDADE DE ILHA BELA,133593.486118883,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-04-01,5673.06573833333,169275.99173051
FPSO CIDADE DE MANGARATIBA,123341.46327168,8,Lula,2020-04-01,7134.25952266667,168214.600159944
PETROBRAS 66,122505.655302768,7,Anc_Lula/Lula/Sul De Lula,2020-04-01,5869.75835966667,159425.320130983
PETROBRAS 67,111515.487303704,5,Anc_Lula/Lula/Sul De Lula,2020-04-01,3921.207099,136179.134927065
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,108711.597557261,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-04-01,1232.53110366667,116463.984018415
FPSO CIDADE DE PARATY,106883.031533447,6,Anc_Lula/Lula/Sul De Lula,2020-04-01,4170.86706333333,133116.992897072
PETROBRAS 76,77780.9058529733,4,Búzios/Tambuatá,2020-04-01,3150.30253633333,97595.7102490281
FPSO CIDADE DE ANGRA DOS REIS,75570.4096403993,6,Lula/Sul De Lula,2020-04-01,3179.198241,95566.9625286236
FPSO CIDADE DE SÃO PAULO,75120.7649904338,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-04-01,4759.28260133333,105055.748289126
PETROBRAS 58,74018.5637509267,11,Jubarte,2020-04-01,2518.37927066667,89858.6908713586
PETROBRAS 68,60572.3735058851,2,Berbigão,2020-04-01,756.503494,65330.6367474813
PETROBRAS 57,49806.2336803934,15,Jubarte,2020-04-01,409.356165666667,52381.0061847652
PETROBRAS 52,49204.89429874,12,Roncador,2020-04-01,956.184132333333,55219.1108161315
PETROBRAS 40,47701.2984454133,13,Marlim/Marlim Sul,2020-04-01,923.104853666667,53507.4525850545
FPSO ESPIRITO SANTO,46344.4713227937,21,Argonauta/Ostra,2020-04-01,429.575596333333,49046.4202043671
PETROBRAS 55,37866.8848893433,12,Roncador,2020-04-01,629.077248333333,41823.6612566828
FPSO PIONEIRO DE LIBRA,36243.1345943127,1,Mero,2020-04-01,2444.159105,51616.4309745328
PETROBRAS 50,35634.4336064558,13,Albacora/Albacora Leste,2020-04-01,555.120177666667,39126.0340511454
PETROBRAS 54,32505.2873102833,10,Roncador,2020-04-01,494.930533666667,35618.3063302453
PETROBRAS 51,30161.5091201733,12,Marlim Sul,2020-04-01,501.953012333333,33318.6981966777
PETROJARL 1,29647.7008310833,3,Atlanta,2020-04-01,221.269966666666,31039.446880123
PETROBRAS 56,29392.18149304,10,Marlim Sul,2020-04-01,581.820503666666,33051.7219152076
PETROBRAS 19,29359.1723604997,10,Marlim/Marlim Sul,2020-04-01,350.423198333333,31563.2676976087
PETROBRAS 77,155371.278211397,4,Búzios/Tambuatá,2020-05-01,5451.43389741935,189659.761653724
PETROBRAS 75 (P-75),151045.11240089,4,Búzios/Tambuatá,2020-05-01,5571.38292903226,186088.052461747
PETROBRAS 69,146943.169168254,6,Anc_Lula/Lula/Sul De Lula,2020-05-01,5238.41923483871,179891.830855735
FPSO CIDADE DE ILHA BELA,139706.067410122,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-05-01,5778.76964580645,176053.430516012
FPSO CIDADE DE ITAGUAÍ,139279.040773942,7,Lula,2020-05-01,7693.93916741935,187672.456288568
FPSO CIDADE DE SAQUAREMA,139170.779770894,7,Anc_Lula/Lula/Sul De Lula,2020-05-01,6149.0035316129,177846.843674068
FPSO CIDADE DE MARICÁ,131106.862038264,8,Anc_Lula/Lula/Sul De Lula,2020-05-01,4908.79423290322,161982.245092321
PETROBRAS 66 (P-66),117950.330455283,7,Anc_Lula/Lula/Sul De Lula,2020-05-01,5517.70498,152655.646415536
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,105842.972447309,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-05-01,1215.52609935484,113488.400662292
PETROBRAS 58,100836.973929029,10,Jubarte,2020-05-01,3576.61579129032,123333.207699245
FPSO CIDADE DE PARATY,92533.7075425741,6,Anc_Lula/Lula/Sul De Lula,2020-05-01,3523.37403612903,114695.060788759
FPSO CIDADE DE MANGARATIBA,90778.5532535451,8,Lula,2020-05-01,5164.4581816129,123262.013968836
