Poço,Campo,Bacia,Localização,Operador,Petróleo (bbl/d),mes
7-RUC-85HP-AM,Rio Urucu,Solimões,Terra,NA,458.4108889635484,2022-07-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,388.4347237425807,2022-07-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,356.84689212838714,2022-07-01
3-BRSA-1323-RN,Boa Esperança,Potiguar,Terra,NA,353.5137473178839,2022-07-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,329.56392821645164,2022-07-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,317.964301193871,2022-07-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,317.69444805516133,2022-07-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,313.9597211948387,2022-07-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,300.7860184954839,2022-07-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,288.7690321448387,2022-07-01
7-LUC-36HP-AM,Leste Do Urucu,Solimões,Terra,NA,285.2292893945162,2022-07-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,284.19187653870966,2022-07-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,281.6619526390322,2022-07-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,261.842964226129,2022-07-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,253.60270443483873,2022-07-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,248.36146663096775,2022-07-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,248.25332247838713,2022-07-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,247.20231551709676,2022-07-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,247.20231551709676,2022-07-01
7-SBO-17-RN,Sabiá / Sabiá Bico-De-Osso,Potiguar,Terra,NA,245.44253218558705,2022-07-01
7-CNC-9-ES,Cancã,Espírito Santo,Terra,NA,236.1391484183871,2022-07-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,225.35902276967747,2022-07-01
7-FAL-162D-ES,Fazenda Alegre,Espírito Santo,Terra,NA,223.53457207548388,2022-07-01
7-TIE-5HA-BA,Tiê,Recôncavo,Terra,NA,220.64397220966777,2022-07-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,219.51883273612904,2022-07-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,759.0402738761467,2022-11-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,621.1711211342833,2022-11-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,467.6489040204334,2022-11-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,453.85709716100996,2022-11-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,443.6346044245433,2022-11-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,403.2492250995134,2022-11-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,378.70230858602997,2022-11-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,356.6363552119634,2022-11-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,355.02096008249,2022-11-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,350.55370429752,2022-11-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,349.23907110942,2022-11-01
7-LUC-69HP-AM,Leste Do Urucu,Solimões,Terra,NA,338.2720409836334,2022-11-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,305.21795517123,2022-11-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,300.73172302949,2022-11-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,298.4994652672833,2022-11-01
7-CAM-1556D-RN,Canto Do Amaro,Potiguar,Terra,NA,297.25426948498,2022-11-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,296.4763164317334,2022-11-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,296.32029559807995,2022-11-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,290.3434078387866,2022-11-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,281.03904705443335,2022-11-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,273.66503524889,2022-11-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,272.43003105539003,2022-11-01
3-GTE-3D-BA,Tiê,Recôncavo,Terra,NA,272.397204537,2022-11-01
7-TIE-5HA-BA,Tiê,Recôncavo,Terra,NA,260.0678455938833,2022-11-01
7-LUC-36HP-AM,Leste Do Urucu,Solimões,Terra,NA,255.77207518875332,2022-11-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,246.53720632188336,2022-11-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,244.20253996986,2022-11-01
7-RUC-85HP-AM,Rio Urucu,Solimões,Terra,NA,243.27458333452665,2022-11-01
7-CAM-1545D-RN,Canto Do Amaro,Potiguar,Terra,NA,234.83292031015336,2022-11-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,233.66214136656333,2022-11-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,827.7351876214935,2022-10-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,621.9265215665323,2022-10-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,487.4057301734742,2022-10-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,477.19092047373874,2022-10-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,462.49403274742264,2022-10-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,396.0296530858129,2022-10-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,357.70797726224197,2022-10-01
7-FSR-61-ES,Fazenda São Rafael,Espírito Santo,Terra,NA,352.24635668979676,2022-10-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,351.9312980779258,2022-10-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,334.96765616027415,2022-10-01
7-LUC-69HP-AM,Leste Do Urucu,Solimões,Terra,NA,334.50115109742904,2022-10-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,330.7752482318451,2022-10-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,318.3462022253032,2022-10-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,318.16686148146454,2022-10-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,314.0971738330484,2022-10-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,307.1993177554936,2022-10-01
7-CAM-1545D-RN,Canto Do Amaro,Potiguar,Terra,NA,301.01580554449356,2022-10-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,296.96044243110964,2022-10-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,296.78775671204517,2022-10-01
7-RUC-85HP-AM,Rio Urucu,Solimões,Terra,NA,287.6621838445742,2022-10-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,282.76678008421294,2022-10-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,276.28462160749996,2022-10-01
7-LUC-36HP-AM,Leste Do Urucu,Solimões,Terra,NA,268.74306231660324,2022-10-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,265.84105151806455,2022-10-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,261.5413231992677,2022-10-01
7-RUC-58HP-AM,Rio Urucu,Solimões,Terra,NA,259.74725431634516,2022-10-01
7-TIE-5HA-BA,Tiê,Recôncavo,Terra,NA,259.70016190018384,2022-10-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,259.02332153299676,2022-10-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,242.76863453500968,2022-10-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,237.21037001742906,2022-10-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,887.8131767771266,2022-09-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,798.1225722974433,2022-09-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,509.5745949163633,2022-09-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,491.45873237624,2022-09-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,394.6508409759733,2022-09-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,390.83293888559336,2022-09-01
7-LUC-69HP-AM,Leste Do Urucu,Solimões,Terra,NA,355.6907263071334,2022-09-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,341.49771133724,2022-09-01
7-RUC-85HP-AM,Rio Urucu,Solimões,Terra,NA,332.63242960936674,2022-09-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,329.81174754204005,2022-09-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,326.9514145124733,2022-09-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,312.13492212632997,2022-09-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,309.26062781516674,2022-09-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,300.82863013215996,2022-09-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,294.59680379394666,2022-09-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,279.4613006310167,2022-09-01
7-LUC-36HP-AM,Leste Do Urucu,Solimões,Terra,NA,269.0109322714567,2022-09-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,267.69417522418,2022-09-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,263.23479428133004,2022-09-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,254.65628386078666,2022-09-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,252.31581620734,2022-09-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,248.1033145001967,2022-09-01
4-RUC-10-AM,Rio Urucu,Solimões,Terra,NA,246.5267128222,2022-09-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,244.75458401394002,2022-09-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,236.11671875303,2022-09-01
7-FAL-137D-ES,Fazenda Alegre,Espírito Santo,Terra,NA,235.74687163521997,2022-09-01
7-TIE-5HA-BA,Tiê,Recôncavo,Terra,NA,233.35016259735667,2022-09-01
7-FSR-61-ES,Fazenda São Rafael,Espírito Santo,Terra,NA,230.65231842272667,2022-09-01
7-ANB-16D-AL,Anambé,Alagoas,Terra,NA,229.71996730680667,2022-09-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,227.87216369783337,2022-09-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,719.9727460253333,2023-04-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,659.3993598013334,2023-04-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,557.5390317563334,2023-04-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,500.7221297246667,2023-04-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,412.1513315683334,2023-04-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,403.1965290713334,2023-04-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,399.03812602,2023-04-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,391.8188917623333,2023-04-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,386.177351513,2023-04-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,381.48033106533336,2023-04-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,363.94371180433336,2023-04-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,346.2181885830001,2023-04-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,329.93533811533337,2023-04-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,316.1772173816667,2023-04-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,312.49034042000005,2023-04-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,306.6911356,2023-04-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,264.1428772136667,2023-04-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,264.1202338976667,2023-04-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,261.2722079296667,2023-04-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,256.531787793,2023-04-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,248.0290129746667,2023-04-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,244.282382818,2023-04-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,233.6127684546667,2023-04-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,233.11440584233333,2023-04-01
7-LPX-21D-RN,Leste De Poço Xavier,Potiguar,Terra,NA,229.40530488533338,2023-04-01
7-RUC-85HP-AM,Rio Urucu,Solimões,Terra,NA,225.84611106666668,2023-04-01
7-FAL-31H-ES,Fazenda Alegre,Espírito Santo,Terra,NA,215.01631620866667,2023-04-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,213.40025435933336,2023-04-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,211.6890067186667,2023-04-01
7-LUC-36HP-AM,Leste Do Urucu,Solimões,Terra,NA,210.040657178,2023-04-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,1339.2819390045163,2023-12-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,689.0835838006452,2023-12-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,518.5331537825807,2023-12-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,480.9665534177419,2023-12-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,444.62037909,2023-12-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,412.0667572951613,2023-12-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,409.4264573748387,2023-12-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,379.6423809509678,2023-12-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,376.8123722451613,2023-12-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,351.88260886161294,2023-12-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,302.9643217264516,2023-12-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,301.9930533241935,2023-12-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,301.8903873932258,2023-12-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,290.4388752512903,2023-12-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,288.50059928580646,2023-12-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,286.6897426970968,2023-12-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,273.6343290051613,2023-12-01
7-RIP-3A-ES,Rio Ipiranga,Espírito Santo,Terra,NA,262.4007283451613,2023-12-01
3-GTE-3D-BA,Tiê,Recôncavo,Terra,NA,260.56329223677426,2023-12-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,247.93497693354843,2023-12-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,238.05875785096774,2023-12-01
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,NA,237.41516826,2023-12-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,236.26717648645163,2023-12-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,234.29582829419354,2023-12-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,234.00507675451612,2023-12-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,233.1697494070968,2023-12-01
7-PIR-76-AL,Pilar,Alagoas,Terra,NA,221.18786425419358,2023-12-01
1-IMT-1-AM,Leste Do Urucu,Solimões,Terra,NA,205.23548581451615,2023-12-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,203.40616559000003,2023-12-01
4-RUC-10-AM,Rio Urucu,Solimões,Terra,NA,201.90898791290323,2023-12-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,705.2934676414287,2023-02-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,491.92199665071433,2023-02-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,481.7814751142858,2023-02-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,476.38167322928575,2023-02-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,424.1135767653572,2023-02-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,418.0115625210715,2023-02-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,394.8109244278571,2023-02-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,370.5008087778571,2023-02-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,350.9392750417857,2023-02-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,349.30909107142855,2023-02-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,347.26917090678575,2023-02-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,345.41861895035714,2023-02-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,335.9789619567858,2023-02-01
3-GTE-4DPA-BA,Tiê,Recôncavo,Terra,NA,310.8091640614286,2023-02-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,306.1360598675,2023-02-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,292.37418022357144,2023-02-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,290.8311550489286,2023-02-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,277.0216525578572,2023-02-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,275.6237422853572,2023-02-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,274.59670616678574,2023-02-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,273.0981589342858,2023-02-01
7-LUC-29H-AM,Leste Do Urucu,Solimões,Terra,NA,269.34718581357146,2023-02-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,264.8854641628572,2023-02-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,264.5316623503572,2023-02-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,254.97272360285714,2023-02-01
1-RFQ-1-RN,Riacho Da Forquilha,Potiguar,Terra,NA,249.59987804642859,2023-02-01
7-LUC-24DP-AM,Leste Do Urucu,Solimões,Terra,NA,245.57395037428574,2023-02-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,241.47344352642855,2023-02-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,236.028265155,2023-02-01
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,NA,223.71663598821428,2023-02-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,722.7291977703227,2023-01-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,494.1771833887097,2023-01-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,480.5276869974194,2023-01-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,457.8762551135484,2023-01-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,432.53481352064523,2023-01-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,418.94537467000004,2023-01-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,384.6086931887097,2023-01-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,332.2437930706452,2023-01-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,329.501638807742,2023-01-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,322.2074881787097,2023-01-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,321.9412871877419,2023-01-01
3-GTE-4DPA-BA,Tiê,Recôncavo,Terra,NA,321.1869157819355,2023-01-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,320.5751810351613,2023-01-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,305.07282835612904,2023-01-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,304.32373227483873,2023-01-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,300.239616613871,2023-01-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,296.7258446919355,2023-01-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,294.09974756838716,2023-01-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,289.57717128129036,2023-01-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,288.3961072809677,2023-01-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,271.4320839167742,2023-01-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,260.7621313916129,2023-01-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,260.3228591770968,2023-01-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,254.74866723741937,2023-01-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,252.64482724096777,2023-01-01
7-LUC-24DP-AM,Leste Do Urucu,Solimões,Terra,NA,247.6915004174194,2023-01-01
7-LPX-21D-RN,Leste De Poço Xavier,Potiguar,Terra,NA,235.7944262509678,2023-01-01
7-CAM-1556D-RN,Canto Do Amaro,Potiguar,Terra,NA,224.84650470322583,2023-01-01
7-CAM-1545D-RN,Canto Do Amaro,Potiguar,Terra,NA,224.5973470683871,2023-01-01
3-RUC-8-AM,Rio Urucu,Solimões,Terra,NA,221.0460391835484,2023-01-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,625.4240109964517,2023-07-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,623.4731554109678,2023-07-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,494.3969209445162,2023-07-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,464.80620545387103,2023-07-01
7-ANB-14D-AL,Anambé,Alagoas,Terra,NA,451.9206166319355,2023-07-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,448.5612494006452,2023-07-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,429.6431240974194,2023-07-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,363.67721999419354,2023-07-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,318.2274587283871,2023-07-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,314.13380690387095,2023-07-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,301.57731717290324,2023-07-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,296.69398984774193,2023-07-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,293.3638397983871,2023-07-01
3-GTE-3D-BA,Tiê,Recôncavo,Terra,NA,287.7452133945161,2023-07-01
7-BR-47-RN,Brejinho Rn,Potiguar,Terra,NA,281.7477781109678,2023-07-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,275.3619977841936,2023-07-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,275.3565195625807,2023-07-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,272.32645431935487,2023-07-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,262.4912204503226,2023-07-01
7-LV-62-RN,Livramento,Potiguar,Terra,NA,258.2602072912903,2023-07-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,257.45896665612906,2023-07-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,255.61442914935486,2023-07-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,254.625914493871,2023-07-01
7-LUC-29H-AM,Leste Do Urucu,Solimões,Terra,NA,253.8149347980645,2023-07-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,250.50182810483872,2023-07-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,248.67271077741938,2023-07-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,248.3604521454839,2023-07-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,247.6870366812903,2023-07-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,240.25958265967742,2023-07-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,238.98904103967743,2023-07-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,642.5196063646667,2023-06-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,635.4660037703333,2023-06-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,511.109331619,2023-06-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,447.78708876466663,2023-06-01
7-RIP-3A-ES,Rio Ipiranga,Espírito Santo,Terra,NA,414.33075073333333,2023-06-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,391.24232584566664,2023-06-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,375.0737402596667,2023-06-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,344.62414106866675,2023-06-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,341.62851422600005,2023-06-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,328.3452741473333,2023-06-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,324.7955150436667,2023-06-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,313.239456791,2023-06-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,302.4176290256667,2023-06-01
7-LV-62-RN,Livramento,Potiguar,Terra,NA,297.3807491776667,2023-06-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,291.671698301,2023-06-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,291.2783755156667,2023-06-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,271.24218576066664,2023-06-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,269.9578065586667,2023-06-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,269.71732615633334,2023-06-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,268.954162543,2023-06-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,261.9563295973333,2023-06-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,255.19939637466666,2023-06-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,250.53927614566666,2023-06-01
