Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos Produtores,mes,Campos produtores
FPSO CIDADE DE MANGARATIBA,145208.866686903,7552.34656387096,192711.691627804,8,Lula,2019-10-01,NA
FPSO CIDADE DE ITAGUAÍ,145564.886164671,7431.27903677419,192306.219362964,7,Lula,2019-10-01,NA
PLATAFORMA DE MEXILHÃO,4482.9241074742,6314.39699774193,44199.2814878414,7,Mexilhão,2019-10-01,NA
FPSO CIDADE DE ILHA BELA,143373.082984646,6055.05983451613,181458.258882384,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-10-01,NA
FPSO CIDADE DE SAQUAREMA,141453.581249844,5733.34166096774,177515.210962416,6,Anc_Lula/Lula/Sul De Lula,2019-10-01,NA
PETROBRAS 66 (P-66),134620.260463166,5587.15207870968,169762.385479355,7,Anc_Lula/Lula/Sul De Lula,2019-10-01,NA
FPSO CIDADE DE SÃO PAULO,112358.891004417,4788.60138806452,142478.283901079,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-10-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,65.0827620259806,4599.40055,28994.4383354215,26,Gavião Branco/Gavião Caboclo/Pa-1Pgn1Ma_Pn-T-48_Bt-Pn-4,2019-10-01,NA
PLATAFORMA DE MANATI 1,384.938806765161,4571.13313967742,29136.4977400396,6,Manati,2019-10-01,NA
FPSO CIDADE DE PARATY,114395.455747018,4553.30844064516,143034.900710072,6,Anc_Lula/Lula/Sul De Lula,2019-10-01,NA
FPSO CIDADE DE MARICÁ,120968.946550118,4286.42958903226,147929.774243509,8,Anc_Lula/Lula/Sul De Lula,2019-10-01,NA
PETROBRAS 69,123984.944645452,4212.13494870968,150478.473167196,6,Anc_Lula/Lula/Sul De Lula,2019-10-01,NA
PETROBRAS 76,101966.861194632,4036.04264935484,127352.802610971,3,Búzios/Tambuatá,2019-10-01,NA
PETROBRAS 75 (P-75),98888.7580347742,3581.14060806452,121413.452042784,4,Búzios/Tambuatá,2019-10-01,NA
FPSO CIDADE DE ANGRA DOS REIS,79103.1919536725,3522.84120387097,101261.193786192,6,Anc_Lula/Lula/Sul De Lula,2019-10-01,NA
PETROBRAS 58,106282.953164284,3363.72601290322,127440.150677503,12,Baleia Anã/Jubarte,2019-10-01,NA
FPSO PIONEIRO DE LIBRA,42860.5587819309,2982.28022870968,61618.5347872713,1,Mero,2019-10-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,33.7058196252032,2941.48752129032,18535.1034459123,23,Gavião Azul/Gavião Real/Gavião Vermelho,2019-10-01,NA
PETROBRAS 67 (P-67),79057.5607902284,2537.22673225806,95016.2348630525,3,Anc_Lula/Lula/Sul De Lula,2019-10-01,NA
PETROBRAS 62,27574.5655904484,2500.43732870968,43301.8413049398,13,Roncador,2019-10-01,NA
PETROBRAS 74 (P-74),56015.8629409548,2048.5650383871,68900.9478050524,4,Búzios/Tambuatá,2019-10-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2431.5565466019402,1965.13992032258,14791.9132688461,8,Leste Do Urucu,2019-10-01,NA
PETROBRAS 77,52763.2459591903,1836.32791548387,64313.3996452799,2,Búzios/Tambuatá,2019-10-01,NA
FPSO CIDADE DE ANCHIETA,45181.9959382226,1601.51858677419,55255.2435605008,6,Jubarte,2019-10-01,NA
PLATAFORMA DE PIRANEMA,3015.05694497742,1509.56917516129,12509.9602385987,4,Piranema,2019-10-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,117278.766291156,1332.68869322581,125661.124960695,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-10-01,NA
PETROBRAS 52,62501.7790719,1260.40285741935,70429.4735685248,16,Roncador,2019-10-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1055.82718761839,1233.90319516129,8816.84384357582,3,Leste Do Urucu,2019-10-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1377.44262206871,1164.74111645161,8703.44294373723,7,Leste Do Urucu,2019-10-01,NA
POLO ARARA,9282.08751884167,8226.154315,61023.0351908718,35,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2019-11-01,NA
FPSO CIDADE DE MANGARATIBA,147940.742453413,7775.56904866667,196847.594411407,8,Lula,2019-11-01,NA
FPSO CIDADE DE ITAGUAÍ,149096.004435733,7606.462641,196939.209219722,7,Lula,2019-11-01,NA
PLATAFORMA DE MEXILHÃO,4473.07385922001,6303.35069133333,44119.9520710753,7,Mexilhão,2019-11-01,NA
FPSO CIDADE DE SAQUAREMA,140018.886951488,5693.24555333333,175828.319765299,8,Anc_Lula/Lula/Sul De Lula,2019-11-01,NA
PETROBRAS 66 (P-66),130073.546163689,5405.929321,164075.814466208,7,Anc_Lula/Lula/Sul De Lula,2019-11-01,NA
PETROBRAS 76,132539.576585513,5376.03753566667,166353.831237725,4,Búzios/Tambuatá,2019-11-01,NA
FPSO CIDADE DE MARICÁ,150133.524063973,5277.361915,183327.127810559,7,Anc_Lula/Lula/Sul De Lula,2019-11-01,NA
PETROBRAS 69,150600.569768924,5273.11519433333,183767.462449394,6,Anc_Lula/Lula/Sul De Lula,2019-11-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,63.7057724054966,4973.52046466667,31346.2045262705,25,Gavião Branco/Gavião Caboclo,2019-11-01,NA
PETROBRAS 74 (P-74),120073.90697668,4911.01699833333,150963.270802967,4,Búzios/Tambuatá,2019-11-01,NA
FPSO CIDADE DE SÃO PAULO,102750.417747222,4674.75525633333,132153.74010606,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-11-01,NA
PETROBRAS 75 (P-75),131319.87340314,4673.63949166667,160716.17781422,4,Búzios/Tambuatá,2019-11-01,NA
FPSO CIDADE DE PARATY,115220.321452777,4597.88232866667,144140.127702448,6,Anc_Lula/Lula/Sul De Lula,2019-11-01,NA
PLATAFORMA DE MANATI 1,375.461192555667,4542.94924933333,28949.748810505,6,Manati,2019-11-01,NA
FPSO CIDADE DE ILHA BELA,108436.19186322,4494.32617933333,136704.649609253,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-11-01,NA
PETROBRAS 58,123449.952011163,4048.723114,148915.651140832,12,Baleia Anã/Jubarte,2019-11-01,NA
FPSO CIDADE DE ANGRA DOS REIS,80015.831530342,3544.08136366667,102307.429932346,6,Anc_Lula/Lula/Sul De Lula,2019-11-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,25.86371129962,2954.72423866667,18610.5177749076,21,Gavião Azul/Gavião Real/Gavião Vermelho,2019-11-01,NA
FPSO PIONEIRO DE LIBRA,42131.3318624621,2851.661935,60067.7436178444,1,Mero,2019-11-01,NA
PETROBRAS 67 (P-67),65909.1907535825,2058.232646,78855.0830327198,4,Anc_Lula/Lula/Sul De Lula,2019-11-01,NA
PETROBRAS 77,62162.5989710467,2048.851879,75049.4880080997,2,Búzios/Tambuatá,2019-11-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2347.32585261033,1972.07843166667,14751.3244928916,9,Leste Do Urucu,2019-11-01,NA
PETROBRAS 62,24596.96243505,1966.26764233333,36964.4123144746,13,Roncador,2019-11-01,NA
FPSO CIDADE DE ANCHIETA,44380.5555170533,1579.023172,54312.3112545307,7,Jubarte,2019-11-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,116177.727949258,1335.62335366667,124578.545075384,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-11-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1072.71283859733,1248.665842,8926.58373826735,3,Leste Do Urucu,2019-11-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1349.12650614,1153.22343866667,8602.68282289998,7,Leste Do Urucu,2019-11-01,NA
PONTO DE COLETA ÁREA DO LUC-43,1367.30300873833,1041.074211,7915.46199182824,3,Leste Do Urucu,2019-11-01,NA
PETROBRAS 52,50791.44855276,1011.069473,57150.8834347301,14,Roncador,2019-11-01,NA
POLO ARARA,9218.39199943516,8252.60523903226,61125.7109579527,35,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2019-12-01,NA
FPSO CIDADE DE MANGARATIBA,146648.255212897,7715.72611451613,195178.706485241,8,Lula,2019-12-01,NA
FPSO CIDADE DE ITAGUAÍ,140974.674130365,7066.38806129032,185420.912422149,7,Lula,2019-12-01,NA
PLATAFORMA DE MEXILHÃO,4272.28242851613,6064.94770032258,42419.6511234821,7,Mexilhão,2019-12-01,NA
FPSO CIDADE DE SAQUAREMA,138934.671132112,5833.44199387097,175625.912919582,8,Anc_Lula/Lula/Sul De Lula,2019-12-01,NA
PETROBRAS 66 (P-66),135627.866378075,5745.29656419355,171764.690160505,7,Anc_Lula/Lula/Sul De Lula,2019-12-01,NA
PETROBRAS 74 (P-74),139692.401000229,5717.47573290323,175654.237039801,4,Búzios/Tambuatá,2019-12-01,NA
FPSO CIDADE DE ILHA BELA,132151.936243808,5435.96884387097,166343.147437676,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-12-01,NA
FPSO CIDADE DE MARICÁ,148924.169711054,5126.64265870968,181169.777972232,6,Anc_Lula/Lula/Sul De Lula,2019-12-01,NA
PETROBRAS 69,145314.220515421,5074.55987935484,177232.237990186,6,Anc_Lula/Lula/Sul De Lula,2019-12-01,NA
PETROBRAS 75 (P-75),142322.919251516,5073.95963935484,174237.161330727,4,Búzios/Tambuatá,2019-12-01,NA
FPSO CIDADE DE SÃO PAULO,101153.308514075,4783.3393416129,131239.604138346,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-12-01,NA
PLATAFORMA DE MANATI 1,341.836362011935,4522.72433225806,28788.913094292,6,Manati,2019-12-01,NA
FPSO CIDADE DE PARATY,110213.245988698,4406.64694967742,137930.218039248,6,Anc_Lula/Lula/Sul De Lula,2019-12-01,NA
PETROBRAS 76,103924.053256448,4189.64367806452,130276.115959175,4,Búzios/Tambuatá,2019-12-01,NA
PETROBRAS 58,118438.280842423,4005.97623935484,143635.110252479,12,Baleia Anã/Jubarte,2019-12-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,66.8045163546419,3814.83117096774,24061.3677638193,22,Gavião Branco/Gavião Caboclo,2019-12-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,16.020336793271,3415.21742741936,21497.0890639498,20,Gavião Real/Gavião Vermelho,2019-12-01,NA
FPSO CIDADE DE ANGRA DOS REIS,76709.7269428042,3360.17498967742,97844.5891946271,6,Anc_Lula/Lula/Sul De Lula,2019-12-01,NA
PETROBRAS 67 (P-67),98003.2477953687,3262.09989870968,118521.236359272,4,Anc_Lula/Lula/Sul De Lula,2019-12-01,NA
FPSO PIONEIRO DE LIBRA,43144.1135534698,2912.82600451613,61465.2356849354,1,Mero,2019-12-01,NA
PETROBRAS 77,70321.7801356129,2300.90013903226,84794.0048390994,3,Búzios/Tambuatá,2019-12-01,NA
PETROBRAS 62,25468.7940136355,2119.03652290323,38797.1311257574,13,Roncador,2019-12-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2322.59045788226,1938.68879258065,14516.5746123439,8,Leste Do Urucu,2019-12-01,NA
FPSO CIDADE DE ANCHIETA,38709.0915980935,1396.21574612903,47491.0233602534,6,Jubarte,2019-12-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,115631.994597347,1331.60494580645,124007.53670153,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-12-01,NA
PONTO DE COLETA ÁREA DO LUC-09,968.912361170322,1127.35343451613,8059.75126712422,3,Leste Do Urucu,2019-12-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1332.93430333194,1122.54100290323,8393.50392880267,6,Leste Do Urucu,2019-12-01,NA
PONTO DE COLETA ÁREA DO LUC-43,1249.19684541935,955.864217096773,7261.40115675681,3,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-12-01,NA
PLATAFORMA DE PIRANEMA,2735.52358578064,916.65153516129,8501.08757815348,3,Piranema,2019-12-01,NA
POLO ARARA,9126.76854006225,8482.43983225806,62479.7034213973,35,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-01-01,NA
FPSO CIDADE DE MANGARATIBA,150084.013201123,7910.86446451613,199841.847618681,8,Lula,2020-01-01,NA
FPSO CIDADE DE ITAGUAÍ,148375.790079845,7553.72825096774,195887.305570065,7,Lula,2020-01-01,NA
PLATAFORMA DE MEXILHÃO,4306.96768720968,6221.24557870968,43437.4203406336,7,Mexilhão,2020-01-01,NA
FPSO CIDADE DE SAQUAREMA,139401.379059591,6046.63462483871,177433.561989247,8,Anc_Lula/Lula/Sul De Lula,2020-01-01,NA
FPSO CIDADE DE ILHA BELA,143567.712087625,5983.38309677419,181202.054923546,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-01-01,NA
PETROBRAS 74 (P-74),140405.574150535,5602.04801193548,175641.391756487,5,Búzios/Tambuatá,2020-01-01,NA
FPSO CIDADE DE MARICÁ,150233.55194055,5226.28052483871,183105.863448486,6,Anc_Lula/Lula/Sul De Lula,2020-01-01,NA
PETROBRAS 75 (P-75),143752.128430165,5055.31041193548,175549.07041226,4,Búzios/Tambuatá,2020-01-01,NA
FPSO CIDADE DE SÃO PAULO,108370.218188496,4836.34342516129,138789.89942751,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-01-01,NA
PETROBRAS 69,135766.264583712,4735.72162645161,165553.053826983,6,Anc_Lula/Lula/Sul De Lula,2020-01-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,66.6227814250613,4524.04443967742,28522.0027385525,25,Gavião Branco/Gavião Caboclo,2020-01-01,NA
PETROBRAS 66 (P-66),110504.103010518,4331.09178967742,137745.847460149,7,Anc_Lula/Lula/Sul De Lula,2020-01-01,NA
FPSO CIDADE DE PARATY,108388.839948097,4307.71956483871,135483.577544215,6,Anc_Lula/Lula/Sul De Lula,2020-01-01,NA
PETROBRAS 76,100073.409255768,4031.77619387097,125432.515477739,4,Búzios/Tambuatá,2020-01-01,NA
PETROBRAS 58,108719.296864987,3794.48207516129,132585.868166157,12,Baleia Anã/Jubarte,2020-01-01,NA
PETROBRAS 77,106178.120292323,3622.69971129032,128964.213163394,4,Búzios/Tambuatá,2020-01-01,NA
PLATAFORMA DE MANATI 1,298.567338742258,3538.82840096774,22557.1256034332,6,Manati,2020-01-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,21.5360456737742,3416.90377483871,21513.211577692,20,Gavião Real/Gavião Vermelho,2020-01-01,NA
FPSO CIDADE DE ANGRA DOS REIS,78105.518961498,3297.99731322581,98849.2954421988,6,Anc_Lula/Lula/Sul De Lula,2020-01-01,NA
PETROBRAS 67 (P-67),96313.4802487961,3144.45961032258,116091.533750399,4,Anc_Lula/Lula/Sul De Lula,2020-01-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2084.60981541355,1652.75732419355,12480.1393606994,8,Leste Do Urucu,2020-01-01,NA
PETROBRAS 62,22248.5918720516,1601.59082516129,32322.2938600593,12,Roncador,2020-01-01,NA
FPSO CIDADE DE SANTOS,8232.13376256452,1574.45139774194,18135.1339085957,7,Uruguá,2020-01-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1597.06107727935,1499.53349064516,11028.8418220742,7,Leste Do Urucu,2020-01-01,NA
FPSO CIDADE DE ANCHIETA,38980.2290754258,1416.58258290323,47890.2643711964,7,Jubarte,2020-01-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,113481.25889144,1306.39145096774,121698.212903652,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-01-01,NA
PONTO DE COLETA ÁREA DO LUC-09,982.489829092258,1151.72210774194,8226.60305958856,4,Leste Do Urucu,2020-01-01,NA
PETROBRAS 52,59341.9185268968,1143.10858258064,66531.8543206983,14,Roncador,2020-01-01,NA
FPSO PIONEIRO DE LIBRA,16065.7369664863,1068.61621225806,22787.1299045092,1,Mero,2020-01-01,NA
FPSO CIDADE DE MANGARATIBA,147576.9162743,7917.28360517241,197375.12586695,8,Lula,2020-02-01,NA
FPSO CIDADE DE ITAGUAÍ,146459.2474019,7566.76934724138,194052.788909872,7,Lula,2020-02-01,NA
POLO ARARA,8279.93429659,7245.68692827586,53853.9283949288,35,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-02-01,NA
PLATAFORMA DE MEXILHÃO,4134.3506733,6092.63077517241,42455.8406492872,7,Mexilhão,2020-02-01,NA
FPSO CIDADE DE ILHA BELA,145341.145890341,5994.02671,183042.435031166,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-02-01,NA
FPSO CIDADE DE SAQUAREMA,137568.589597526,5969.12248310345,175113.235882975,7,Anc_Lula/Lula/Sul De Lula,2020-02-01,NA
PETROBRAS 76,134651.8859359,5446.85396068965,168911.562446385,4,Búzios/Tambuatá,2020-02-01,NA
PETROBRAS 74 (P-74),129883.5094012,5216.09018965517,162691.725636995,5,Búzios/Tambuatá,2020-02-01,NA
FPSO CIDADE DE SÃO PAULO,104254.984354208,4910.279,135139.706311198,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-02-01,NA
PETROBRAS 69,139934.059223311,4890.01722862069,170691.338488062,6,Anc_Lula/Lula/Sul De Lula,2020-02-01,NA
PETROBRAS 77,119352.4306335,4057.25134586207,144871.770721217,4,Búzios/Tambuatá,2020-02-01,NA
FPSO CIDADE DE MARICÁ,108714.734840747,3944.53514551724,133525.111444373,7,Anc_Lula/Lula/Sul De Lula,2020-02-01,NA
PETROBRAS 66 (P-66),101106.407096355,3814.60302551724,125099.535352284,7,Anc_Lula/Lula/Sul De Lula,2020-02-01,NA
FPSO CIDADE DE ANGRA DOS REIS,79853.5143390688,3309.74537862069,100671.183918971,6,Anc_Lula/Lula/Sul De Lula,2020-02-01,NA
PETROBRAS 58,101436.0087868,3274.96184241379,122034.896532833,12,Baleia Anã/Jubarte,2020-02-01,NA
FPSO CIDADE DE PARATY,82295.3790905133,3189.01061482759,102353.649945762,6,Anc_Lula/Lula/Sul De Lula,2020-02-01,NA
PETROBRAS 67 (P-67),89240.1970293229,2960.00680172414,107858.077410875,4,Anc_Lula/Lula/Sul De Lula,2020-02-01,NA
FPSO PIONEIRO DE LIBRA,42487.9634897612,2867.30934965517,60522.7945103158,1,Mero,2020-02-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,49.9434229675,2673.01982896552,16862.7302733931,25,Gavião Branco/Gavião Caboclo,2020-02-01,NA
PLATAFORMA DE MANATI 1,180.4481422,2467.98174241379,15703.5843854517,6,Manati,2020-02-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,20.5293911083,2408.28580344828,15168.1895204953,20,Gavião Real/Gavião Vermelho,2020-02-01,NA
PETROBRAS 62,21826.1417159,1693.22800896552,32476.2241789714,11,Roncador,2020-02-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1968.41859606,1616.86247,12138.1763284907,7,Leste Do Urucu,2020-02-01,NA
FPSO CIDADE DE SANTOS,8372.4810427,1609.87852793104,18498.3111064659,8,Tambaú/Uruguá,2020-02-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1626.2672468,1503.40483,11082.3979805823,7,Leste Do Urucu,2020-02-01,NA
FPSO CIDADE DE ANCHIETA,37819.8445571,1358.23214655173,46362.8666948025,6,Jubarte,2020-02-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,113056.449744287,1297.67835586207,121218.600043772,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-02-01,NA
PETROBRAS 52,57198.4650412,1110.54896034483,64183.6069974665,14,Roncador,2020-02-01,NA
PONTO DE COLETA ÁREA DO LUC-09,916.03209543,1106.4203103448301,7875.20562764,4,Leste Do Urucu,2020-02-01,NA
PONTO DE COLETA ÁREA DO LUC-05,1100.76034489,1049.89662551724,7704.4106390346,4,Leste Do Urucu,2020-02-01,NA
POLO ARARA,8450.60686366387,7644.95310064516,56535.9093256328,35,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-03-01,NA
FPSO CIDADE DE ITAGUAÍ,110579.270782884,6086.86389193548,148864.488159019,7,Lula,2020-03-01,NA
FPSO CIDADE DE SAQUAREMA,134145.245725649,5926.48656419355,171421.720181979,7,Anc_Lula/Lula/Sul De Lula,2020-03-01,NA
FPSO CIDADE DE ILHA BELA,141227.757042872,5913.2356883871,178420.886008046,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-03-01,NA
PLATAFORMA DE MEXILHÃO,3840.97798299033,5700.42174806452,39695.547698184,7,Mexilhão,2020-03-01,NA
PETROBRAS 74 (P-74),138479.650560303,5597.03743677419,173683.9526005,5,Búzios/Tambuatá,2020-03-01,NA
PETROBRAS 76,136357.142001977,5586.64209064516,171496.059290138,4,Búzios/Tambuatá,2020-03-01,NA
FPSO CIDADE DE MARICÁ,139653.985226819,5279.76701870968,172862.716618769,7,Anc_Lula/Lula/Sul De Lula,2020-03-01,NA
PETROBRAS 69,147883.160778118,5186.43189064516,180504.831948217,6,Anc_Lula/Lula/Sul De Lula,2020-03-01,NA
PETROBRAS 66 (P-66),113871.575301119,5064.10112903226,145723.809223517,7,Anc_Lula/Lula/Sul De Lula,2020-03-01,NA
PETROBRAS 75 (P-75),137555.722108665,4855.69608677419,168097.127912218,4,Búzios/Tambuatá,2020-03-01,NA
FPSO CIDADE DE SÃO PAULO,99470.2019675963,4736.45913290323,129261.629986322,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-03-01,NA
FPSO CIDADE DE MANGARATIBA,75188.6585931387,4599.89303451613,104121.111800569,8,Lula,2020-03-01,NA
FPSO CIDADE DE PARATY,104206.523382716,4024.31040935484,129518.671238581,6,Anc_Lula/Lula/Sul De Lula,2020-03-01,NA
PETROBRAS 77,111009.059587097,3880.60354451613,135417.31856743,4,Búzios/Tambuatá,2020-03-01,NA
PETROBRAS 58,94833.1291261936,3174.50534258065,114800.164575011,11,Jubarte,2020-03-01,NA
FPSO PIONEIRO DE LIBRA,43048.2406071572,2929.0965516129,61471.7013884576,1,Mero,2020-03-01,NA
PETROBRAS 67 (P-67),78264.6872965579,2791.52968032258,95822.8785951476,5,Anc_Lula/Lula/Sul De Lula,2020-03-01,NA
PETROBRAS 62,27485.4714462839,2354.14436709677,42292.5922278928,12,Roncador,2020-03-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1925.83289523,1561.73616193548,11748.8566239334,8,Leste Do Urucu,2020-03-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1547.25410086032,1436.35163225806,10581.6329609534,7,Leste Do Urucu,2020-03-01,NA
FPSO CIDADE DE ANGRA DOS REIS,32138.1733313419,1296.14588645161,40290.6846894041,5,Anc_Lula/Lula/Sul De Lula,2020-03-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,110466.262807476,1252.27323,118342.823492262,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-03-01,NA
FPSO CIDADE DE SANTOS,6033.4758948483905,1220.57198064516,13710.6417444301,8,Tambaú/Uruguá,2020-03-01,NA
FPSO CIDADE DE ANCHIETA,34157.0932029935,1208.78961806452,41760.1502305919,6,Jubarte,2020-03-01,NA
PETROBRAS 52,57326.6106496516,1091.56476322581,64192.3456130369,13,Roncador,2020-03-01,NA
PONTO DE COLETA ÁREA DO LUC-05,1128.43229052226,1051.55241741935,7742.49720113069,4,Leste Do Urucu,2020-03-01,NA
PONTO DE COLETA ÁREA DO LUC-09,815.99531203871,1023.16160709678,7251.48741997208,4,Leste Do Urucu,2020-03-01,NA
PEROA,302.168559312903,941.766688064516,6225.70209156798,5,Cangoá/Peroá,2020-03-01,NA
PLATAFORMA DE PIRANEMA,2458.77397475162,919.173566774193,8240.2010667836,3,Piranema,2020-03-01,NA
POLO ARARA,8440.22517380733,7629.09733633333,56425.7978908501,35,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-04-01,NA
FPSO CIDADE DE ITAGUAÍ,136366.58422417,7555.80728,183891.176411987,6,Lula,2020-04-01,NA
FPSO CIDADE DE MANGARATIBA,123341.46327168,7134.25952266667,168214.600159944,8,Lula,2020-04-01,NA
FPSO CIDADE DE SAQUAREMA,138985.904989263,6139.87602,177604.558578619,7,Anc_Lula/Lula/Sul De Lula,2020-04-01,NA
PLATAFORMA DE MEXILHÃO,4088.09136194667,5978.49602966667,41691.6954743044,7,Mexilhão,2020-04-01,NA
PETROBRAS 75,158555.80110141,5918.02689466667,195779.065843753,4,Búzios/Tambuatá,2020-04-01,NA
PETROBRAS 66,122505.655302768,5869.75835966667,159425.320130983,7,Anc_Lula/Lula/Sul De Lula,2020-04-01,NA
FPSO CIDADE DE ILHA BELA,133593.486118883,5673.06573833333,169275.99173051,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-04-01,NA
PETROBRAS 74,134384.927168587,5397.46705366666,168333.96941741,5,Búzios/Tambuatá,2020-04-01,NA
PETROBRAS 69,146730.099562037,5194.71912933334,179403.895888909,6,Anc_Lula/Lula/Sul De Lula,2020-04-01,NA
PETROBRAS 77,147215.26109179,5178.313061,179785.866365998,4,Búzios/Tambuatá,2020-04-01,NA
FPSO CIDADE DE MARICÁ,137483.506478844,5176.520199,170042.834991716,8,Anc_Lula/Lula/Sul De Lula,2020-04-01,NA
FPSO CIDADE DE SÃO PAULO,75120.7649904338,4759.28260133333,105055.748289126,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-04-01,NA
FPSO CIDADE DE PARATY,106883.031533447,4170.86706333333,133116.992897072,6,Anc_Lula/Lula/Sul De Lula,2020-04-01,NA
PETROBRAS 67,111515.487303704,3921.207099,136179.134927065,5,Anc_Lula/Lula/Sul De Lula,2020-04-01,NA
FPSO CIDADE DE ANGRA DOS REIS,75570.4096403993,3179.198241,95566.9625286236,6,Anc_Lula/Lula/Sul De Lula,2020-04-01,NA
PETROBRAS 76,77780.9058529733,3150.30253633333,97595.7102490281,4,Búzios/Tambuatá,2020-04-01,NA
PETROBRAS 62,28029.6052765167,2715.00149033333,45106.4488004302,12,Roncador,2020-04-01,NA
PETROBRAS 58,74018.5637509267,2518.37927066667,89858.6908713586,11,Jubarte,2020-04-01,NA
FPSO PIONEIRO DE LIBRA,36243.1345943127,2444.159105,51616.4309745328,1,Mero,2020-04-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1784.297703667,1544.748466,11500.4720525985,8,Leste Do Urucu,2020-04-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1964.87416522067,1470.293742,11212.7424465897,8,Leste Do Urucu,2020-04-01,NA
