Nº,Poço,Campo,Bacia,Localização,Operador,Gás natural (Mm³/d),mes
1,7MXL18HASPS,Mexilhão,Santos,Mar,Petrobras,1900,2018-01-01
2,7MXL17HPASPS,Mexilhão,Santos,Mar,Petrobras,1860,2018-01-01
3,7LL73DRJS,Lula,Santos,Mar,Petrobras,1563,2018-01-01
4,7LL15DRJS,Lula,Santos,Mar,Petrobras,1446,2018-01-01
5,7LL83DRJS,Lula,Santos,Mar,Petrobras,1394,2018-01-01
6,9LL20DRJS,Lula,Santos,Mar,Petrobras,1337,2018-01-01
7,7LL36ARJS,Lula,Santos,Mar,Petrobras,1309,2018-01-01
8,7LL51RJS,Lula,Santos,Mar,Petrobras,1226,2018-01-01
9,7LL45DRJS,Lula,Santos,Mar,Petrobras,1193,2018-01-01
10,7SPH3SPS,Sapinhoá,Santos,Mar,Petrobras,1188,2018-01-01
11,7MNT6DBAS,Manati,Camamu,Mar,Petrobras,1101,2018-01-01
12,3BRSA830RJS,Lula,Santos,Mar,Petrobras,1063,2018-01-01
13,7LL27RJS,Lula,Santos,Mar,Petrobras,1056,2018-01-01
14,7LL63DRJS,Lula,Santos,Mar,Petrobras,1054,2018-01-01
15,9LL2RJS,Lula,Santos,Mar,Petrobras,1039,2018-01-01
16,7SPH5SPS,Sapinhoá,Santos,Mar,Petrobras,1033,2018-01-01
17,8LL81DRJS,Lula,Santos,Mar,Petrobras,1013,2018-01-01
18,7LL80DBRJS,Lula,Santos,Mar,Petrobras,997,2018-01-01
19,7LL31DRJS,Lula,Santos,Mar,Petrobras,989,2018-01-01
20,7SPH7DSPS,Sapinhoá,Santos,Mar,Petrobras,984,2018-01-01
21,7SPH1SPS,Sapinhoá,Santos,Mar,Petrobras,978,2018-01-01
22,9LL7RJS,Lula,Santos,Mar,Petrobras,954,2018-01-01
23,3BRSA788SPS,Sapinhoá,Santos,Mar,Petrobras,954,2018-01-01
24,9LL12DRJS,Lula,Santos,Mar,Petrobras,941,2018-01-01
25,3BRSA496RJS,Lula,Santos,Mar,Petrobras,940,2018-01-01
26,7SPH17SPS,Sapinhoá,Santos,Mar,Petrobras,932,2018-01-01
27,8LL87DRJS,Lula,Santos,Mar,Petrobras,923,2018-01-01
28,7LL22DRJS,Lula,Santos,Mar,Petrobras,906,2018-01-01
29,3BRSA839ARJS,Lula,Santos,Mar,Petrobras,906,2018-01-01
30,7SPH14DSPS,Sapinhoá,Santos,Mar,Petrobras,901,2018-01-01
1,7MXL17HPASPS,Mexilhão,Santos,Mar,Petrobras,1858,2018-02-01
2,7MXL18HASPS,Mexilhão,Santos,Mar,Petrobras,1845,2018-02-01
3,7LL73DRJS,Lula,Santos,Mar,Petrobras,1629,2018-02-01
4,7LL83DRJS,Lula,Santos,Mar,Petrobras,1417,2018-02-01
5,7LL36ARJS,Lula,Santos,Mar,Petrobras,1384,2018-02-01
6,9LL20DRJS,Lula,Santos,Mar,Petrobras,1381,2018-02-01
7,7LL51RJS,Lula,Santos,Mar,Petrobras,1302,2018-02-01
8,7SPH3SPS,Sapinhoá,Santos,Mar,Petrobras,1226,2018-02-01
9,7MNT6DBAS,Manati,Camamu,Mar,Petrobras,1169,2018-02-01
10,7LL15DRJS,Lula,Santos,Mar,Petrobras,1147,2018-02-01
11,9LL2RJS,Lula,Santos,Mar,Petrobras,1134,2018-02-01
12,7LL27RJS,Lula,Santos,Mar,Petrobras,1120,2018-02-01
13,7LL45DRJS,Lula,Santos,Mar,Petrobras,1117,2018-02-01
14,3BRSA830RJS,Lula,Santos,Mar,Petrobras,1115,2018-02-01
15,8LL87DRJS,Lula,Santos,Mar,Petrobras,1112,2018-02-01
16,7SPH17SPS,Sapinhoá,Santos,Mar,Petrobras,1098,2018-02-01
17,8LL81DRJS,Lula,Santos,Mar,Petrobras,1088,2018-02-01
18,3BRSA1305ARJS,Mero,Santos,Mar,Petrobras,1087,2018-02-01
19,7LL80DBRJS,Lula,Santos,Mar,Petrobras,1067,2018-02-01
20,7LL63DRJS,Lula,Santos,Mar,Petrobras,1057,2018-02-01
21,9LL7RJS,Lula,Santos,Mar,Petrobras,1034,2018-02-01
22,3BRSA788SPS,Sapinhoá,Santos,Mar,Petrobras,1033,2018-02-01
23,7SPH14DSPS,Sapinhoá,Santos,Mar,Petrobras,1025,2018-02-01
24,7SPH1SPS,Sapinhoá,Santos,Mar,Petrobras,1024,2018-02-01
25,3BRSA496RJS,Lula,Santos,Mar,Petrobras,1014,2018-02-01
26,7SPH7DSPS,Sapinhoá,Santos,Mar,Petrobras,1001,2018-02-01
27,3BRSA839ARJS,Lula,Santos,Mar,Petrobras,965,2018-02-01
28,7SPH5SPS,Sapinhoá,Santos,Mar,Petrobras,946,2018-02-01
29,9LL12DRJS,Lula,Santos,Mar,Petrobras,916,2018-02-01
30,9BRSA928SPS,Sapinhoá,Santos,Mar,Petrobras,894,2018-02-01
1,7MXL18HASPS,Mexilhão,Santos,Mar,Petrobras,1691.93863258065,2018-03-01
2,3BRSA1305ARJS,Mero,Santos,Mar,Petrobras,1662.87887258065,2018-03-01
3,7MXL17HPASPS,Mexilhão,Santos,Mar,Petrobras,1605.52625645161,2018-03-01
4,7LL73DRJS,Lula,Santos,Mar,Petrobras,1457.46836677419,2018-03-01
5,7LL36ARJS,Lula,Santos,Mar,Petrobras,1387.71245258065,2018-03-01
6,9LL20DRJS,Lula,Santos,Mar,Petrobras,1333.75374354839,2018-03-01
7,7LL83DRJS,Lula,Santos,Mar,Petrobras,1266.66354483871,2018-03-01
8,9LL2RJS,Lula,Santos,Mar,Petrobras,1217.89193903226,2018-03-01
9,7LL27RJS,Lula,Santos,Mar,Petrobras,1206.73265387097,2018-03-01
10,7MNT6DBAS,Manati,Camamu,Mar,Petrobras,1201.14318870968,2018-03-01
11,7SPH3SPS,Sapinhoá,Santos,Mar,Petrobras,1146.39118677419,2018-03-01
12,7SPH17SPS,Sapinhoá,Santos,Mar,Petrobras,1135.89564548387,2018-03-01
13,7LL45DRJS,Lula,Santos,Mar,Petrobras,1131.5537083871,2018-03-01
14,7LL80DBRJS,Lula,Santos,Mar,Petrobras,1060.55455645161,2018-03-01
15,8LL81DRJS,Lula,Santos,Mar,Petrobras,1051.05792774193,2018-03-01
16,3BRSA496RJS,Lula,Santos,Mar,Petrobras,1043.82425290322,2018-03-01
17,7SPH7DSPS,Sapinhoá,Santos,Mar,Petrobras,1028.7424116129,2018-03-01
18,3BRSA788SPS,Sapinhoá,Santos,Mar,Petrobras,1007.91854612903,2018-03-01
19,8LL87DRJS,Lula,Santos,Mar,Petrobras,1003.33224677419,2018-03-01
20,9LL7RJS,Lula,Santos,Mar,Petrobras,1002.30277548387,2018-03-01
21,7SPH14DSPS,Sapinhoá,Santos,Mar,Petrobras,1002.20289322581,2018-03-01
22,7SPH1SPS,Sapinhoá,Santos,Mar,Petrobras,993.143565483871,2018-03-01
23,7LL15DRJS,Lula,Santos,Mar,Petrobras,992.743848387097,2018-03-01
24,8LL37DRJS,Lula,Santos,Mar,Petrobras,941.588405483871,2018-03-01
25,7RO154DRJS,Roncador,Campos,Mar,Petrobras,932.232676774194,2018-03-01
26,7LL31DRJS,Lula,Santos,Mar,Petrobras,929.284696451613,2018-03-01
27,7LL48DRJS,Lula,Santos,Mar,Petrobras,913.872918709677,2018-03-01
28,7LL97RJS,Lula,Santos,Mar,Petrobras,913.21119,2018-03-01
29,7SPH8SPS,Sapinhoá,Santos,Mar,Petrobras,895.603088387097,2018-03-01
30,7SPH5SPS,Sapinhoá,Santos,Mar,Petrobras,892.959629677419,2018-03-01
1,3BRSA1305ARJS,Mero,Santos,Mar,Petrobras,2352.15684,2018-04-01
2,7MXL18HASPS,Mexilhão,Santos,Mar,Petrobras,1813.51878833333,2018-04-01
3,7MXL17HPASPS,Mexilhão,Santos,Mar,Petrobras,1790.53344433333,2018-04-01
4,7LL73DRJS,Lula,Santos,Mar,Petrobras,1470.21228,2018-04-01
5,7LL36ARJS,Lula,Santos,Mar,Petrobras,1360.71322133333,2018-04-01
6,7LL83DRJS,Lula,Santos,Mar,Petrobras,1285.66062866667,2018-04-01
7,7LL63DRJS,Lula,Santos,Mar,Petrobras,1247.250887,2018-04-01
8,9LL2RJS,Lula,Santos,Mar,Petrobras,1246.270875,2018-04-01
9,3BRSA496RJS,Lula,Santos,Mar,Petrobras,1233.658219,2018-04-01
10,7LL60DRJS,Lula,Santos,Mar,Petrobras,1224.64464733333,2018-04-01
11,7LL27RJS,Lula,Santos,Mar,Petrobras,1201.85107433333,2018-04-01
12,8LL37DRJS,Lula,Santos,Mar,Petrobras,1163.06860933333,2018-04-01
13,7LL45DRJS,Lula,Santos,Mar,Petrobras,1152.14815966667,2018-04-01
14,7MNT6DBAS,Manati,Camamu,Mar,Petrobras,1122.37562633333,2018-04-01
15,7SPH14DSPS,Sapinhoá,Santos,Mar,Petrobras,1113.084884,2018-04-01
16,3BRSA883RJS,Lula,Santos,Mar,Petrobras,1106.80958366667,2018-04-01
17,8LL87DRJS,Lula,Santos,Mar,Petrobras,1091.59055633333,2018-04-01
18,7SPH17SPS,Sapinhoá,Santos,Mar,Petrobras,1076.397584,2018-04-01
19,3BRSA830RJS,Lula,Santos,Mar,Petrobras,1071.55341566667,2018-04-01
20,3BRSA839ARJS,Lula,Santos,Mar,Petrobras,1056.239723,2018-04-01
21,3BRSA788SPS,Sapinhoá,Santos,Mar,Petrobras,1051.14457833333,2018-04-01
22,8LL81DRJS,Lula,Santos,Mar,Petrobras,1047.5766696666701,2018-04-01
23,7LL80DBRJS,Lula,Santos,Mar,Petrobras,1035.77894,2018-04-01
24,7SPH7DSPS,Sapinhoá,Santos,Mar,Petrobras,1016.66270466667,2018-04-01
25,7LL48DRJS,Lula,Santos,Mar,Petrobras,1014.35495,2018-04-01
26,9LL7RJS,Lula,Santos,Mar,Petrobras,981.110963333333,2018-04-01
27,7LL15DRJS,Lula,Santos,Mar,Petrobras,968.484420666667,2018-04-01
28,7RO154DRJS,Roncador,Campos,Mar,Petrobras,909.389522333333,2018-04-01
29,7LL84DRJS,Lula,Santos,Mar,Petrobras,906.399707,2018-04-01
30,7LL91RJS,Lula,Santos,Mar,Petrobras,904.017155333333,2018-04-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,Petrobras,2697.53942322581,2018-05-01
2,7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,Petrobras,1773.62870419355,2018-05-01
3,9-LL-2-RJS,Lula,Santos,Mar,Petrobras,1597.73947612903,2018-05-01
4,7-LL-27-RJS,Lula,Santos,Mar,Petrobras,1554.57372064516,2018-05-01
5,7-LL-83D-RJS,Lula,Santos,Mar,Petrobras,1425.33188096774,2018-05-01
6,3-BRSA-830-RJS,Lula,Santos,Mar,Petrobras,1396.47975677419,2018-05-01
7,9-LL-20D-RJS,Lula,Santos,Mar,Petrobras,1335.08171225806,2018-05-01
8,7-SPH-5-SPS,Sapinhoá,Santos,Mar,Petrobras,1326.5757016129,2018-05-01
9,7-LL-60D-RJS,Lula,Santos,Mar,Petrobras,1311.08363451613,2018-05-01
10,7-LL-51-RJS,Lula,Santos,Mar,Petrobras,1275.26514225806,2018-05-01
11,7-LL-63D-RJS,Lula,Santos,Mar,Petrobras,1242.82683709677,2018-05-01
12,7-SPH-14D-SPS,Sapinhoá,Santos,Mar,Petrobras,1225.10381677419,2018-05-01
13,8-LL-37D-RJS,Lula,Santos,Mar,Petrobras,1223.91432709677,2018-05-01
14,3-BRSA-496-RJS,Lula,Santos,Mar,Petrobras,1194.16719451613,2018-05-01
15,7-MNT-6D-BAS,Manati,Camamu,Mar,Petrobras,1170.01757322581,2018-05-01
16,3-BRSA-883-RJS,Lula,Santos,Mar,Petrobras,1160.11657290323,2018-05-01
17,7-LL-15D-RJS,Lula,Santos,Mar,Petrobras,1133.69825290323,2018-05-01
18,8-LL-87D-RJS,Lula,Santos,Mar,Petrobras,1114.64226709677,2018-05-01
19,7-RO-154D-RJS,Roncador,Campos,Mar,Petrobras,1113.57355483871,2018-05-01
20,7-SPH-17-SPS,Sapinhoá,Santos,Mar,Petrobras,1076.7308216129,2018-05-01
21,3-BRSA-788-SPS,Sapinhoá,Santos,Mar,Petrobras,1039.76717258065,2018-05-01
22,4-BRSA-1001-ESS,Golfinho,Espírito Santo,Mar,Petrobras,1020.57508,2018-05-01
23,7-SPH-1-SPS,Sapinhoá,Santos,Mar,Petrobras,997.763056774194,2018-05-01
24,7-SPH-7D-SPS,Sapinhoá,Santos,Mar,Petrobras,980.574373548387,2018-05-01
25,9-BUZ-7-RJS,Búzios,Santos,Mar,Petrobras,953.310064516129,2018-05-01
26,7-MNT-2-BAS,Manati,Camamu,Mar,Petrobras,950.778957096774,2018-05-01
27,7-MNT-5D-BAS,Manati,Camamu,Mar,Petrobras,923.706258709677,2018-05-01
28,7-LL-48D-RJS,Lula,Santos,Mar,Petrobras,914.833857096774,2018-05-01
29,9-BRSA-908D-RJS,Lula,Santos,Mar,Petrobras,912.302034516129,2018-05-01
30,7-LL-36A-RJS,Lula,Santos,Mar,Petrobras,908.200131290323,2018-05-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,Petrobras,2763.796704,2018-06-01
2,7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,Petrobras,1871.90103366667,2018-06-01
3,9-LL-2-RJS,Lula,Santos,Mar,Petrobras,1515.654617,2018-06-01
4,7-LL-27-RJS,Lula,Santos,Mar,Petrobras,1481.75326533333,2018-06-01
5,7-LL-83D-RJS,Lula,Santos,Mar,Petrobras,1432.93675266667,2018-06-01
6,7-LL-36A-RJS,Lula,Santos,Mar,Petrobras,1426.15357433333,2018-06-01
7,9-LL-20D-RJS,Lula,Santos,Mar,Petrobras,1360.30371333333,2018-06-01
8,7-LL-73D-RJS,Lula,Santos,Mar,Petrobras,1320.353068,2018-06-01
9,7-LL-60D-RJS,Lula,Santos,Mar,Petrobras,1286.11777933333,2018-06-01
10,8-LL-37D-RJS,Lula,Santos,Mar,Petrobras,1227.14090966667,2018-06-01
11,7-LL-31D-RJS,Lula,Santos,Mar,Petrobras,1177.87252733333,2018-06-01
12,3-BRSA-883-RJS,Lula,Santos,Mar,Petrobras,1172.03202333333,2018-06-01
13,8-LL-87D-RJS,Lula,Santos,Mar,Petrobras,1098.49153533333,2018-06-01
14,4-BRSA-1001-ESS,Golfinho,Espírito Santo,Mar,Petrobras,1075.453948,2018-06-01
15,7-SPH-14D-SPS,Sapinhoá,Santos,Mar,Petrobras,1061.253774,2018-06-01
16,7-LL-80DB-RJS,Lula,Santos,Mar,Petrobras,1037.32620933333,2018-06-01
17,8-LL-81D-RJS,Lula,Santos,Mar,Petrobras,1023.39333766667,2018-06-01
18,7-LL-84D-RJS,Lula,Santos,Mar,Petrobras,1011.67625566667,2018-06-01
19,7-SPH-1-SPS,Sapinhoá,Santos,Mar,Petrobras,997.150822333333,2018-06-01
20,7-MNT-5D-BAS,Manati,Camamu,Mar,Petrobras,992.223236,2018-06-01
21,7-MNT-2-BAS,Manati,Camamu,Mar,Petrobras,991.067228,2018-06-01
22,7-LL-48D-RJS,Lula,Santos,Mar,Petrobras,986.990043333333,2018-06-01
23,9-LL-7-RJS,Lula,Santos,Mar,Petrobras,976.704943,2018-06-01
24,9-BUZ-7-RJS,Búzios,Santos,Mar,Petrobras,958.564433333333,2018-06-01
25,7-MNT-1-BAS,Manati,Camamu,Mar,Petrobras,948.406799,2018-06-01
26,7-SPH-17-SPS,Sapinhoá,Santos,Mar,Petrobras,947.043939666667,2018-06-01
27,3-BRSA-496-RJS,Lula,Santos,Mar,Petrobras,946.837407,2018-06-01
28,7-MNT-6D-BAS,Manati,Camamu,Mar,Petrobras,930.083347666667,2018-06-01
29,3-BRSA-839A-RJS,Lula,Santos,Mar,Petrobras,929.163050333333,2018-06-01
30,3-BRSA-788-SPS,Sapinhoá,Santos,Mar,Petrobras,918.196906333333,2018-06-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,Petrobras,2575.92493612903,2018-07-01
2,7-LL-60D-RJS,Lula,Santos,Mar,Petrobras,1451.9036916129,2018-07-01
3,7-LL-27-RJS,Lula,Santos,Mar,Petrobras,1405.87770806452,2018-07-01
4,9-LL-20D-RJS,Lula,Santos,Mar,Petrobras,1405.53273741935,2018-07-01
5,7-SPH-3-SPS,Sapinhoá,Santos,Mar,Petrobras,1351.8866016129,2018-07-01
6,7-LL-15D-RJS,Lula,Santos,Mar,Petrobras,1336.43794870968,2018-07-01
7,7-LL-73D-RJS,Lula,Santos,Mar,Petrobras,1302.12967354839,2018-07-01
8,7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,Petrobras,1271.84629709677,2018-07-01
9,3-BRSA-883-RJS,Lula,Santos,Mar,Petrobras,1262.47649870968,2018-07-01
10,8-LL-37D-RJS,Lula,Santos,Mar,Petrobras,1216.66165129032,2018-07-01
11,7-LL-83D-RJS,Lula,Santos,Mar,Petrobras,1154.46745451613,2018-07-01
12,7-SPH-14D-SPS,Sapinhoá,Santos,Mar,Petrobras,1138.58583870968,2018-07-01
13,8-LL-87D-RJS,Lula,Santos,Mar,Petrobras,1094.26922129032,2018-07-01
14,7-MNT-5D-BAS,Manati,Camamu,Mar,Petrobras,1088.13846225806,2018-07-01
15,8-LL-81D-RJS,Lula,Santos,Mar,Petrobras,1086.51461548387,2018-07-01
16,7-LL-28D-RJS,Lula,Santos,Mar,Petrobras,1085.50730903226,2018-07-01
17,4-BRSA-1001-ESS,Golfinho,Espírito Santo,Mar,Petrobras,1072.99611741935,2018-07-01
18,7-SPH-1-SPS,Sapinhoá,Santos,Mar,Petrobras,1050.27046903226,2018-07-01
19,9-LL-2-RJS,Lula,Santos,Mar,Petrobras,1048.99878741935,2018-07-01
20,7-MNT-6D-BAS,Manati,Camamu,Mar,Petrobras,1036.91341645161,2018-07-01
21,7-SPH-17-SPS,Sapinhoá,Santos,Mar,Petrobras,1023.74667064516,2018-07-01
22,7-LL-36A-RJS,Lula,Santos,Mar,Petrobras,1013.8840483871,2018-07-01
23,7-LL-48D-RJS,Lula,Santos,Mar,Petrobras,998.595,2018-07-01
24,7-LL-80DB-RJS,Lula,Santos,Mar,Petrobras,996.606154516129,2018-07-01
25,3-BRSA-788-SPS,Sapinhoá,Santos,Mar,Petrobras,961.982803225806,2018-07-01
26,9-LL-7-RJS,Lula,Santos,Mar,Petrobras,943.863804193548,2018-07-01
27,3-BRSA-839A-RJS,Lula,Santos,Mar,Petrobras,934.563601612903,2018-07-01
28,7-MNT-2-BAS,Manati,Camamu,Mar,Petrobras,931.739398064516,2018-07-01
29,7-SPH-7D-SPS,Sapinhoá,Santos,Mar,Petrobras,927.62221,2018-07-01
30,3-BRSA-496-RJS,Lula,Santos,Mar,Petrobras,920.523393870968,2018-07-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,Petrobras,2583.98003225806,2018-08-01
2,7-LL-27-RJS,Lula,Santos,Mar,Petrobras,1418.20215741935,2018-08-01
3,9-LL-2-RJS,Lula,Santos,Mar,Petrobras,1390.85197032258,2018-08-01
4,9-LL-20D-RJS,Lula,Santos,Mar,Petrobras,1379.39251967742,2018-08-01
5,7-LL-83D-RJS,Lula,Santos,Mar,Petrobras,1336.07008225806,2018-08-01
6,7-SPH-14D-SPS,Sapinhoá,Santos,Mar,Petrobras,1237.47864967742,2018-08-01
7,8-LL-37D-RJS,Lula,Santos,Mar,Petrobras,1213.08555258065,2018-08-01
8,7-LL-73D-RJS,Lula,Santos,Mar,Petrobras,1203.06004806452,2018-08-01
9,7-LL-15D-RJS,Lula,Santos,Mar,Petrobras,1201.07323870968,2018-08-01
10,7-MNT-6D-BAS,Manati,Camamu,Mar,Petrobras,1154.80616387097,2018-08-01
11,7-LL-31D-RJS,Lula,Santos,Mar,Petrobras,1151.60476,2018-08-01
12,7-LL-51-RJS,Lula,Santos,Mar,Petrobras,1144.43630193548,2018-08-01
13,7-LL-60D-RJS,Lula,Santos,Mar,Petrobras,1116.96695258065,2018-08-01
14,8-LL-81D-RJS,Lula,Santos,Mar,Petrobras,1101.48667322581,2018-08-01
15,7-LL-28D-RJS,Lula,Santos,Mar,Petrobras,1059.69284129032,2018-08-01
16,7-SPH-17-SPS,Sapinhoá,Santos,Mar,Petrobras,1045.17432935484,2018-08-01
17,7-SPH-1-SPS,Sapinhoá,Santos,Mar,Petrobras,1009.32864290323,2018-08-01
18,3-BRSA-788-SPS,Sapinhoá,Santos,Mar,Petrobras,1002.49351451613,2018-08-01
19,7-LL-80DB-RJS,Lula,Santos,Mar,Petrobras,998.116388709677,2018-08-01
20,4-BRSA-1001-ESS,Golfinho,Espírito Santo,Mar,Petrobras,996.278757096774,2018-08-01
21,3-BRSA-839A-RJS,Lula,Santos,Mar,Petrobras,971.701347096774,2018-08-01
22,7-SPH-7D-SPS,Sapinhoá,Santos,Mar,Petrobras,968.367809677419,2018-08-01
23,7-SPH-3-SPS,Sapinhoá,Santos,Mar,Petrobras,965.673213225806,2018-08-01
24,3-BRSA-883-RJS,Lula,Santos,Mar,Petrobras,948.673650967742,2018-08-01
25,9-LL-7-RJS,Lula,Santos,Mar,Petrobras,909.311073870968,2018-08-01
26,7-MNT-5D-BAS,Manati,Camamu,Mar,Petrobras,902.016904193548,2018-08-01
27,7-LL-91-RJS,Lula,Santos,Mar,Petrobras,872.156956774194,2018-08-01
28,7-MNT-2-BAS,Manati,Camamu,Mar,Petrobras,870.947913225806,2018-08-01
29,8-LL-87D-RJS,Lula,Santos,Mar,Petrobras,865.990914516129,2018-08-01
30,7-LL-45D-RJS,Lula,Santos,Mar,Petrobras,862.524958064516,2018-08-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,Petrobras,2866.54200433333,2018-09-01
2,9-BUZ-7-RJS,Búzios,Santos,Mar,Petrobras,1718.24987833333,2018-09-01
3,9-LL-2-RJS,Lula,Santos,Mar,Petrobras,1567.53897,2018-09-01
4,7-LL-27-RJS,Lula,Santos,Mar,Petrobras,1455.014109,2018-09-01
5,7-LL-83D-RJS,Lula,Santos,Mar,Petrobras,1281.37301466667,2018-09-01
6,7-SPH-14D-SPS,Sapinhoá,Santos,Mar,Petrobras,1264.00434633333,2018-09-01
7,7-LL-15D-RJS,Lula,Santos,Mar,Petrobras,1255.26159166667,2018-09-01
8,8-LL-81D-RJS,Lula,Santos,Mar,Petrobras,1176.500992,2018-09-01
9,7-LL-60D-RJS,Lula,Santos,Mar,Petrobras,1172.87502933333,2018-09-01
10,7-MNT-6D-BAS,Manati,Camamu,Mar,Petrobras,1167.93215033333,2018-09-01
11,3-BRSA-496-RJS,Lula,Santos,Mar,Petrobras,1151.76237333333,2018-09-01
12,8-LL-37D-RJS,Lula,Santos,Mar,Petrobras,1128.63941666667,2018-09-01
13,7-LL-31D-RJS,Lula,Santos,Mar,Petrobras,1112.61325566667,2018-09-01
14,9-LL-12D-RJS,Lula,Santos,Mar,Petrobras,1105.749988,2018-09-01
15,9-LL-20D-RJS,Lula,Santos,Mar,Petrobras,1057.74097466667,2018-09-01
16,7-SPH-17-SPS,Sapinhoá,Santos,Mar,Petrobras,1057.253201,2018-09-01
17,7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,Petrobras,1049.365949,2018-09-01
18,7-LL-28D-RJS,Lula,Santos,Mar,Petrobras,1040.565827,2018-09-01
19,3-BRSA-788-SPS,Sapinhoá,Santos,Mar,Petrobras,1031.16382766667,2018-09-01
20,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,Petrobras,1024.063922,2018-09-01
21,8-LL-87D-RJS,Lula,Santos,Mar,Petrobras,1004.94799933333,2018-09-01
22,7-LL-80DB-RJS,Lula,Santos,Mar,Petrobras,996.496036,2018-09-01
23,7-SPH-1-SPS,Sapinhoá,Santos,Mar,Petrobras,990.602877333333,2018-09-01
24,3-BRSA-883-RJS,Lula,Santos,Mar,Petrobras,971.840727333333,2018-09-01
25,9-BRSA-908D-RJS,Lula,Santos,Mar,Petrobras,970.754757,2018-09-01
26,3-BRSA-839A-RJS,Lula,Santos,Mar,Petrobras,967.853312333333,2018-09-01
27,9-LL-7-RJS,Lula,Santos,Mar,Petrobras,939.028671,2018-09-01
28,7-SPH-2D-SPS,Sapinhoá,Santos,Mar,Petrobras,936.566784333333,2018-09-01
29,7-SPH-7D-SPS,Sapinhoá,Santos,Mar,Petrobras,931.38555,2018-09-01
30,7-LL-46-RJS,Lula,Santos,Mar,Petrobras,929.855163333333,2018-09-01
1,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,Petrobras,1799.57524129032,2018-10-01
2,7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,Petrobras,1792.39531419355,2018-10-01
3,7-LL-27-RJS,Lula,Santos,Mar,Petrobras,1474.20322387097,2018-10-01
4,9-LL-2-RJS,Lula,Santos,Mar,Petrobras,1466.29385903226,2018-10-01
5,9-LL-20D-RJS,Lula,Santos,Mar,Petrobras,1453.00492419355,2018-10-01
6,7-LL-73D-RJS,Lula,Santos,Mar,Petrobras,1387.30158,2018-10-01
7,7-LL-51-RJS,Lula,Santos,Mar,Petrobras,1284.2344683871,2018-10-01
8,7-LL-83D-RJS,Lula,Santos,Mar,Petrobras,1278.49874064516,2018-10-01
9,7-SPH-14D-SPS,Sapinhoá,Santos,Mar,Petrobras,1265.45089193548,2018-10-01
10,7-LL-15D-RJS,Lula,Santos,Mar,Petrobras,1232.37379709677,2018-10-01
11,8-LL-37D-RJS,Lula,Santos,Mar,Petrobras,1196.3509283871,2018-10-01
12,7-LL-60D-RJS,Lula,Santos,Mar,Petrobras,1191.50409419355,2018-10-01
13,8-LL-81D-RJS,Lula,Santos,Mar,Petrobras,1167.29009387097,2018-10-01
14,3-BRSA-496-RJS,Lula,Santos,Mar,Petrobras,1144.94991806452,2018-10-01
15,9-LL-12D-RJS,Lula,Santos,Mar,Petrobras,1138.41214064516,2018-10-01
16,7-MNT-6D-BAS,Manati,Camamu,Mar,Petrobras,1137.42242387097,2018-10-01
17,7-SPH-17-SPS,Sapinhoá,Santos,Mar,Petrobras,1092.49615806452,2018-10-01
18,7-SPH-1-SPS,Sapinhoá,Santos,Mar,Petrobras,1059.26635032258,2018-10-01
19,7-LL-28D-RJS,Lula,Santos,Mar,Petrobras,1049.95138,2018-10-01
20,9-BRSA-908D-RJS,Lula,Santos,Mar,Petrobras,1032.10272290323,2018-10-01
21,7-SPH-2D-SPS,Sapinhoá,Santos,Mar,Petrobras,1027.32762387097,2018-10-01
22,8-LL-87D-RJS,Lula,Santos,Mar,Petrobras,1026.82571096774,2018-10-01
23,9-BRSA-1191-RJS,Búzios,Santos,Mar,Petrobras,1019.51328516129,2018-10-01
24,3-BRSA-788-SPS,Sapinhoá,Santos,Mar,Petrobras,1019.37904,2018-10-01
25,7-LL-31D-RJS,Lula,Santos,Mar,Petrobras,1008.33318129032,2018-10-01
26,7-LL-66-RJS,Lula,Santos,Mar,Petrobras,1000.08964032258,2018-10-01
27,7-LL-80DB-RJS,Lula,Santos,Mar,Petrobras,987.297469677419,2018-10-01
28,7-SPH-7D-SPS,Sapinhoá,Santos,Mar,Petrobras,974.814133548387,2018-10-01
29,3-BRSA-883-RJS,Lula,Santos,Mar,Petrobras,953.616522580645,2018-10-01
30,4-BRSA-1001-ESS,Golfinho,Espírito Santo,Mar,Petrobras,935.46757483871,2018-10-01
1,7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,Petrobras,1835.49985566667,2018-11-01
2,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,Petrobras,1826.06139066667,2018-11-01
3,9-LL-2-RJS,Lula,Santos,Mar,Petrobras,1776.59998666667,2018-11-01
4,7-LL-27-RJS,Lula,Santos,Mar,Petrobras,1513.085978,2018-11-01
