Operador,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),mes
Petrobras,2467811.2629755,105902.650339032,3133918.81210444,2017-10-01
Statoil Brasil O&G,65296.779912629,112.28,66002.999779429,2017-10-01
Shell Brasil,58835.4556422714,607.832747419355,62658.6081353172,2017-10-01
Parnaíba Gás Natural,54.5780509254032,7553.80942645161,47566.604119515,2017-10-01
Chevron Frade,18018.0737819355,297.263336774194,19887.8036902112,2017-10-01
PetroRio O&G,7465.34546022968,23.2980316129032,7611.88565244883,2017-10-01
Dommo Energia,5225.13590853171,14.9474093548387,5319.15227336586,2017-10-01
SHB,1446.5797672151,13.1471306451613,1529.27272101834,2017-10-01
Maha Energy,1280.63832532867,35.3448512903226,1502.95072442306,2017-10-01
Petrosynergy,458.882026167113,11.0064635483871,528.110590658394,2017-10-01
Nova Petróleo Rec,453.626321800242,5.24734838709677,486.631146158887,2017-10-01
Partex Brasil,340.708862845161,0.487515483870968,343.775242610768,2017-10-01
UP Petróleo,185.322152280584,1.95635483870968,197.627252508648,2017-10-01
Petrogal Brasil,164.673631261345,2.25480322580645,178.85591513905501,2017-10-01
Imetame,103.191840242581,2.48083935483871,118.795848425039,2017-10-01
Recôncavo E&P,101.712314612903,1.39173193548387,110.466044058029,2017-10-01
Phoenix,12.0504643716129,14.9491274193548,106.077635505145,2017-10-01
Santana,46.6573439166774,2.07993870967742,59.7397632121935,2017-10-01
IPI,28.1093637870968,0.911677741935484,33.8436435651,2017-10-01
Alvopetro,22.9287516357419,0.287196129032258,24.7351607200903,2017-10-01
Perícia,23.9804078677419,0.0762516129032258,24.4600160250968,2017-10-01
Vipetro,17.8923120744419,0.0429687096774194,18.1625770942581,2017-10-01
Guto & Cacal,13.7799592245161,0.0434832258064516,14.0534604530258,2017-10-01
EPG Brasil,12.0439716645161,0.276724193548387,13.7845142643387,2017-10-01
Central Resources,5.01764520322581,0.00387096774193548,5.04199285483871,2017-10-01
Petroil,1.62908107970968,0,1.62908107970968,2017-10-01
Leros,1.2445707916129,0.00197870967741935,1.25701649952903,2017-10-01
NA,2627427.30084539,114604.071546774,3348265.136101,2017-10-01
Petrobras,2441124.86283582,104768.361884667,3100097.95310162,2017-11-01
Shell Brasil,59611.8993579475,608.911725666667,63441.8384191629,2017-11-01
Statoil Brasil O&G,58128.9752670967,101.221333333333,58765.63822171,2017-11-01
Parnaíba Gás Natural,58.3685352605667,7541.83731433333,47495.0922933275,2017-11-01
Chevron Frade,17789.5996124067,256.224925,19401.2057079209,2017-11-01
PetroRio O&G,7742.45377979933,22.200702,7882.09197724595,2017-11-01
Dommo Energia,5524.78671418622,15.8245226666667,5624.31995510025,2017-11-01
SHB,1427.23677160381,13.0489576666667,1509.31223602519,2017-11-01
Maha Energy,1261.93318056687,36.9443213333333,1494.30594233249,2017-11-01
Petrosynergy,490.583723361487,8.589902,544.612574860107,2017-11-01
Nova Petróleo Rec,371.554941697423,6.05456566666667,409.63700937328,2017-11-01
Partex Brasil,327.42234936,0.468504,330.36915050424,2017-11-01
UP Petróleo,196.642521140063,2.64183333333333,213.259150858397,2017-11-01
Petrogal Brasil,189.60936042823,3.422679,211.13736102922,2017-11-01
Imetame,135.480620457,3.90153466666667,160.020532218747,2017-11-01
Phoenix,10.581976344,16.142939,112.11799549559,2017-11-01
Recôncavo E&P,93.9492146873333,1.21543233333333,101.594053131857,2017-11-01
Santana,41.3619582882667,1.59379,51.3865945681667,2017-11-01
IPI,23.6412991866667,0.787746,28.5960718549267,2017-11-01
Vipetro,26.1480442572733,0.0629333333333333,26.5438829666067,2017-11-01
Perícia,19.9596637333333,0.0634666666666667,20.358857008,2017-11-01
Alvopetro,18.361842333,0.226333666666667,19.7854380929367,2017-11-01
EPG Brasil,12.12675368,0.30422,14.0402396782,2017-11-01
Guto & Cacal,7.02110524266667,0.0221993333333333,7.16073483146,2017-11-01
Central Resources,6.71332387333333,0.00533333333333333,6.74686952666667,2017-11-01
Leros,1.43198007666667,0.00227666666666667,1.44629987743333,2017-11-01
Petroil,0.63552869221,0,0.63552869221,2017-11-01
NA,2594643.34226153,113410.081375667,3307971.20619901,2017-11-01
Petrobras,2457974.92284454,104719.978754194,3116643.69241245,2017-12-01
Statoil Brasil O&G,63236.5830816935,109.223548387097,63923.5784485742,2017-12-01
Shell Brasil,56703.2212826257,569.463785806452,60285.040297229,2017-12-01
Parnaíba Gás Natural,70.5353577355613,7616.5881416129,47977.4276167338,2017-12-01
Chevron Frade,17248.9436413097,226.742,18675.1077403297,2017-12-01
PetroRio O&G,6899.37618260387,22.0567980645161,7038.10925163805,2017-12-01
Dommo Energia,5582.48435213846,15.2612283870968,5678.47457905991,2017-12-01
Maha Energy,1273.80571487053,39.8943393548387,1524.73352948799,2017-12-01
SHB,1394.309985256,12.7683461290322,1474.62045642185,2017-12-01
Petrosynergy,436.841971931126,6.01853064516129,474.697386168368,2017-12-01
Nova Petróleo Rec,389.2109897741,5.95930387096774,426.693878854752,2017-12-01
Partex Brasil,328.632427645161,0.470235483870968,331.590119493968,2017-12-01
UP Petróleo,275.763525051797,4.30127419354839,302.817722487119,2017-12-01
Petrogal Brasil,166.549354051894,3.50090032258065,188.569351909865,2017-12-01
Imetame,138.837005100968,4.26003580645161,165.631820916745,2017-12-01
Recôncavo E&P,99.5427359570968,1.80063,110.868356537397,2017-12-01
Phoenix,17.2937311464516,11.7201574193548,91.0112944842839,2017-12-01
Santana,33.6546834699032,1.38857741935484,42.3885716079355,2017-12-01
Perícia,25.6928593645161,0.0816967741935484,26.2067165518065,2017-12-01
IPI,20.5839104677419,0.66761935483871,24.783109362,2017-12-01
Alvopetro,13.0172690377419,0.155673548387097,13.9964260791226,2017-12-01
EPG Brasil,11.3196290290322,0.321312903225806,13.340626140871,2017-12-01
Guto & Cacal,12.6810685483871,0.0403225806451613,12.9346899193548,2017-12-01
Vipetro,9.74862724327419,0.0234467741935484,9.89610299806452,2017-12-01
Central Resources,6.86806672580645,0.00580645161290323,6.90458820322581,2017-12-01
Leros,1.57468436806452,0.00250354838709677,1.59043121174516,2017-12-01
NA,2612371.99498168,113372.694969032,3325464.70552485,2017-12-01
Petrobras,2429387,104308,3085466,2018-01-01
Statoil Brasil O&G,65621,116,66350,2018-01-01
Shell Brasil,45943,421,48591,2018-01-01
Total E&P do Brasil,39240,1071,45977,2018-01-01
Parnaíba Gás Natural,50,6134,38629,2018-01-01
Chevron Frade,17406,226,18827,2018-01-01
Dommo Energia,7721,21,7853,2018-01-01
PetroRio O&G,5124,15,5220,2018-01-01
Maha Energy,1408,43,1679,2018-01-01
SHB,1379,12,1457,2018-01-01
Petrosynergy,432,7,474,2018-01-01
Nova Petróleo Rec,325,4,349,2018-01-01
Partex Brasil,310,0.4,313,2018-01-01
UP Petróleo,279,4,302,2018-01-01
Petrogal Brasil,181,4,203,2018-01-01
Imetame,135,7,176,2018-01-01
Phoenix,11,13,92,2018-01-01
Recôncavo E&P,72,1,79,2018-01-01
Nord,3,11,73,2018-01-01
Santana,34,1,43,2018-01-01
Vipetro,36,0.1,37,2018-01-01
Perícia,29,0.1,30,2018-01-01
IPI,19,0.6,23,2018-01-01
Guto & Cacal,14,0.04,14,2018-01-01
Alvopetro,13,0.2,14,2018-01-01
EPG Brasil,10,0.3,12,2018-01-01
Central Resources,10,0.01,10,2018-01-01
Leros,2,0.002,2,2018-01-01
Total Geral,2615193,112420,3322294,2018-01-01
Petrobras,2427536.47854911,107717.064362857,3105056.34714925,2018-02-01
Statoil Brasil O&G,69753.9434800643,123.635714285714,70531.5886321357,2018-02-01
Shell Brasil,44953.4163762123,413.996421071429,47557.3752054316,2018-02-01
Total E&P do Brasil,38319.2185223393,1031.06631785714,44804.4297590603,2018-02-01
Chevron Frade,17384.2800628,219.852785714286,18767.1123129136,2018-02-01
Dommo Energia,7797.64367421469,21.3189707142857,7931.73594940311,2018-02-01
PetroRio O&G,6926.95405019964,20.3493753571428,7054.94775481475,2018-02-01
Maha Energy,1396.33098881707,35.3917371428571,1618.93829101558,2018-02-01
SHB,1356.13288948333,12.2003396428571,1432.87070777237,2018-02-01
Parnaíba Gás Natural,1.34064155245,176.519603928571,1111.61541153842,2018-02-01
Petrosynergy,484.389953668436,8.19204964285714,535.916389432575,2018-02-01
Partex Brasil,318.21047334285697,0.455322857142857,321.074367602943,2018-02-01
UP Petróleo,274.460363303232,4.02703571428571,299.789652809304,2018-02-01
Nova Petróleo Rec,238.967459672589,1.46654071428571,248.191722122711,2018-02-01
Petrogal Brasil,178.199372380039,3.74380214285714,201.747176536204,2018-02-01
Imetame,142.819795401071,5.68221964285714,178.559877332911,2018-02-01
Recôncavo E&P,106.160760996429,2.04654357142857,119.033131217436,2018-02-01
Phoenix,11.0786017707143,13.1045603571428,93.503796550675,2018-02-01
Santana,34.0907028091786,1.49768214285714,43.5108389281429,2018-02-01
Vipetro,34.00544892735,0.0818160714285714,34.5200564715821,2018-02-01
IPI,19.325441225,0.626809285714286,23.2679525383786,2018-02-01
Perícia,19.5208746071429,0.0620714285714286,19.9112920992857,2018-02-01
Guto & Cacal,14.2394559317857,0.0450296428571429,14.522683829725,2018-02-01
Alvopetro,13.4184110907143,0.153070357142857,14.381194553775,2018-02-01
Great Oil,11.6269384210714,0.0214285714285714,11.7617200639286,2018-02-01
EPG Brasil,7.23103513928571,0.18515,8.39559346078571,2018-02-01
Central Resources,8.33399825,0.00821428571428571,8.38566454642857,2018-02-01
Nord,2.11157907142857,0,2.11157907142857,2018-02-01
Leros,1.37207712428571,0.00218142857142857,1.38579789552857,2018-02-01
Total Geral,2617345.30197792,109812.797156429,3308046.9316604,2018-02-01
Petrobras,2404393.39242333,105112.60989,3065531.73723555,2018-03-01
Total E&P do Brasil,38329.4975066516,1070.55450193548,45063.0819184704,2018-03-01
Shell Brasil,39310.6600620666,372.605454516129,41654.2775759367,2018-03-01
Statoil Brasil O&G,39018.6537276129,74.698064516129,39488.4903607871,2018-03-01
Chevron Frade,17677.0159360839,214.453709677419,19025.88902375,2018-03-01
Dommo Energia,7541.02223648441,20.3283061290322,7668.88341965786,2018-03-01
PetroRio O&G,6484.66161819581,19.1053487096774,6604.83063156342,2018-03-01
Maha Energy,1387.92487854759,28.6408241935484,1568.07022096841,2018-03-01
SHB,1335.07934361286,12.2071770967742,1411.86016818792,2018-03-01
Petrosynergy,479.920513377381,8.28519129032258,532.032792407165,2018-03-01
Nova Petróleo Rec,321.08308116369,4.9164364516129,352.00653232141,2018-03-01
Partex Brasil,310.935742864516,0.444913548387097,313.734164550297,2018-03-01
Petrogal Brasil,160.920095840152,3.46605483870968,182.720922225216,2018-03-01
Imetame,139.834041434516,3.66126451612903,162.86269960071,2018-03-01
UP Petróleo,122.603612153287,0.920258064516129,128.391860530061,2018-03-01
Recôncavo E&P,98.7561039129032,1.83144032258065,110.275515568274,2018-03-01
Phoenix,11.4626714822581,13.9698606451613,99.3304406668,2018-03-01
Parnaíba Gás Natural,0,7.05160322580645,44.3532444857097,2018-03-01
Alvopetro,41.1862845712903,0.495770967741935,44.3045897619032,2018-03-01
Santana,31.9555014432581,0.95641935483871,37.9711974655161,2018-03-01
Norteoleum,23.5904396477419,0.242841612903226,25.1178672529968,2018-03-01
Vipetro,23.9693722946484,0.0581332258064516,24.3350192396581,2018-03-01
IPI,17.1062542290322,0.554840967741935,20.5960984963452,2018-03-01
Perícia,19.1331962258064,0.0608387096774194,19.5158601503226,2018-03-01
Great Oil,6.51096783548387,0.0274193548387097,6.68343036774194,2018-03-01
Guto & Cacal,5.64622040903226,0.0179806451612903,5.75931525077419,2018-03-01
EPG Brasil,4.0883765,0.0325,4.292795325,2018-03-01
Leros,1.56169895387097,0.00248290322580645,1.57731594340968,2018-03-01
Nord,1.17680316129032,0,1.17680316129032,2018-03-01
Petroil,0.228056336774194,0,0.228056336774194,2018-03-01
Total Geral,2557299.576766423,106972.19952741932,3230134.1590196425,2018-03-01
Petrobras,2419055.90754301,106274.297154,3087501.04452521,2018-04-01
Statoil Brasil O&G,61382.08596513,109.726,62072.24165719,2018-04-01
Total E&P do Brasil,39554.9629665733,1114.935576,46567.6959018539,2018-04-01
Shell Brasil,40845.5782153741,375.326397,43206.3099404886,2018-04-01
Chevron Frade,17370.3250710133,210.454466666667,18694.043679998,2018-04-01
PetroRio O&G,7167.28668542762,20.2612153333333,7294.72588024337,2018-04-01
Dommo Energia,6947.28626716666,18.862476,7065.92765733622,2018-04-01
Parnaíba Gás Natural,3.54771072221,553.182717333333,3482.96189803258,2018-04-01
Maha Energy,1428.5704524332,24.5694666666667,1583.10772956786,2018-04-01
SHB,1326.62035412327,12.0698653333333,1402.53751379553,2018-04-01
Petrosynergy,413.841296588563,6.36571,453.880403003663,2018-04-01
Partex Brasil,309.148354706667,0.442356,311.930689899027,2018-04-01
Nova Petróleo Rec,285.070871872723,4.08866433333333,310.787793683167,2018-04-01
Petrogal Brasil,174.247579253947,3.51672033333333,196.36708197375,2018-04-01
Imetame,137.114497144857,2.28006766666667,151.455689555333,2018-04-01
Recôncavo E&P,99.4070924846666,1.00376633333333,105.72059200573,2018-04-01
Phoenix,8.77784917566667,13.187426,91.7242531047267,2018-04-01
UP Petróleo,56.4122596849367,0.485066666666667,59.4632368556033,2018-04-01
Santana,39.0998490878,1.16005666666667,46.3963851103667,2018-04-01
Alvopetro,30.412489312,0.342718666666667,32.5681246087867,2018-04-01
Vipetro,24.51060334375,0.059175,24.8828028505,2018-04-01
Norteoleum,18.7394405933333,0.166207666666667,19.78485523721,2018-04-01
IPI,13.8920936866667,0.499857666666667,17.0361034370433,2018-04-01
Perícia,13.9424121666667,0.0443333333333333,14.22126041,2018-04-01
Guto & Cacal,13.766507147,0.043523,14.04025854763,2018-04-01
EPG Brasil,4.13869498,0.00329,4.1593884549,2018-04-01
Leros,1.35629269633333,0.00215633333333333,1.36985562329667,2018-04-01
Nord,1.15313183333333,7.33333333333333e-4,1.15774436066667,2018-04-01
Petroil,0.58814755348,0,0.58814755348,2018-04-01
Total Geral,2596727.790694286,108747.37716333332,3280727.542902437,2018-04-01
Petrobras,2425815.89033832,109872.377483548,3116892.26895812,2018-05-01
Statoil Brasil O&G,63537.4368678194,111.878709677419,64241.1326947355,2018-05-01
Total E&P do Brasil,38728.4560970097,1121.63476967742,45783.3256876744,2018-05-01
Shell Brasil,36077.7445283979,345.552932580645,38251.206819273,2018-05-01
Chevron Frade,16915.691246771,201.321548387097,18181.9655350316,2018-05-01
PetroRio O&G,8128.60652124714,25.1428003225806,8286.74995814411,2018-05-01
Queiroz Galvão,7148.5009481129,51.2454838709677,7470.82530501935,2018-05-01
Dommo Energia,7019.36905694384,18.3539703225806,7134.81204301851,2018-05-01
Maha Energy,1238.99883357026,20.4146129032258,1367.4028699551,2018-05-01
SHB,1249.36833810349,11.8028193548387,1323.60582930975,2018-05-01
Parnaíba Gás Natural,2.29963772380968,78.9788187096774,499.061401432126,2018-05-01
Petrosynergy,382.40405188561,5.86278451612903,419.279852563003,2018-05-01
Nova Petróleo Rec,252.027437752106,5.58608774193548,287.16286829221,2018-05-01
Partex Brasil,281.414215283871,0.402671612903226,283.946943221426,2018-05-01
Petrogal Brasil,160.720465386635,3.16192580645161,180.608377943313,2018-05-01
Imetame,131.596847418358,3.0051664516129,150.498773417377,2018-05-01
Recôncavo E&P,99.7805313545161,0.984575483870968,105.973324078723,2018-05-01
Phoenix,28.16576918,11.9000841935484,103.015037741423,2018-05-01
UP Petróleo,67.0128510936097,0.355129032258065,69.2465452319968,2018-05-01
Santana,41.6125105024839,1.14250322580645,48.7986387171935,2018-05-01
Alvopetro,38.4534635748387,0.44873064516129,41.2758940740806,2018-05-01
Norteoleum,24.4677666941935,0.251494193548387,26.0496173877161,2018-05-01
Vipetro,24.6996841627193,0.0595335483870968,25.0741388707,2018-05-01
Perícia,22.8462130967742,0.0726451612903226,23.3031373587097,2018-05-01
Guto & Cacal,13.8943931870968,0.0439958064516129,14.1711184504742,2018-05-01
IPI,9.15924161170968,0.357306774193548,11.4066333331,2018-05-01
Great Oil,6.28372308709677,0.0245161290322581,6.43792488064516,2018-05-01
Central Resources,4.86953032258065,0.00387096774193548,4.89387797419355,2018-05-01
EPG Brasil,2.50983708709677,0.0204887096774194,2.6387071781129,2018-05-01
Leros,1.26830975193548,0.00201645161290322,1.28099284945484,2018-05-01
Petroil,0.325233901274193,0,0.325233901274193,2018-05-01
Total Geral,2607455.87449035,111892.389475806,3311237.74473918,2018-05-01
Petrobras,2403715.03774361,106885.436404,3076004.12449185,2018-06-01
Equinor Brasil⁴,67098.7349322767,117.68,67838.9197730767,2018-06-01
Total E&P do Brasil,39235.5370623267,1246.895911,47078.2754322936,2018-06-01
Parnaíba Gás Natural,55.6838137262,5994.44069133333,37759.5768184815,2018-06-01
Shell Brasil,31452.6287530312,294.43773,33304.5861315625,2018-06-01
Chevron Frade,16682.1842147567,199.446533333333,17936.665014582,2018-06-01
Queiroz Galvão,12403.82610031,84.31,12934.11998141,2018-06-01
PetroRio O&G,9176.20849700505,26.863962,9345.17771383227,2018-06-01
Dommo Energia,6321.21712422314,17.1141393333333,6428.86180894334,2018-06-01
Maha Energy,1137.21756573167,18.6472333333333,1254.505120424,2018-06-01
SHB,934.626318408283,7.80542766666667,983.72097540036,2018-06-01
Petrosynergy,369.660847183453,6.90480333333333,413.090748237487,2018-06-01
Partex Brasil,327.049153966667,0.46797,329.992596352367,2018-06-01
Nova Petróleo Rec,286.419677598553,4.540164,314.976446527393,2018-06-01
Petrogal Brasil,169.55090474583,3.154433,189.39168897356,2018-06-01
Imetame,147.577803643587,2.71653133333333,164.6642695893,2018-06-01
Recôncavo E&P,101.349805133333,1.01788366666667,107.75209999877,2018-06-01
Phoenix,23.7689823296667,11.8851993333333,98.52462794846,2018-06-01
Alvopetro,40.360452808,0.461870333333333,43.2655294493033,2018-06-01
Santana,36.1667848886,0.993273333333333,42.4142854333333,2018-06-01
Vipetro,24.8969758890333,0.0601446666666667,25.27527441488,2018-06-01
Norteoleum,22.0789103826667,0.240148,23.5893956745467,2018-06-01
Perícia,22.3078594666667,0.0709333333333333,22.754016656,2018-06-01
Great Oil,16.4143074966667,0.03,16.6030017966667,2018-06-01
Guto & Cacal,13.174007045,0.0416863333333333,13.4362061612633,2018-06-01
IPI,10.0343435533333,0.361414333333333,12.3075710412767,2018-06-01
UP Petróleo,6.30238962,0.0917333333333333,6.87937485733333,2018-06-01
Central Resources,6.23320171,0.005,6.26465076,2018-06-01
EPG Brasil,4.24142854333333,0.0418516666666667,4.50466757485,2018-06-01
Nord,1.71921473333333,0.002681,1.73607771394333,2018-06-01
Leros,1.50473221233333,0.00239233333333333,1.51977953445667,2018-06-01
Energizzi Energias,1.15313183333333,0,1.15313183333333,2018-06-01
Petroil,0.205718719066667,0,0.205718719066667,2018-06-01
Total Geral,2589845.0727589,114926.168145333,3312708.8344211,2018-06-01
Petrobras,2414457.64019184,106277.870909355,3082925.25541621,2018-07-01
Equinor Brasil,70913.6492276419,116.741290322581,71647.9297629258,2018-07-01
Parnaíba Gás Natural,74.8837286043387,7868.42407806452,49565.7761790553,2018-07-01
Total E&P do Brasil,38691.137234,1289.91917870968,46804.4837834399,2018-07-01
Chevron Frade,16038.0679705581,197.705516129032,17281.5981029616,2018-07-01
Queiroz Galvão,13062.9817536452,89.3258064516129,13624.8241043226,2018-07-01
PetroRio O&G,9559.61197021195,24.2164758064516,9711.92900190413,2018-07-01
Dommo Energia,6220.9507812678,17.9236251612903,6333.68697804354,2018-07-01
Shell Brasil,2326.5621766675,24.6069419354839,2481.33516612272,2018-07-01
Maha Energy,1351.6799661029,21.9970967741935,1490.03752536419,2018-07-01
SHB,914.146504634203,7.68295064516129,962.470804431645,2018-07-01
Petrosynergy,391.781681787432,7.89055064516129,441.411746140874,2018-07-01
Partex Brasil,298.542788193548,0.42718064516129,301.22967328729,2018-07-01
Nova Petróleo Rec,182.97895863701,2.63761548387097,199.569058883616,2018-07-01
Imetame,143.936718121897,6.16978096774194,182.74346815061,2018-07-01
Petrogal Brasil,161.624438908806,3.10799483870968,181.173135925271,2018-07-01
Recôncavo E&P,87.042854516129,0.93039,92.894830842029,2018-07-01
Phoenix,28.2651887574193,9.62470387096774,88.802747412071,2018-07-01
Santana,48.3959082698064,1.19563548387097,55.9162282926129,2018-07-01
Alvopetro,32.8928657406452,0.390283870967742,35.3476771350968,2018-07-01
Great Oil,28.9866908335484,0.0483870967741935,29.2910364787097,2018-07-01
Perícia,24.1244648064516,0.0767096774193548,24.6069541025806,2018-07-01
Norteoleum,21.2244566022581,0.224512903225806,22.6366001060968,2018-07-01
Vipetro,17.3235347009968,0.0436058064516129,17.5978069384742,2018-07-01
UP Petróleo,16.1073918216129,0.118709677419355,16.8540531377419,2018-07-01
Guto & Cacal,12.128579753871,0.0383732258064516,12.3699400532806,2018-07-01
IPI,8.72051721935484,0.282790967741935,10.4992186761677,2018-07-01
Central Resources,6.19241939354839,0.00483870967741935,6.22285395806452,2018-07-01
EPG Brasil,4.71127058709677,0.0587225806451613,5.08062446206452,2018-07-01
Nord,1.72462532258065,0.00268935483870968,1.74154085353871,2018-07-01
Leros,1.04187659193548,0.00165645161290322,1.05229535785484,2018-07-01
Petroil,0.0861176437548387,0,0.0861176437548387,2018-07-01
Total Geral,2575129.144853384,115969.68900161305,3304556.4544326183,2018-07-01
Petrobras,2317126.74282743,96315.5693151613,2922933.37386163,2018-08-01
Equinor Brasil,71170.6407193871,122.421612903226,71940.6494044419,2018-08-01
Parnaíba Gás Natural,90.4661262170194,7796.20229032258,49127.0972539109,2018-08-01
Shell Brasil,45386.6541838257,435.503900645161,48125.8909731427,2018-08-01
Total E&P do Brasil,38802.8138250355,1310.21078387097,47043.7907155349,2018-08-01
Chevron Frade,15848.3632430161,196.62835483871,17085.1182355642,2018-08-01
Queiroz Galvão,12928.8688016484,85.4748387096774,13466.4892969129,2018-08-01
PetroRio O&G,10470.0428974138,25.460704516129,10630.1858912864,2018-08-01
Dommo Energia,5912.55125414193,17.2106638709677,6020.80305986419,2018-08-01
Maha Energy,1553.43434642806,23.6690319354839,1702.30806018619,2018-08-01
SHB,910.019214500013,7.74008548387097,958.702881577319,2018-08-01
Petrosynergy,395.046350856745,7.83758935483871,444.343298756703,2018-08-01
Partex Brasil,286.26751383871,0.409616129032258,288.843921463258,2018-08-01
Nova Petróleo Rec,232.725005057881,2.58789161290323,249.002351603635,2018-08-01
Imetame,145.307730326277,7.91536064516129,195.093844865819,2018-08-01
Petrogal Brasil,159.739287490171,3.06353838709677,179.008361872716,2018-08-01
Recôncavo E&P,102.560424477419,0.975009032258065,108.693046038606,2018-08-01
Phoenix,25.2055005380645,6.42767451612903,65.6343519863581,2018-08-01
Santana,38.2038798560968,0.989738709677419,44.4291482896129,2018-08-01
Perícia,29.0345745483871,0.0923225806451613,29.6152660393548,2018-08-01
Vipetro,24.2500702831806,0.0590951612903226,24.6217676196161,2018-08-01
Alvopetro,16.6497357612903,0.205870967741935,17.9446250329032,2018-08-01
Norteoleum,16.8146911009677,0.17755935483871,17.9315057066258,2018-08-01
Great Oil,16.3019701374193,0.0290322580645161,16.4845775245161,2018-08-01
Central Resources,14.833198053871,0.0158064516129032,14.9326176312903,2018-08-01
Guto & Cacal,11.524757993871,0.0364567741935484,11.7540641767613,2018-08-01
IPI,8.84022650645161,0.28674064516129,10.6437706837935,2018-08-01
EPG Brasil,9.23790481612903,0.179320967741935,10.3657996322419,2018-08-01
UP Petróleo,9.2263396816129,0,9.2263396816129,2018-08-01
Nord,1.62317677419355,0.00253096774193548,1.63909608040645,2018-08-01
Leros,1.1518468183871,0.00183129032258065,1.16336528657097,2018-08-01
Petroil,0.781415559835484,0,0.781415559835484,2018-08-01
Total Geral,2521745.92303952,106367.384568065,3190776.56216958,2018-08-01
Petrobras,2299891.68837723,102765.460052,2946266.9066669,2018-09-01
Equinor Brasil,59562.1692770933,108.369666666667,60243.79389019,2018-09-01
Parnaíba Gás Natural,81.4061720290867,7909.487626,49830.5805369201,2018-09-01
Total E&P do Brasil,37778.6577244733,1320.12749366667,46082.0088354129,2018-09-01
Shell Brasil,38178.5382992583,365.527873666667,40477.6391743257,2018-09-01
Chevron Frade,17856.6028617333,223.7547,19263.9774113403,2018-09-01
Queiroz Galvão,12646.65050517,82.5973333333333,13166.1720383433,2018-09-01
PetroRio O&G,10217.624490618,25.5185303333333,10378.1311978939,2018-09-01
Dommo Energia,5579.08456198911,16.241456,5681.24023435247,2018-09-01
Maha Energy,1509.96428595167,20.9665,1641.83958731667,2018-09-01
SHB,885.131300333483,7.78767533333333,934.114298521837,2018-09-01
Petrosynergy,438.223571035487,9.24845666666667,496.394606262053,2018-09-01
Imetame,140.17805812873,29.3726703333333,324.926573718033,2018-09-01
Partex Brasil,284.07297884,0.406476,286.62963564956,2018-09-01
Nova Petróleo Rec,256.725755050383,3.872395,281.082383845333,2018-09-01
Petrogal Brasil,159.44894154179,3.39553633333333,180.806219926553,2018-09-01
Recôncavo E&P,98.6741199593333,0.928670666666667,104.51528200524,2018-09-01
Phoenix,26.4333458456667,7.54810966666667,73.9095215081633,2018-09-01
Santana,35.3287306042,0.932906666666667,41.1965362852667,2018-09-01
Perícia,26.1446435666667,0.0831333333333333,26.667536438,2018-09-01
Alvopetro,15.7941322306667,0.161854333333333,16.81216523501,2018-09-01
Vipetro,13.40656019013,0.031972,13.60765799545,2018-09-01
Guto & Cacal,12.7404294756667,0.0409696666666667,12.9981208947633,2018-09-01
Great Oil,12.2624039156667,0.0216666666666667,12.3986831323333,2018-09-01
EPG Brasil,9.02168414333333,0.220266666666667,10.407119626,2018-09-01
Central Resources,5.80759123333333,0.00466666666666667,5.83694368,2018-09-01
Leros,1.27158992166667,0.00202166666666667,1.28430582088333,2018-09-01
Petroil,0.77049543519,0,0.77049543519,2018-09-01
NA,2485723.822886997,112902.11067933333,3195856.647658976,2018-09-01
Petrobras,2427671.01299069,107623.433804516,3104601.96316868,2018-10-01
Equinor Brasil,50844.9817343613,95.5674193548387,51446.0826442935,2018-10-01
Shell Brasil,45477.5364377855,425.58619,48154.3927115094,2018-10-01
Total E&P do Brasil,36168.2214000452,1342.74750129032,44613.848061136,2018-10-01
Parnaíba Gás Natural,97.3701584822,6962.03387387097,43887.2404386946,2018-10-01
Chevron Frade,20947.0333728677,290.673451612903,22775.3141555571,2018-10-01
Queiroz Galvão,12554.5540926645,85.7287096774193,13093.7713880806,2018-10-01
PetroRio O&G,10270.913583495,26.8479374193548,10439.7820087546,2018-10-01
Dommo Energia,5463.94578331905,16.2620061290323,5566.2307120895,2018-10-01
Maha Energy,2186.48181004161,35.399064516129,2409.13520002581,2018-10-01
SHB,861.395113952377,7.71099612903226,909.895814514726,2018-10-01
Imetame,151.347676609542,95.6861606451613,753.195446697084,2018-10-01
Petrosynergy,509.442205304674,10.9056541935484,578.036698107797,2018-10-01
Partex Brasil,280.241470064516,0.400993548387097,282.763643295097,2018-10-01
Nova Petróleo Rec,245.112919764965,4.61859322580645,274.162993622574,2018-10-01
Petrogal Brasil,166.627019002597,3.19763096774194,186.73951023981,2018-10-01
Recôncavo E&P,89.9175005832258,0.866493870967742,95.3675823977774,2018-10-01
Phoenix,25.2432393980645,7.49445903225806,72.3819627637516,2018-10-01
Santana,38.1846046319032,0.959851612903226,44.2218889052581,2018-10-01
Perícia,24.2259133548387,0.0770322580645161,24.7104316219355,2018-10-01
Vipetro,15.1814100513548,0.0362045161290323,15.4091295789484,2018-10-01
Alvopetro,14.2630572119355,0.132646129032258,15.0973761607839,2018-10-01
Guto & Cacal,13.1576738287097,0.0423941935483871,13.424325251232201,2018-10-01
EPG Brasil,7.53762714516129,0.123016129032258,8.31137522370968,2018-10-01
