Estado,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),Nº Campos produtores,mes
Espírito Santo,152672.4358980256,3919.2026333333342,177323.4758131919,28,2023-11-01
Amazonas,12971.830956585667,14682.156533333335,105319.805941511,8,2023-11-01
Bahia,19826.91876090567,4663.9603,49162.342895448666,78,2023-11-01
Rio Grande do Norte,33006.26061308734,998.2493,39285.059042720335,65,2023-11-01
Maranhão,93.55190835566667,4312.369466666667,27217.53650349034,8,2023-11-01
Alagoas,2278.586825384,1081.9305333333332,9083.724313249333,10,2023-11-01
Sergipe,7914.978445911667,60.742399999999996,8297.036600855667,18,2023-11-01
Ceará,791.3277052306668,1.0126333333333333,797.6969764969999,2,2023-11-01
Paraná,0,22.45266666666667,141.2230073266667,1,2023-11-01
Total,3678299.7154979333,162123.10390000005,4698023.235639191,274,2023-11-01
Rio de Janeiro,3053273.3494684035,111174.39145161286,3752539.1485646735,48,2023-10-01
São Paulo,253284.96616101067,13968.0995483871,341141.6583814514,7,2023-10-01
Espírito Santo,159592.8219600255,4244.385129032258,186289.19798846386,27,2023-10-01
Amazonas,12221.416132088387,13880.851354838707,99529.33379226644,8,2023-10-01
Bahia,20350.318286579346,4662.699967741935,49677.815170682254,77,2023-10-01
Rio Grande do Norte,33638.7091785771,1170.433096774193,41000.5109749984,64,2023-10-01
Maranhão,54.78546248258064,2043.466129032258,12907.799155530969,6,2023-10-01
Alagoas,2840.599731360968,1287.003129032258,10935.604882379357,10,2023-10-01
Sergipe,7197.156686404839,53.02080645161292,7530.647485032255,15,2023-10-01
Ceará,781.2081990025806,1.0038709677419355,787.5223566541936,2,2023-10-01
Paraná,0,19.988387096774193,125.72315704516129,1,2023-10-01
Total,3543235.3312659347,152505.34287096767,4502464.961909177,265,2023-10-01
Rio de Janeiro,3149936.1483634682,118130.88979999999,3892957.0003364077,48,2023-09-01
São Paulo,260361.32519323874,14417.161099999998,351042.5292516298,7,2023-09-01
Espírito Santo,182921.79479446905,4617.361433333333,211964.12091146334,33,2023-09-01
Amazonas,11803.449898228002,13312.5479,95536.84680512702,8,2023-09-01
Rio Grande do Norte,34679.132026340674,1172.464166666667,42053.708866482324,61,2023-09-01
Bahia,19570.342105801337,3012.784566666666,38520.18460106698,75,2023-09-01
Maranhão,60.13079326033334,1969.8575666666666,12450.160614656,7,2023-09-01
Alagoas,3069.313224778666,1275.0091,11088.878212049665,10,2023-09-01
Sergipe,9063.680995042998,55.82016666666667,9414.779237544668,15,2023-09-01
Ceará,777.3441996386666,0.9973,783.6170271516668,2,2023-09-01
Paraná,0,23.951999999999998,150.65352911999997,1,2023-09-01
Total,3672242.661594266,157988.84509999995,4665962.479392698,267,2023-09-01
Rio de Janeiro,2919373.1155994744,105744.6347419355,3584486.77664565,50,2023-08-01
São Paulo,268158.42610028,14838.507677419353,361489.82007478905,7,2023-08-01
Espírito Santo,201730.83046493286,5006.3063870967735,233219.5464415579,32,2023-08-01
Amazonas,10630.71040057129,13014.452387096775,92489.14316945647,8,2023-08-01
Bahia,19225.10739326258,4166.722935483873,45433.002980098405,77,2023-08-01
Rio Grande do Norte,32934.18816916839,1248.5917096774194,40787.59279061452,67,2023-08-01
Maranhão,69.56022617258064,2425.5209354838707,15325.626061388388,7,2023-08-01
Alagoas,2658.024402005484,1329.3322258064518,11019.27152920516,10,2023-08-01
Sergipe,6510.158884759033,57.865838709677426,6874.12401573355,16,2023-08-01
Ceará,756.9609814525807,0.9426451612903226,762.8900404145162,2,2023-08-01
Paraná,0,27.065806451612904,170.23878007741936,1,2023-08-01
Total,3462047.08262208,147859.94329032264,4392058.032528985,277,2023-08-01
Rio de Janeiro,2728655.04625049,100088.43,3358192.23,48,2024-04-01
São Paulo,221898.762380223,12757.94,302143.78,7,2024-04-01
Espírito Santo,166024.306609526,4490.9,194271.2,29,2024-04-01
Rio Grande do Norte,34190.7765017173,1199.3,41734.12,64,2024-04-01
Bahia,19792.7021945056,2664.54,36552.15,80,2024-04-01
Amazonas,11408.764949709,14042.49,99733.37,8,2024-04-01
Sergipe,9174.18268338666,63.42,9573.09,18,2024-04-01
Alagoas,2400.124824014,1195.38,9918.85,11,2024-04-01
Ceará,775.357038999333,1,781.62,2,2024-04-01
Maranhão,78.6616218219999,149.9,1021.52,6,2024-04-01
Paraná,0,22.85,143.69,1,2024-04-01
Total,3194398.685054393,136676.15,4054065.62,274,2024-04-01
Rio de Janeiro,3063678.1213720967,111307.64677419358,3763782.0711288876,50,2024-01-01
São Paulo,194051.49329178032,11909.947419354841,268962.7996695126,7,2024-01-01
Espírito Santo,182213.40800696515,4401.038870967743,209895.1063079668,28,2024-01-01
Amazonas,11878.42325662484,14307.89241935484,101872.34807480712,8,2024-01-01
Bahia,20106.20934019968,4319.504612903228,47275.07264948455,84,2024-01-01
Rio Grande do Norte,34410.69469004581,1182.1008709677421,41845.8845692674,65,2024-01-01
Maranhão,102.43442538032258,5141.628032258064,32442.297838957416,8,2024-01-01
Alagoas,3035.461900205806,1274.5220967741934,11051.963729717096,10,2024-01-01
Sergipe,8827.52819165,59.79293548387097,9203.614395185805,18,2024-01-01
Ceará,803.2791422925807,1.0293225806451614,809.7533857535484,2,2024-01-01
Paraná,0,22.32741935483871,140.43522553225807,1,2024-01-01
Total,3519107.0536172404,153927.43077419358,4487281.34697507,281,2024-01-01
Rio de Janeiro,2857859.17452124,108834.13,3542405.18,48,2024-05-01
São Paulo,224785.22064963,12949.8,306237,7,2024-05-01
Espírito Santo,158871.212551332,3612.83,181595.23,31,2024-05-01
Rio Grande do Norte,32793.1856433535,1229.72,40527.92,63,2024-05-01
Bahia,18835.5127068177,2506.46,34600.7,79,2024-05-01
Amazonas,12236.9921364135,14930.25,106145.43,6,2024-05-01
Sergipe,8673.26086233935,63.31,9071.45,17,2024-05-01
Alagoas,3048.48079242032,1244.4,10875.51,11,2024-05-01
Ceará,782.005178798709,1.01,788.33,2,2024-05-01
Maranhão,47.4198920754838,235.23,1526.99,6,2024-05-01
Paraná,0,23.51,147.9,1,2024-05-01
Total,3317932.464934421,145630.65000000002,4233921.640000001,271,2024-05-01
Rio de Janeiro,2893010.4570057224,109329.55732258063,3580672.5999488635,50,2024-03-01
São Paulo,219254.9204244129,9672.296451612903,280091.82736873225,7,2024-03-01
Espírito Santo,169482.86300152974,5133.663645161293,201772.63193350166,29,2024-03-01
Amazonas,11277.22678216,13473.479290322579,96022.85155722388,8,2024-03-01
Bahia,19257.985447515162,3811.5163870967726,43231.6993342403,79,2024-03-01
Rio Grande do Norte,31156.897455869355,1174.8569032258063,38546.524154348066,64,2024-03-01
Alagoas,2927.9899457067745,1264.9265806451613,10884.13780191452,11,2024-03-01
Sergipe,9095.316852400001,55.23729032258064,9442.748913443871,18,2024-03-01
Ceará,754.0581326890323,0.966516129032258,760.1373355025806,2,2024-03-01
Maranhão,36.714229661290325,42.898032258064525,306.53470193838706,5,2024-03-01
Paraná,0,22.903225806451612,144.05693870967744,1,2024-03-01
Total,3356254.429277667,143982.3016451613,4261875.749988419,274,2024-03-01
