Nº,Poço,Campo,Bacia,Localização,Operador,Produção (boe/d),mes
29,7-SPH-8-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,30135.9748125132,2019-09-01
30,9-LL-7-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,29639.4613393252,2019-09-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,61618.5347872713,2019-10-01
2,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,46295.1460924588,2019-10-01
3,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,45073.6220777228,2019-10-01
4,7-LL-15D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,42633.2656060647,2019-10-01
5,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,41943.902271805,2019-10-01
6,9-LL-20D-RJS,Lula,Santos,Mar,NA,38742.5389714548,2019-10-01
7,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,38593.6957876228,2019-10-01
8,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,38532.5760076331,2019-10-01
9,9-LL-12D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,38079.8376893246,2019-10-01
10,7-LL-61-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,37081.7879070965,2019-10-01
11,7-LL-83D-RJS,Lula,Santos,Mar,NA,36989.6376517884,2019-10-01
12,7-LL-27-RJS,Lula,Santos,Mar,NA,36980.7006595986,2019-10-01
13,7-LL-103D-RJS,Lula,Santos,Mar,NA,36838.6960818339,2019-10-01
14,9-BUZ-1-RJS,Búzios/Tambuatá,Santos,Mar,NA,35984.0344407893,2019-10-01
15,7-LL-51-RJS,Lula,Santos,Mar,NA,35581.7330213423,2019-10-01
16,7-LL-73D-RJS,Lula,Santos,Mar,NA,35564.7598128265,2019-10-01
17,7-LL-80DB-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34525.494681018,2019-10-01
18,7-LL-66-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34517.6247449498,2019-10-01
19,7-SPH-1-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,33928.627916976,2019-10-01
20,7-LL-28D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33550.7437631358,2019-10-01
21,7-LL-67D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33297.2123750015,2019-10-01
22,7-LL-84D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32517.633088674,2019-10-01
23,7-LL-36A-RJS,Lula,Santos,Mar,NA,32068.5238872579,2019-10-01
24,7-LL-110D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31913.5721921268,2019-10-01
25,7-BUZ-29D-RJS,Búzios/Tambuatá,Santos,Mar,NA,31544.7627732575,2019-10-01
26,7-LL-59-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31382.4280179895,2019-10-01
27,7-LL-91-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,30944.0661276747,2019-10-01
28,7-SPH-2D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,30687.0500427724,2019-10-01
29,7-SLL-2-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,30674.8620141692,2019-10-01
30,9-BUZ-7-RJS,Búzios/Tambuatá,Santos,Mar,NA,30179.176426807,2019-10-01
1,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,64129.8314669812,2019-11-01
2,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,62294.1507560343,2019-11-01
3,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,60067.7436178444,2019-11-01
4,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,52433.2436836996,2019-11-01
5,9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,NA,50191.377903358,2019-11-01
6,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,48713.1419538398,2019-11-01
7,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,44800.7159970546,2019-11-01
8,7-BUZ-29D-RJS,Búzios/Tambuatá,Santos,Mar,NA,44130.2965546767,2019-11-01
9,7-LL-15D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,42544.9554205046,2019-11-01
10,7-LL-27-RJS,Lula,Santos,Mar,NA,41660.6569581065,2019-11-01
11,9-LL-20D-RJS,Lula,Santos,Mar,NA,38920.7432718817,2019-11-01
12,9-LL-12D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,38070.6407557897,2019-11-01
13,7-LL-83D-RJS,Lula,Santos,Mar,NA,37315.236497375,2019-11-01
14,7-LL-61-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,37108.0681049961,2019-11-01
15,9-BUZ-1-RJS,Búzios/Tambuatá,Santos,Mar,NA,36781.126508877,2019-11-01
16,7-LL-103D-RJS,Lula,Santos,Mar,NA,36393.0777669676,2019-11-01
17,7-LL-36A-RJS,Lula,Santos,Mar,NA,36350.6075001286,2019-11-01
18,7-LL-51-RJS,Lula,Santos,Mar,NA,35850.1675040247,2019-11-01
19,7-LL-80DB-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34357.6920892897,2019-11-01
20,7-SLL-5-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34302.3616433792,2019-11-01
21,7-LL-66-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33869.1664525618,2019-11-01
22,7-LL-28D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33616.2599435245,2019-11-01
23,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,33503.7172223188,2019-11-01
24,7-SLL-2-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33301.953198227,2019-11-01
25,9-BUZ-7-RJS,Búzios/Tambuatá,Santos,Mar,NA,32863.5624000131,2019-11-01
26,7-LL-70-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32749.4774781969,2019-11-01
27,7-SPH-1-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,32567.2453352807,2019-11-01
28,7-LL-73D-RJS,Lula,Santos,Mar,NA,32355.0863455725,2019-11-01
29,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,32335.7905398356,2019-11-01
30,6-BRSA-1222A-ESS,Jubarte,Campos,Mar,NA,31619.0115224121,2019-11-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,61465.2356849354,2019-12-01
2,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,58509.2224890274,2019-12-01
3,9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,NA,55979.2383025356,2019-12-01
4,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,55322.4641721346,2019-12-01
5,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,50751.2230792746,2019-12-01
6,7-BUZ-29D-RJS,Búzios/Tambuatá,Santos,Mar,NA,47196.5986567528,2019-12-01
7,7-LL-27-RJS,Lula,Santos,Mar,NA,41678.7642587273,2019-12-01
8,7-LL-15D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,39954.3977922627,2019-12-01
9,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,39704.7620405603,2019-12-01
10,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,38982.9918582365,2019-12-01
11,9-BUZ-7-RJS,Búzios/Tambuatá,Santos,Mar,NA,37465.1085019794,2019-12-01
12,9-BBG-1D-RJS,Berbigão,Santos,Mar,NA,37415.824095149,2019-12-01
13,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,37340.1556173855,2019-12-01
14,9-LL-12D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,37181.9542716282,2019-12-01
15,7-LL-83D-RJS,Lula,Santos,Mar,NA,36814.9453981171,2019-12-01
16,3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,NA,35554.2714876955,2019-12-01
17,9-LL-20D-RJS,Lula,Santos,Mar,NA,34770.3215909484,2019-12-01
18,7-LL-80DB-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34530.8534327624,2019-12-01
19,7-LL-61-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34179.0235101899,2019-12-01
20,7-LL-84D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34176.4748629461,2019-12-01
21,7-LL-66-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33570.4306026406,2019-12-01
22,7-SLL-5-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32821.1805508594,2019-12-01
23,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,32489.696406548,2019-12-01
24,7-SLL-2-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32457.8513947478,2019-12-01
25,3-BRSA-1053-RJS,Búzios/Tambuatá,Santos,Mar,NA,32013.336461279,2019-12-01
26,7-LL-28D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31899.7054274373,2019-12-01
27,7-LL-70-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31612.2545974405,2019-12-01
28,7-LL-36A-RJS,Lula,Santos,Mar,NA,31517.130205474,2019-12-01
29,7-LL-51-RJS,Lula,Santos,Mar,NA,31471.3915572928,2019-12-01
30,7-LL-103D-RJS,Lula,Santos,Mar,NA,31369.4575999204,2019-12-01
1,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,54799.6285001981,2020-01-01
2,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,51301.913036826,2020-01-01
3,7-BUZ-29D-RJS,Búzios/Tambuatá,Santos,Mar,NA,50678.5137298714,2020-01-01
4,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,48003.4066340477,2020-01-01
5,9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,NA,46809.8128736577,2020-01-01
6,7-BUZ-12-RJS,Búzios/Tambuatá,Santos,Mar,NA,45882.9789599409,2020-01-01
7,7-LL-27-RJS,Lula,Santos,Mar,NA,41644.510044771,2020-01-01
8,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,41312.4877869244,2020-01-01
9,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,39822.9625219473,2020-01-01
10,7-LL-15D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,39534.2500351944,2020-01-01
11,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,39161.550863909,2020-01-01
12,9-LL-12D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,36754.6612944578,2020-01-01
13,7-BBG-2D-RJS,Berbigão,Santos,Mar,NA,36211.4345069039,2020-01-01
14,7-LL-83D-RJS,Lula,Santos,Mar,NA,35768.8386249007,2020-01-01
15,9-BBG-1D-RJS,Berbigão,Santos,Mar,NA,35746.6042845207,2020-01-01
16,7-LL-80DB-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,35035.997887995,2020-01-01
17,9-LL-20D-RJS,Lula,Santos,Mar,NA,34957.1977848465,2020-01-01
18,8-LL-87D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34316.2332501402,2020-01-01
19,7-LL-84D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34255.8946787552,2020-01-01
20,7-LL-61-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33802.8895690252,2020-01-01
21,7-LL-103D-RJS,Lula,Santos,Mar,NA,33414.6095198264,2020-01-01
22,9-BUZ-7-RJS,Búzios/Tambuatá,Santos,Mar,NA,33197.0332624452,2020-01-01
23,7-LL-66-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32960.4466549144,2020-01-01
24,7-SPH-1-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,32793.7730750861,2020-01-01
25,7-LL-36A-RJS,Lula,Santos,Mar,NA,32677.8847866952,2020-01-01
26,7-LL-51-RJS,Lula,Santos,Mar,NA,32661.3827498755,2020-01-01
27,9-LL-2-RJS,Lula,Santos,Mar,NA,31995.7463400825,2020-01-01
28,7-SLL-5-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31091.7095789444,2020-01-01
29,7-LL-28D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,30780.3731873568,2020-01-01
30,7-LL-67D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,30677.6752838645,2020-01-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,60522.7945103158,2020-02-01
2,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,50198.4996532964,2020-02-01
3,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,47500.6433002929,2020-02-01
4,7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,NA,44322.069162084,2020-02-01
5,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,43406.2954780756,2020-02-01
6,7-LL-27-RJS,Lula,Santos,Mar,NA,41272.4751885952,2020-02-01
7,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,40543.2521766096,2020-02-01
8,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,40239.3686365127,2020-02-01
9,7-BUZ-12-RJS,Búzios/Tambuatá,Santos,Mar,NA,39801.1826940125,2020-02-01
10,3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,NA,39284.5666706098,2020-02-01
11,9-BUZ-1-RJS,Búzios/Tambuatá,Santos,Mar,NA,38720.0569974071,2020-02-01
12,7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,NA,38274.2274175269,2020-02-01
13,9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,NA,35972.1993248195,2020-02-01
14,7-LL-83D-RJS,Lula,Santos,Mar,NA,35423.9461036796,2020-02-01
15,9-LL-20D-RJS,Lula,Santos,Mar,NA,34811.1020016366,2020-02-01
16,7-BBG-2D-RJS,Berbigão,Santos,Mar,NA,34217.119773146,2020-02-01
17,7-LL-80DB-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33847.7588272844,2020-02-01
18,7-LL-103D-RJS,Lula,Santos,Mar,NA,33153.9753419906,2020-02-01
19,7-LL-36A-RJS,Lula,Santos,Mar,NA,33026.7802535442,2020-02-01
20,9-BBG-1D-RJS,Berbigão,Santos,Mar,NA,32464.4819495724,2020-02-01
21,7-LL-51-RJS,Lula,Santos,Mar,NA,32294.9171155001,2020-02-01
22,7-SLL-2-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31871.065539376,2020-02-01
23,7-SLL-5-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31852.5682210423,2020-02-01
24,9-LL-2-RJS,Lula,Santos,Mar,NA,31121.3341030384,2020-02-01
25,7-SPH-1-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,31093.7270208094,2020-02-01
26,7-LL-15D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,30245.0754845027,2020-02-01
27,7-LL-70-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,30121.4167354527,2020-02-01
28,7-LL-73D-RJS,Lula,Santos,Mar,NA,30072.495237436,2020-02-01
29,7-SPH-2D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,29675.6564302385,2020-02-01
30,7-LL-91-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,29146.6439699609,2020-02-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,61471.7013884576,2020-03-01
2,7-BUZ-29D-RJS,Búzios/Tambuatá,Santos,Mar,NA,57371.5642727336,2020-03-01
3,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,48520.6808884457,2020-03-01
4,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,46666.5747566166,2020-03-01
5,9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,NA,46033.5516528285,2020-03-01
6,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,44599.4470805646,2020-03-01
7,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,41653.2515212604,2020-03-01
8,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,40165.2205791983,2020-03-01
9,3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,NA,39631.8329860648,2020-03-01
10,7-BUZ-12-RJS,Búzios/Tambuatá,Santos,Mar,NA,39398.809137931,2020-03-01
11,7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,NA,38934.3085766637,2020-03-01
12,9-BUZ-1-RJS,Búzios/Tambuatá,Santos,Mar,NA,38744.0983350631,2020-03-01
13,7-LL-15D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,36536.7114203337,2020-03-01
14,9-LL-12D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,36357.1100166237,2020-03-01
15,7-SPH-17-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,36210.1836645631,2020-03-01
16,9-LL-2-RJS,Lula,Santos,Mar,NA,35806.84114562,2020-03-01
17,8-LL-87D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,35459.8088689577,2020-03-01
18,7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,NA,35180.4417311785,2020-03-01
19,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,34721.2042090081,2020-03-01
20,7-BBG-2D-RJS,Berbigão,Santos,Mar,NA,34401.8753761431,2020-03-01
21,7-SLL-5-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34088.3084109744,2020-03-01
22,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,34055.0446716595,2020-03-01
23,7-LL-51-RJS,Lula,Santos,Mar,NA,33921.7590650384,2020-03-01
24,7-LL-61-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33898.0433039698,2020-03-01
25,7-LL-73D-RJS,Lula,Santos,Mar,NA,33540.583883767,2020-03-01
26,7-LL-66-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33368.1156379267,2020-03-01
27,9-BBG-1D-RJS,Berbigão,Santos,Mar,NA,33361.8162126333,2020-03-01
28,7-LL-80DB-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33298.9736374528,2020-03-01
29,7-SLL-2-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32724.2003869738,2020-03-01
30,7-LL-70-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31983.1237221298,2020-03-01
1,7-BUZ-29D-RJS,Búzios/Tambuatá,Santos,Mar,NA,63589.1117876161,2020-04-01
2,7-BUZ-12-RJS,Búzios/Tambuatá,Santos,Mar,NA,60338.6753763223,2020-04-01
3,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,53234.4630963656,2020-04-01
4,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,51616.4309745328,2020-04-01
5,7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,NA,46892.1519223062,2020-04-01
6,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,45739.9564110555,2020-04-01
7,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,42187.1406190707,2020-04-01
8,7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,NA,40464.0122066135,2020-04-01
9,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,40113.6091055266,2020-04-01
10,7-LL-15D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,39518.0566111487,2020-04-01
11,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,39412.016454862904,2020-04-01
12,9-LL-2-RJS,Lula,Santos,Mar,NA,39068.9440350805,2020-04-01
13,9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,NA,38332.7077629804,2020-04-01
14,7-SPH-17-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,36632.6522290972,2020-04-01
15,7-LL-103D-RJS,Lula,Santos,Mar,NA,36415.4891357408,2020-04-01
16,9-LL-20D-RJS,Lula,Santos,Mar,NA,36334.4620945891,2020-04-01
17,7-LL-51-RJS,Lula,Santos,Mar,NA,36306.9354812251,2020-04-01
18,9-LL-12D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,35796.1647091123,2020-04-01
19,7-LL-36A-RJS,Lula,Santos,Mar,NA,34598.2397359818,2020-04-01
20,7-LL-80DB-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34290.5291102381,2020-04-01
21,7-SLL-5-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33883.9832971772,2020-04-01
22,7-BBG-2D-RJS,Berbigão,Santos,Mar,NA,33749.9001781551,2020-04-01
23,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,33494.4512167959,2020-04-01
24,8-LL-87D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33489.2139016692,2020-04-01
25,7-LL-61-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33421.7570417283,2020-04-01
26,3-BRSA-1053-RJS,Búzios/Tambuatá,Santos,Mar,NA,33215.5345487161,2020-04-01
27,3-BRSA-1184-RJS,Búzios/Tambuatá,Santos,Mar,NA,33143.022612507,2020-04-01
28,7-LL-73D-RJS,Lula,Santos,Mar,NA,32693.753820621,2020-04-01
29,7-LL-66-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32488.1365415134,2020-04-01
30,7-SLL-2-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32237.3230044925,2020-04-01
1,7-BUZ-12-RJS,Búzios/Tambuatá,Santos,Mar,NA,62946.3941168253,2020-05-01
2,7-BUZ-29D-RJS,Búzios/Tambuatá,Santos,Mar,NA,62090.6234808291,2020-05-01
3,7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,NA,50705.244750782,2020-05-01
4,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,49830.9661256739,2020-05-01
5,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,42278.3907621236,2020-05-01
6,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,41793.754092397,2020-05-01
7,3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,NA,40292.2581766793,2020-05-01
8,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,39509.2574386379,2020-05-01
9,9-LL-20D-RJS,Lula,Santos,Mar,NA,36825.6753087633,2020-05-01
10,7-SPH-17-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,36389.852022286,2020-05-01
11,9-LL-12D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34744.7129744585,2020-05-01
12,7-LL-36A-RJS,Lula,Santos,Mar,NA,34571.4695663469,2020-05-01
13,7-LL-103D-RJS,Lula,Santos,Mar,NA,34288.3660359222,2020-05-01
14,7-LL-51-RJS,Lula,Santos,Mar,NA,34283.3679175356,2020-05-01
15,3-BRSA-1184-RJS,Búzios/Tambuatá,Santos,Mar,NA,34214.3686937197,2020-05-01
16,7-LL-80DB-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,34069.7029886477,2020-05-01
17,7-SLL-5-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,33903.2821638197,2020-05-01
18,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,33722.9614290326,2020-05-01
19,7-SLL-2-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32700.053021172,2020-05-01
20,7-LL-15D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,32675.9413388827,2020-05-01
21,7-BBG-2D-RJS,Berbigão,Santos,Mar,NA,32103.9290471695,2020-05-01
22,3-BRSA-1053-RJS,Búzios/Tambuatá,Santos,Mar,NA,31888.0720931201,2020-05-01
23,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,31878.753047726,2020-05-01
24,8-LL-87D-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31522.4426581299,2020-05-01
25,7-LL-61-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31486.1989366911,2020-05-01
26,7-LL-66-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31270.5168068962,2020-05-01
27,7-LL-70-RJS,Anc_Lula/Lula/Sul De Lula,Santos,Mar,NA,31153.4768380625,2020-05-01
28,7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,NA,31107.3851266143,2020-05-01
29,7-LL-73D-RJS,Lula,Santos,Mar,NA,30116.1289255588,2020-05-01
30,7-SPH-14D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,29767.9546527321,2020-05-01
1,7-BUZ-29D-RJS,Búzios/Tambuatá,Santos,Mar,NA,66519.2501600916,2020-06-01
2,7-BUZ-12-RJS,Búzios/Tambuatá,Santos,Mar,NA,53735.2426541522,2020-06-01
3,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,53640.8996365574,2020-06-01
4,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,52030.4376805447,2020-06-01
5,9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,NA,51407.4137092773,2020-06-01
6,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,49724.1226156474,2020-06-01
7,7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,NA,43483.9812974729,2020-06-01
8,7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,NA,41872.0352712738,2020-06-01
