Nº,Bacia,Campo,Localização,Operador,Queima de Gás (Mm³/d),mes
10,Campos,Jubarte,Mar,PETROBRAS,73.3552,2023-06-01
11,Potiguar,Brejinho Rn,Terra,POTIGUAR E&P S.A.,66.39076666666666,2023-06-01
12,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,65.2675,2023-06-01
13,Campos,Barracuda,Mar,PETROBRAS,51.1474,2023-06-01
14,Espírito Santo,Golfinho,Mar,PETROBRAS,50.046166666666664,2023-06-01
15,Campos,Marlim Leste,Mar,PETROBRAS,46.591,2023-06-01
16,Santos,Atapu,Mar,PETROBRAS,44.102666666666664,2023-06-01
17,Santos,Sururu,Mar,PETROBRAS,42.235866666666666,2023-06-01
18,Santos,Sul de Tupi,Mar,PETROBRAS,39.886433333333336,2023-06-01
19,Santos,Sépia,Mar,PETROBRAS,39.79543333333333,2023-06-01
20,Campos,Papa-Terra,Mar,3R PETROLEUM OFF,34.654466666666664,2023-06-01
1,Santos,Tupi,Mar,PETROBRAS,824.4946451612902,2023-05-01
2,Santos,Búzios,Mar,PETROBRAS,691.3976774193549,2023-05-01
3,Santos,Mero,Mar,PETROBRAS,324.7600967741935,2023-05-01
4,Santos,Sapinhoá,Mar,PETROBRAS,171.24335483870968,2023-05-01
5,Campos,Roncador,Mar,PETROBRAS,170.73551612903228,2023-05-01
6,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,136.72451612903225,2023-05-01
7,Campos,Marlim,Mar,PETROBRAS,127.38432258064516,2023-05-01
8,Potiguar,Lorena,Terra,POTIGUAR E&P S.A.,116.9588064516129,2023-05-01
9,Campos,Jubarte,Mar,PETROBRAS,95.07912903225807,2023-05-01
10,Amazonas,Azulão,Terra,ENEVA,83.68232258064516,2023-05-01
11,Campos,Marlim Sul,Mar,PETROBRAS,75.12570967741935,2023-05-01
12,Santos,Atapu,Mar,PETROBRAS,67.27135483870967,2023-05-01
13,Santos,Sépia,Mar,PETROBRAS,63.13716129032258,2023-05-01
14,Potiguar,Brejinho Rn,Terra,POTIGUAR E&P S.A.,58.51074193548387,2023-05-01
15,Campos,Marlim Leste,Mar,PETROBRAS,55.4846129032258,2023-05-01
16,Potiguar,Cachoeirinha,Terra,POTIGUAR E&P S.A.,53.93803225806452,2023-05-01
17,Campos,Barracuda,Mar,PETROBRAS,53.72432258064516,2023-05-01
18,Santos,Sul de Tupi,Mar,PETROBRAS,48.89883870967742,2023-05-01
19,Santos,Sururu,Mar,PETROBRAS,46.54958064516129,2023-05-01
20,Santos,Itapu,Mar,PETROBRAS,43.59367741935484,2023-05-01
1,Santos,Tupi,Mar,PETROBRAS,764.9471935483872,2023-03-01
2,Santos,Búzios,Mar,PETROBRAS,392.8698064516129,2023-03-01
3,Santos,Sapinhoá,Mar,PETROBRAS,306.156,2023-03-01
4,Santos,Itapu,Mar,PETROBRAS,222.60048387096774,2023-03-01
5,Santos,Itapu_Eco,Mar,PETROBRAS,207.8947741935484,2023-03-01
6,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,144.95012903225805,2023-03-01
7,Campos,Jubarte,Mar,PETROBRAS,117.71945161290323,2023-03-01
8,Campos,Marlim Sul,Mar,PETROBRAS,99.76387096774194,2023-03-01
9,Santos,Mero,Mar,PETROBRAS,90.84612903225806,2023-03-01
10,Campos,Roncador,Mar,PETROBRAS,90.00741935483872,2023-03-01
11,Santos,Lapa,Mar,TOTALENERGIES EP,84.71603225806452,2023-03-01
12,Amazonas,Azulão,Terra,ENEVA,70.01529032258065,2023-03-01
13,Santos,Sépia,Mar,PETROBRAS,66.36061290322581,2023-03-01
14,Campos,Barracuda,Mar,PETROBRAS,58.8501935483871,2023-03-01
15,Santos,Atapu,Mar,PETROBRAS,55.25945161290323,2023-03-01
16,Santos,Sul de Tupi,Mar,PETROBRAS,42.832193548387096,2023-03-01
17,Solimões,Leste do Urucu,Terra,PETROBRAS,41.27038709677419,2023-03-01
18,Santos,Sururu,Mar,PETROBRAS,40.80274193548387,2023-03-01
19,Campos,Albacora,Mar,PETROBRAS,40.748322580645166,2023-03-01
20,Solimões,Rio Urucu,Terra,PETROBRAS,38.19558064516129,2023-03-01
1,Santos,Búzios,Mar,PETROBRAS,652.7935,2023-11-01
2,Santos,Tupi,Mar,PETROBRAS,548.9859666666667,2023-11-01
3,Santos,Sapinhoá,Mar,PETROBRAS,210.9057,2023-11-01
4,Campos,Jubarte,Mar,PETROBRAS,182.92610000000002,2023-11-01
5,Campos,Marlim,Mar,PETROBRAS,160.33613333333332,2023-11-01
6,Potiguar,Lorena,Terra,POTIGUAR E&P S.A.,157.413,2023-11-01
7,Campos,Roncador,Mar,PETROBRAS,123.13483333333333,2023-11-01
8,Potiguar,Riacho da Forquilha,Terra,POTIGUAR E&P S.A.,92.91513333333334,2023-11-01
9,Campos,Marlim Sul,Mar,PETROBRAS,83.98536666666668,2023-11-01
10,Amazonas,Azulão,Terra,ENEVA,81.3925,2023-11-01
11,Potiguar,Boa Esperança,Terra,POTIGUAR E&P S.A.,77.1701,2023-11-01
12,Santos,Mero,Mar,PETROBRAS,66.5968,2023-11-01
13,Campos,Voador,Mar,PETROBRAS,63.61983333333333,2023-11-01
14,Potiguar,Brejinho Rn,Terra,POTIGUAR E&P S.A.,61.519866666666665,2023-11-01
15,Potiguar,Livramento,Terra,POTIGUAR E&P S.A.,55.600033333333336,2023-11-01
16,Santos,Sépia,Mar,PETROBRAS,53.62803333333333,2023-11-01
17,Santos,Atapu,Mar,PETROBRAS,51.72796666666667,2023-11-01
18,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,45.3067,2023-11-01
19,Campos,Barracuda,Mar,PETROBRAS,42.8488,2023-11-01
20,Campos,Marlim Leste,Mar,PETROBRAS,38.49986666666667,2023-11-01
1,Santos,Búzios,Mar,PETROBRAS,704.7567419354839,2023-10-01
2,Santos,Tupi,Mar,PETROBRAS,619.7392258064516,2023-10-01
3,Campos,Marlim,Mar,PETROBRAS,268.82229032258067,2023-10-01
4,Santos,Mero,Mar,PETROBRAS,248.51748387096777,2023-10-01
5,Santos,Sapinhoá,Mar,PETROBRAS,156.873,2023-10-01
6,Campos,Roncador,Mar,PETROBRAS,128.20703225806452,2023-10-01
7,Campos,Jubarte,Mar,PETROBRAS,128.1942258064516,2023-10-01
8,Campos,Voador,Mar,PETROBRAS,119.84425806451613,2023-10-01
9,Campos,Marlim Sul,Mar,PETROBRAS,110.54329032258065,2023-10-01
10,Amazonas,Azulão,Terra,ENEVA,78.31270967741935,2023-10-01
11,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,66.30306451612903,2023-10-01
12,Santos,Atapu,Mar,PETROBRAS,63.43116129032258,2023-10-01
13,Potiguar,Brejinho Rn,Terra,POTIGUAR E&P S.A.,54.62374193548387,2023-10-01
14,Santos,Sépia,Mar,PETROBRAS,51.25506451612904,2023-10-01
15,Santos,Lapa,Mar,TOTALENERGIES EP,47.02129032258065,2023-10-01
16,Campos,Barracuda,Mar,PETROBRAS,46.80906451612903,2023-10-01
17,Campos,Papa-Terra,Mar,3R PETROLEUM OFF,43.520161290322584,2023-10-01
18,Santos,Sul de Tupi,Mar,PETROBRAS,41.66645161290323,2023-10-01
19,Solimões,Leste do Urucu,Terra,PETROBRAS,41.07203225806452,2023-10-01
20,Campos,Marimbá,Mar,TRIDENT ENERGY,37.78590322580645,2023-10-01
1,Santos,Búzios,Mar,PETROBRAS,624,2023-09-01
2,Santos,Tupi,Mar,PETROBRAS,478,2023-09-01
3,Campos,Marlim,Mar,PETROBRAS,237,2023-09-01
4,Campos,Marlim Sul,Mar,PETROBRAS,149,2023-09-01
5,Campos,Jubarte,Mar,PETROBRAS,135,2023-09-01
6,Campos,Roncador,Mar,PETROBRAS,128,2023-09-01
7,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,115,2023-09-01
8,Santos,Mero,Mar,PETROBRAS,109,2023-09-01
9,Santos,Sépia,Mar,PETROBRAS,108,2023-09-01
10,Campos,Voador,Mar,PETROBRAS,101,2023-09-01
11,Amazonas,Azulão,Terra,ENEVA,81,2023-09-01
12,Santos,Sapinhoá,Mar,PETROBRAS,63,2023-09-01
13,Solimões,Leste do Urucu,Terra,PETROBRAS,48,2023-09-01
14,Potiguar,Lorena,Terra,POTIGUAR E&P S.A.,46,2023-09-01
15,Santos,Sururu,Mar,PETROBRAS,45,2023-09-01
16,Campos,Barracuda,Mar,PETROBRAS,39,2023-09-01
17,Santos,Berbigão,Mar,PETROBRAS,36,2023-09-01
18,Campos,Papa-Terra,Mar,3R PETROLEUM OFF,34,2023-09-01
19,Santos,Baúna,Mar,KAROON BRASIL,33,2023-09-01
20,Santos,Atapu,Mar,PETROBRAS,31,2023-09-01
1,Santos,Búzios,Mar,PETROBRAS,787.5783548387096,2023-08-01
2,Santos,Tupi,Mar,PETROBRAS,772.1553548387096,2023-08-01
3,Campos,Marlim,Mar,PETROBRAS,251.59512903225806,2023-08-01
4,Campos,Roncador,Mar,PETROBRAS,180.66735483870968,2023-08-01
5,Campos,Marlim Sul,Mar,PETROBRAS,142.19051612903226,2023-08-01
6,Santos,Mero,Mar,PETROBRAS,101.76348387096775,2023-08-01
7,Amazonas,Azulão,Terra,ENEVA,96.82896774193549,2023-08-01
8,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,84.34474193548387,2023-08-01
9,Potiguar,Lorena,Terra,POTIGUAR E&P S.A.,63.115580645161295,2023-08-01
10,Campos,Voador,Mar,PETROBRAS,62.48583870967742,2023-08-01
11,Campos,Jubarte,Mar,PETROBRAS,60.3238064516129,2023-08-01
12,Santos,Sapinhoá,Mar,PETROBRAS,58.462322580645164,2023-08-01
13,Santos,Sépia,Mar,PETROBRAS,56.22687096774193,2023-08-01
14,Solimões,Leste do Urucu,Terra,PETROBRAS,55.25277419354839,2023-08-01
15,Santos,Atapu,Mar,PETROBRAS,48.28051612903226,2023-08-01
16,Campos,Marlim Leste,Mar,PETROBRAS,38.40816129032258,2023-08-01
17,Solimões,Rio Urucu,Terra,PETROBRAS,37.79577419354839,2023-08-01
18,Santos,Sul de Tupi,Mar,PETROBRAS,37.716645161290316,2023-08-01
19,Santos,Itapu,Mar,PETROBRAS,36.650064516129035,2023-08-01
20,Campos,Barracuda,Mar,PETROBRAS,35.592064516129035,2023-08-01
NA,NA,NA,NA,NA,NA,2023-08-01
1,Santos,Búzios,Mar,PETROBRAS,630,2024-04-01
2,Santos,Mero,Mar,PETROBRAS,581,2024-04-01
3,Santos,Tupi,Mar,PETROBRAS,544,2024-04-01
4,Campos,Jubarte,Mar,PETROBRAS,378,2024-04-01
5,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,194,2024-04-01
6,Campos,Marlim Sul,Mar,PETROBRAS,142,2024-04-01
7,Santos,Sépia,Mar,PETROBRAS,128,2024-04-01
8,Campos,Roncador,Mar,PETROBRAS,107,2024-04-01
9,Santos,Sapinhoá,Mar,PETROBRAS,94,2024-04-01
10,Campos,Marimbá,Mar,TRIDENT ENERGY,80,2024-04-01
11,Solimões,Rio Urucu,Terra,PETROBRAS,56,2024-04-01
12,Santos,Atapu,Mar,PETROBRAS,55,2024-04-01
13,Campos,Barracuda,Mar,PETROBRAS,49,2024-04-01
14,Campos,Marlim,Mar,PETROBRAS,49,2024-04-01
15,Campos,Papa-Terra,Mar,3R PETROLEUM OFF,41,2024-04-01
16,Santos,Baúna,Mar,KAROON BRASIL,40,2024-04-01
17,Solimões,Leste do Urucu,Terra,PETROBRAS,38,2024-04-01
18,Santos,Sul de Tupi,Mar,PETROBRAS,34,2024-04-01
19,Espírito Santo,Golfinho,Mar,BW MAROMBA,29,2024-04-01
20,Campos,Enchova,Mar,TRIDENT ENERGY,25,2024-04-01
1,Santos,Mero,Mar,PETROBRAS,1440.8956451612903,2024-01-01
2,Santos,Búzios,Mar,PETROBRAS,682.6910322580645,2024-01-01
3,Santos,Tupi,Mar,PETROBRAS,544.4276129032258,2024-01-01
4,Santos,Sapinhoá,Mar,PETROBRAS,155.2988064516129,2024-01-01
5,Santos,Sépia,Mar,PETROBRAS,114.49916129032259,2024-01-01
6,Campos,Jubarte,Mar,PETROBRAS,109.79687096774194,2024-01-01
7,Campos,Marlim Sul,Mar,PETROBRAS,101.90390322580646,2024-01-01
8,Campos,Marlim,Mar,PETROBRAS,90.44548387096773,2024-01-01
9,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,89.43393548387097,2024-01-01
10,Campos,Roncador,Mar,PETROBRAS,83.0733870967742,2024-01-01
11,Amazonas,Azulão,Terra,ENEVA,72.47358064516129,2024-01-01
12,Campos,Marimbá,Mar,TRIDENT ENERGY,60.02712903225806,2024-01-01
13,Campos,Marlim Leste,Mar,PETROBRAS,52.328483870967744,2024-01-01
14,Santos,Anc_Mero,Mar,PETROBRAS,52.260451612903225,2024-01-01
15,Campos,Papa-Terra,Mar,3R PETROLEUM OFF,41.96403225806451,2024-01-01
16,Espírito Santo,Golfinho,Mar,BW MAROMBA,39.83916129032258,2024-01-01
17,Campos,Barracuda,Mar,PETROBRAS,38.95406451612903,2024-01-01
18,Santos,Sul de Tupi,Mar,PETROBRAS,37.73412903225807,2024-01-01
19,Solimões,Leste do Urucu,Terra,PETROBRAS,37.647129032258064,2024-01-01
20,Solimões,Rio Urucu,Terra,PETROBRAS,34.81216129032258,2024-01-01
1,Santos,Mero,Mar,PETROBRAS,688,2024-05-01
2,Santos,Búzios,Mar,PETROBRAS,597,2024-05-01
3,Santos,Tupi,Mar,PETROBRAS,533,2024-05-01
4,Campos,Roncador,Mar,PETROBRAS,162,2024-05-01
5,Campos,Marlim Sul,Mar,PETROBRAS,122,2024-05-01
6,Campos,Marlim,Mar,PETROBRAS,95,2024-05-01
7,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,91,2024-05-01
8,Santos,Sapinhoá,Mar,PETROBRAS,81,2024-05-01
9,Santos,Sépia,Mar,PETROBRAS,71,2024-05-01
10,Campos,Jubarte,Mar,PETROBRAS,64,2024-05-01
11,Campos,Marimbá,Mar,TRIDENT ENERGY,54,2024-05-01
12,Campos,Barracuda,Mar,PETROBRAS,52,2024-05-01
13,Solimões,Rio Urucu,Terra,PETROBRAS,52,2024-05-01
14,Solimões,Leste do Urucu,Terra,PETROBRAS,49,2024-05-01
15,Santos,Berbigão,Mar,PETROBRAS,46,2024-05-01
16,Campos,Papa-Terra,Mar,3R PETROLEUM OFF,39,2024-05-01
17,Campos,Peregrino,Mar,EQUINOR BRASIL,38,2024-05-01
18,Espírito Santo,Golfinho,Mar,BW MAROMBA,38,2024-05-01
19,Santos,Sul de Tupi,Mar,PETROBRAS,36,2024-05-01
20,Campos,Voador,Mar,PETROBRAS,32,2024-05-01
1,Santos,Mero,Mar,PETROBRAS,1396.0094193548387,2024-03-01
2,Campos,Jubarte,Mar,PETROBRAS,993.1585806451614,2024-03-01
3,Santos,Tupi,Mar,PETROBRAS,675.1626129032259,2024-03-01
4,Santos,Búzios,Mar,PETROBRAS,521.1263225806453,2024-03-01
5,Santos,Sapinhoá,Mar,PETROBRAS,253.48867741935484,2024-03-01
6,Campos,Albacora Leste,Mar,PETRO RIO JAGUAR,215.6548064516129,2024-03-01
7,Campos,Marlim Sul,Mar,PETROBRAS,124.80674193548387,2024-03-01
8,Solimões,Leste do Urucu,Terra,PETROBRAS,76.0068064516129,2024-03-01
9,Campos,Marimbá,Mar,TRIDENT ENERGY,75.20529032258065,2024-03-01
10,Campos,Roncador,Mar,PETROBRAS,71.25406451612903,2024-03-01
11,Solimões,Rio Urucu,Terra,PETROBRAS,66.5734193548387,2024-03-01
12,Campos,Frade,Mar,PETRO RIO JAGUAR,62.10416129032258,2024-03-01
13,Santos,Sépia,Mar,PETROBRAS,60.20341935483871,2024-03-01
14,Amazonas,Azulão,Terra,ENEVA,55.02248387096774,2024-03-01
15,Campos,Papa-Terra,Mar,3R PETROLEUM OFF,54.480548387096775,2024-03-01
16,Campos,Marlim,Mar,PETROBRAS,50.733677419354834,2024-03-01
17,Santos,Anc_Mero,Mar,PETROBRAS,50.632451612903225,2024-03-01
18,Campos,Pampo,Mar,TRIDENT ENERGY,49.556709677419356,2024-03-01
19,Campos,Barracuda,Mar,PETROBRAS,45.547548387096775,2024-03-01
20,Santos,Sul de Tupi,Mar,PETROBRAS,44.80341935483871,2024-03-01
