"","Nome ANP do Poço","Campo","Bacia","Petróleo (bbl/d)","Gás natural (Mm³/d)","Produção Total (boe/d)","mes"
"1","7LL15DRJS","Lula","Santos",39474,1446,48566,"2018-01-01"
"2","7SPH17SPS","Sapinhoá","Santos",33256,932,39117,"2018-01-01"
"3","7LL83DRJS","Lula","Santos",29340,1394,38111,"2018-01-01"
"4","9LL20DRJS","Lula","Santos",27673,1337,36081,"2018-01-01"
"5","7LL80DBRJS","Lula","Santos",29143,997,35417,"2018-01-01"
"6","7LL36ARJS","Lula","Santos",26553,1309,34785,"2018-01-01"
"7","7SPH1SPS","Sapinhoá","Santos",28547,978,34700,"2018-01-01"
"8","8LL81DRJS","Lula","Santos",28103,1013,34475,"2018-01-01"
"9","8LL87DRJS","Lula","Santos",28183,923,33991,"2018-01-01"
"10","9LL12DRJS","Lula","Santos",27710,941,33627,"2018-01-01"
"11","7LL73DRJS","Lula","Santos",23590,1563,33421,"2018-01-01"
"12","7LL51RJS","Lula","Santos",25451,1226,33164,"2018-01-01"
"13","7SPH7DSPS","Sapinhoá","Santos",26597,984,32785,"2018-01-01"
"14","7LL45DRJS","Lula","Santos",24759,1193,32266,"2018-01-01"
"15","7LL22DRJS","Lula","Santos",26412,906,32113,"2018-01-01"
"16","7LL91RJS","Lula","Santos",25658,855,31037,"2018-01-01"
"17","7LL69RJS","Lula","Santos",25436,813,30547,"2018-01-01"
"18","9LL7RJS","Lula","Santos",24427,954,30430,"2018-01-01"
"19","9BRSA928SPS","Sapinhoá","Santos",24759,846,30082,"2018-01-01"
"20","7SPH14DSPS","Sapinhoá","Santos",24032,901,29698,"2018-01-01"
"21","9LL19RJS","Lula","Santos",24717,762,29507,"2018-01-01"
"22","7SPH4DSPS","Sapinhoá","Santos",24261,815,29388,"2018-01-01"
"23","7SPH3SPS","Sapinhoá","Santos",21903,1188,29377,"2018-01-01"
"24","7LL79DRJS","Lula","Santos",24208,822,29376,"2018-01-01"
"25","7LL97RJS","Lula","Santos",23661,786,28603,"2018-01-01"
"26","7LL63DRJS","Lula","Santos",21567,1054,28195,"2018-01-01"
"27","7LPA1DSPS","Lapa","Santos",23867,683,28165,"2018-01-01"
"28","7SPH8SPS","Sapinhoá","Santos",22506,843,27808,"2018-01-01"
"29","7LL27RJS","Lula","Santos",21024,1056,27665,"2018-01-01"
"30","3BRSA788SPS","Sapinhoá","Santos",21270,954,27270,"2018-01-01"
"31","3BRSA839ARJS","Lula","Santos",21386,906,27086,"2018-01-01"
"32","6BRSA1222AESS","Jubarte³","Campos",22239,712,26717,"2018-01-01"
"33","7LL61RJS","Lula","Santos",22033,722,26577,"2018-01-01"
"34","7LL31DRJS","Lula","Santos",20044,989,26263,"2018-01-01"
"35","9LL2RJS","Lula","Santos",19426,1039,25962,"2018-01-01"
"36","7JUB58DPAESS","Jubarte³","Campos",20876,744,25553,"2018-01-01"
"37","7SPH5SPS","Sapinhoá","Santos",18463,1033,24958,"2018-01-01"
"38","7JUB34HESS","Jubarte³","Campos",19261,700,23662,"2018-01-01"
"39","3BRSA496RJS","Lula","Santos",17645,940,23559,"2018-01-01"
"40","3BRSA865ARJS","Lula","Santos",18740,751,23464,"2018-01-01"
"41","7BFR7ESS","Baleia Franca³","Campos",18946,671,23163,"2018-01-01"
"42","7LL102DRJS","Lula","Santos",18891,617,22772,"2018-01-01"
"43","7LL3DRJS","Lula","Santos",17951,638,21961,"2018-01-01"
"44","7LL17DRJS","Lula","Santos",18009,619,21902,"2018-01-01"
"45","7BFR12PAESS","Baleia Franca³","Campos",16923,678,21188,"2018-01-01"
"46","7LL85RJS","Lula","Santos",15997,736,20628,"2018-01-01"
"47","7LL46RJS","Lula","Santos",16006,719,20527,"2018-01-01"
"48","3BRSA830RJS","Lula","Santos",13024,1063,19712,"2018-01-01"
"49","7SPH16DSPS","Sapinhoá","Santos",15107,694,19469,"2018-01-01"
"50","9BRSA908DRJS","Lula","Santos",13800,827,18999,"2018-01-01"
"51","3BRSA1305ARJS","Mero","Santos",13565,807,18642,"2018-01-01"
"52","3BRSA883RJS","Lula","Santos",13723,715,18221,"2018-01-01"
"53","7LL66RJS","Lula","Santos",14931,516,18179,"2018-01-01"
"54","7LL58RJS","Lula","Santos",15137,484,18178,"2018-01-01"
"55","8LPA2DSPS","Lapa","Santos",15372,388,17812,"2018-01-01"
"56","7JUB57DPAESS","Jubarte³","Campos",13320,465,16242,"2018-01-01"
"57","7BAZ8ESS","Baleia Azul³","Campos",12989,430,15691,"2018-01-01"
"58","7LL28DRJS","Lula","Santos",11337,400,13856,"2018-01-01"
"59","7JUB44ESS","Jubarte³","Campos",10660,317,12652,"2018-01-01"
"60","8JUB39ESS","Jubarte³","Campos",9506,301,11400,"2018-01-01"
"61","7MLL73DRJS","Marlim Leste","Campos",10071,185,11237,"2018-01-01"
"62","7BAZ4ESS","Baleia Azul³","Campos",9058,297,10925,"2018-01-01"
"63","8LL37DRJS","Lula","Santos",7604,362,9878,"2018-01-01"
"64","7LL8HRJS","Lula","Santos",6187,459,9075,"2018-01-01"
"65","7JUB55ESS","Jubarte³","Campos",7016,217,8381,"2018-01-01"
"66","7LL84DRJS","Lula","Santos",6925,228,8356,"2018-01-01"
"67","6BRSA639ESS","Jubarte³","Campos",5918,209,7231,"2018-01-01"
"68","6BRSA631DBESS","Baleia Azul³","Campos",5926,181,7067,"2018-01-01"
"69","7BAZ3ESS","Baleia Azul³","Campos",5285,178,6404,"2018-01-01"
"70","6BRSA806RJS","Barracuda/Caratinga","Campos",5607,92,6187,"2018-01-01"
"71","7LL60DRJS","Lula","Santos",4513,232,5970,"2018-01-01"
"72","7MLL78DRJS","Marlim Leste","Campos",4951,94,5541,"2018-01-01"
"73","6BRSA770DRJS","Marlim/Voador","Campos",4523,135,5374,"2018-01-01"
"74","7BR69DARJS","Barracuda/Caratinga","Campos",4707,71,5154,"2018-01-01"
"75","6BRSA817RJS","Marlim Leste","Campos",3861,72,4316,"2018-01-01"
"76","7MLL72RJS","Marlim Leste","Campos",3744,80,4245,"2018-01-01"
"77","3BRSA1017DRJS","Marlim Leste","Campos",3107,46,3400,"2018-01-01"
"78","7CRT49RJS","Barracuda/Caratinga","Campos",3035,55,3381,"2018-01-01"
"79","7LL106DARJS","Lula","Santos",1840,50,2157,"2018-01-01"
"80","7BAZ6ESS","Baleia Azul³","Campos",1296,46,1582,"2018-01-01"
"81","7PRB1ESS","Pirambu","Campos",879,27,1048,"2018-01-01"
"82","9MRL231DARJS","Marlim","Campos",671,8,719,"2018-01-01"
"83","7JUB45ESS","Jubarte³","Campos",391,12,469,"2018-01-01"
"84","7PM  0017D RJS","Pampo","Campos",182,6,218,"2018-01-01"
"85","7SPH2DSPS","Sapinhoá","Santos",1,0,1,"2018-01-01"
"86","Total Geral",NA,NA,1380689,54436,1723079,"2018-01-01"
"87","8LL87DRJS","Lula","Santos",33249.1707,1111.6579,40241.287675999,"2018-02-01"
"88","7SPH17SPS","Sapinhoá","Santos",32833.6315,1098.197,39741.08197257,"2018-02-01"
"89","7LL15DRJS","Lula","Santos",31214.9462,1147.0186,38429.475260466,"2018-02-01"
"90","7LL83DRJS","Lula","Santos",29069.864,1417.1772,37983.639324332,"2018-02-01"
"91","7LL80DBRJS","Lula","Santos",30550.9402,1067.1791,37263.293974971,"2018-02-01"
"92","9LL20DRJS","Lula","Santos",28382.5365,1380.6195,37066.370837295,"2018-02-01"
"93","7LL36ARJS","Lula","Santos",27933.1769,1384.3747,36640.630731807,"2018-02-01"
"94","8LL81DRJS","Lula","Santos",29571.5705,1087.8521,36413.953517101,"2018-02-01"
"95","7SPH1SPS","Sapinhoá","Santos",29473.5483,1024.0494,35914.624456614,"2018-02-01"
"96","7LL51RJS","Lula","Santos",26879.0861,1302.1176,35069.158401656,"2018-02-01"
"97","7LL73DRJS","Lula","Santos",24450.5714,1628.6578,34694.519517018,"2018-02-01"
"98","7SPH7DSPS","Sapinhoá","Santos",27797.1913,1001.2798,34095.050998838,"2018-02-01"
"99","7SPH14DSPS","Sapinhoá","Santos",26011.7712,1025.1473,32459.752939013,"2018-02-01"
"100","7LL91RJS","Lula","Santos",26917.7118,872.4663,32405.359058403,"2018-02-01"
"101","9LL7RJS","Lula","Santos",25898.1806,1033.9037,32401.238431297,"2018-02-01"
"102","9LL12DRJS","Lula","Santos",26068.4927,916.0733,31830.419703073,"2018-02-01"
"103","7LL69RJS","Lula","Santos",25819.3115,892.9026,31435.499202506,"2018-02-01"
"104","7LL22DRJS","Lula","Santos",25747.8231,881.5395,31292.539062495,"2018-02-01"
"105","9BRSA928SPS","Sapinhoá","Santos",25459.3679,894.3956,31084.946288836,"2018-02-01"
"106","7SPH4DSPS","Sapinhoá","Santos",24836.0707,855.7774,30218.747948294,"2018-02-01"
"107","7SPH3SPS","Sapinhoá","Santos",22259.3191,1226.3611,29972.897410391,"2018-02-01"
"108","7LL45DRJS","Lula","Santos",22943.5938,1117.3725,29971.654524225,"2018-02-01"
"109","7SPH8SPS","Sapinhoá","Santos",24162.6614,877.288,29680.63623528,"2018-02-01"
"110","3BRSA788SPS","Sapinhoá","Santos",22947.5755,1032.7453,29443.347215393,"2018-02-01"
"111","7LL84DRJS","Lula","Santos",23786.9519,801.3431,28827.247743811,"2018-02-01"
"112","7LL27RJS","Lula","Santos",21742.6898,1119.6883,28785.316466223,"2018-02-01"
"113","3BRSA839ARJS","Lula","Santos",22637.8695,964.8037,28706.301460297,"2018-02-01"
"114","7LL63DRJS","Lula","Santos",21776.4802,1057.0055,28424.843963955,"2018-02-01"
"115","7LL79DRJS","Lula","Santos",22996.1827,772.6247,27855.845264307,"2018-02-01"
"116","9LL2RJS","Lula","Santos",20662.3071,1133.9333,27794.532109673,"2018-02-01"
"117","6BRSA1222AESS","Jubarte³","Campos",23066.3621,688.4837,27396.793761097,"2018-02-01"
"118","7LL102DRJS","Lula","Santos",21973.8297,781.7348,26890.793062388,"2018-02-01"
"119","7LL28DRJS","Lula","Santos",21982.3482,770.8799,26831.036303819,"2018-02-01"
"120","7LPA1DSPS","Lapa","Santos",22651.9196,654.5455,26768.886431355,"2018-02-01"
"121","7JUB58DPAESS","Jubarte³","Campos",21292.4131,799.7732,26322.834571092,"2018-02-01"
"122","3BRSA496RJS","Lula","Santos",19575.6865,1014.1919,25954.760854539,"2018-02-01"
"123","7LL97RJS","Lula","Santos",21182.5919,745.704,25872.92837624,"2018-02-01"
"124","9LL19RJS","Lula","Santos",21604.8484,656.9973,25737.236587513,"2018-02-01"
"125","7JUB34HESS","Jubarte³","Campos",20988.4567,735.1455,25612.382217355,"2018-02-01"
"126","7BFR7ESS","Baleia Franca³","Campos",19165.9588,706.351,23608.77238331,"2018-02-01"
"127","3BRSA1305ARJS","Mero","Santos",16317.7729,1086.9807,23154.674976667,"2018-02-01"
"128","7LL85RJS","Lula","Santos",17580.2604,841.6291,22873.947529471,"2018-02-01"
"129","7LL31DRJS","Lula","Santos",16970.6745,858.5051,22370.508463031,"2018-02-01"
"130","7SPH5SPS","Sapinhoá","Santos",16149.8682,945.9455,22099.685665355,"2018-02-01"
"131","3BRSA865ARJS","Lula","Santos",17245.4199,654.6803,21363.234597743,"2018-02-01"
"132","7LL46RJS","Lula","Santos",16428.1845,758.6204,21199.762678124,"2018-02-01"
"133","3BRSA830RJS","Lula","Santos",13308.0096,1114.6086,20318.685918366,"2018-02-01"
"134","7LL17DRJS","Lula","Santos",16658.4854,567.3659,20227.109111479,"2018-02-01"
"135","3BRSA883RJS","Lula","Santos",14830.7657,829.1019,20045.659121639,"2018-02-01"
"136","7LL66RJS","Lula","Santos",16113.3552,562.7346,19652.848914426,"2018-02-01"
"137","7BFR12PAESS","Baleia Franca³","Campos",15117.723,650.9499,19212.074190519,"2018-02-01"
"138","7LL48DRJS","Lula","Santos",15470.8374,526.9517,18785.263472177,"2018-02-01"
"139","8LPA2DSPS","Lapa","Santos",15667.299,376.5209,18035.543922029,"2018-02-01"
"140","9BRSA908DRJS","Lula","Santos",13063.5528,788.6545,18024.039760645,"2018-02-01"
"141","7SPH16DSPS","Sapinhoá","Santos",13382.9559,590.1374,17094.808019894,"2018-02-01"
"142","7LL58RJS","Lula","Santos",13385.0614,444.792,16182.71856952,"2018-02-01"
"143","7BAZ8ESS","Baleia Azul³","Campos",12784.2509,390.1712,15238.353615472,"2018-02-01"
"144","9BRSA1212RJS","Sururu","Santos",12536.8313,382.9153,14945.295783093,"2018-02-01"
"145","7JUB57DPAESS","Jubarte³","Campos",11152.0092,398.7348,13659.975332388,"2018-02-01"
"146","7LL3DRJS","Lula","Santos",10327.432,365.095,12623.81018195,"2018-02-01"
"147","7MLL78DRJS","Marlim Leste","Campos",10835.6657,201.9428,12105.847542868,"2018-02-01"
"148","7BAZ4ESS","Baleia Azul³","Campos",9665.162,369.4805,11989.124143705,"2018-02-01"
"149","7JUB44ESS","Jubarte³","Campos",9897.9081,294.4922,11750.208084482,"2018-02-01"
"150","8JUB39ESS","Jubarte³","Campos",9477.9357,286.5284,11280.144895604,"2018-02-01"
"151","7MLL73DRJS","Marlim Leste","Campos",9906.4043,176.2714,11015.117914434,"2018-02-01"
"152","6BRSA639ESS","Jubarte³","Campos",8114.1213,276.7407,9854.767722267,"2018-02-01"
"153","7JUB55ESS","Jubarte³","Campos",7325.2623,215.7709,8682.420264529,"2018-02-01"
"154","6BRSA631DBESS","Baleia Azul³","Campos",6300.2255,224.7729,7714.004334149,"2018-02-01"
"155","7BAZ3ESS","Baleia Azul³","Campos",6071.7571,201.1335,7336.848599635,"2018-02-01"
"156","7LL60DRJS","Lula","Santos",5350.4392,294.6588,7203.787066828,"2018-02-01"
"157","7LL8HRJS","Lula","Santos",4484.1111,332.9243,6578.141691383,"2018-02-01"
"158","7BR69DARJS","Barracuda/Caratinga","Campos",5178.4006,77.2117,5664.047522777,"2018-02-01"
"159","6BRSA770DRJS","Marlim/Voador","Campos",3820.031,124.6787,4604.236334047,"2018-02-01"
"160","7MLL72RJS","Marlim Leste","Campos",3806.2504,78.3318,4298.942538958,"2018-02-01"
"161","7LL106DARJS","Lula","Santos",3390.0679,100.3859,4021.476137679,"2018-02-01"
"162","6BRSA817RJS","Marlim Leste","Campos",3268.9666,59.588,3643.76379828,"2018-02-01"
"163","7CRT49RJS","Barracuda/Caratinga","Campos",3010.5955,75.8088,3487.418448328,"2018-02-01"
"164","3BRSA1017DRJS","Marlim Leste","Campos",3024.924,43.6321,3299.361618901,"2018-02-01"
"165","7JUB45ESS","Jubarte³","Campos",1287.2164,42.1719,1552.469638339,"2018-02-01"
"166","3BRSA821RJS","Lula","Santos",1039.7364,53.7612,1377.884133372,"2018-02-01"
"167","7PRB1ESS","Pirambu³","Campos",731.0772,23.3934,878.217241254,"2018-02-01"
"168","7PM  0017D RJS","Pampo","Campos",170.4583,5.4551,204.769842531,"2018-02-01"
"169","7SPH2DSPS","Sapinhoá","Santos",161.5032,5.6597,197.101637657,"2018-02-01"
"170","Total Geral",NA,NA,1408373.9781,56379.2482,1762988.73722084,"2018-02-01"
"171","7SPH17SPS","Sapinhoá","Santos",33282.9454,1135.8956,40427.512903836,"2018-03-01"
"172","7LL80DBRJS","Lula","Santos",30276.0786,1060.5546,36946.765528626,"2018-03-01"
"173","7LL36ARJS","Lula","Santos",28076.0203,1387.7125,36804.468259625,"2018-03-01"
"174","8LL87DRJS","Lula","Santos",30035.0603,1003.3322,36345.829204882,"2018-03-01"
"175","3BRSA1305ARJS","Mero","Santos",25573.925,1662.8789,36033.117334009,"2018-03-01"
"176","8LL81DRJS","Lula","Santos",29066.8208,1051.0579,35677.775289999,"2018-03-01"
"177","9LL20DRJS","Lula","Santos",27244.6381,1333.7537,35633.695459797,"2018-03-01"
"178","7SPH1SPS","Sapinhoá","Santos",28498.8199,993.1436,34745.504446716,"2018-03-01"
"179","7SPH7DSPS","Sapinhoá","Santos",28136.386,1028.7424,34606.980234944,"2018-03-01"
"180","7LL83DRJS","Lula","Santos",26499.1789,1266.6635,34466.251648935,"2018-03-01"
"181","7LL15DRJS","Lula","Santos",27092.1414,992.7438,33336.311280678,"2018-03-01"
"182","7LL48DRJS","Lula","Santos",26977.7083,913.8729,32725.795205149,"2018-03-01"
"183","7LL73DRJS","Lula","Santos",22906.6391,1457.4684,32073.838417004,"2018-03-01"
"184","7LL97RJS","Lula","Santos",26095.0282,913.2112,31838.953137872,"2018-03-01"
"185","7LL91RJS","Lula","Santos",26478.0817,852.1372,31837.862781932,"2018-03-01"
"186","9LL7RJS","Lula","Santos",25007.3577,1002.3028,31311.651874468,"2018-03-01"
"187","7SPH14DSPS","Sapinhoá","Santos",24941.026,1002.2029,31244.691822449,"2018-03-01"
"188","7LL27RJS","Lula","Santos",23172.1586,1206.7327,30762.278003787,"2018-03-01"
"189","9BRSA928SPS","Sapinhoá","Santos",24854.0247,887.4922,30436.182014482,"2018-03-01"
"190","7LL69RJS","Lula","Santos",24984.5982,818.9064,30135.363863784,"2018-03-01"
"191","7SPH8SPS","Sapinhoá","Santos",24297.0438,895.6031,29930.217134411,"2018-03-01"
"192","7LL90DRJS","Lula","Santos",24138.7729,850.5071,29488.300962651,"2018-03-01"
"193","9LL2RJS","Lula","Santos",21777.729,1217.8919,29438.037651539,"2018-03-01"
"194","7SPH4DSPS","Sapinhoá","Santos",23917.0707,823.9147,29099.337619207,"2018-03-01"
"195","7LL45DRJS","Lula","Santos",21930.8364,1131.5537,29048.094177797,"2018-03-01"
"196","6BRSA1222AESS","Jubarte³","Campos",24108.0888,749.4244,28821.825885364,"2018-03-01"
"197","3BRSA788SPS","Sapinhoá","Santos",22012.1845,1007.9185,28351.800360485,"2018-03-01"
"198","7SPH3SPS","Sapinhoá","Santos",20806.3656,1146.3912,28016.948433672,"2018-03-01"
"199","7LL22DRJS","Lula","Santos",22931.9787,781.9399,27850.232102419,"2018-03-01"
"200","7JUB34HESS","Jubarte³","Campos",22594.7926,796.5565,27604.981639265,"2018-03-01"
"201","9LL12DRJS","Lula","Santos",21892.0467,770.7301,26739.792590281,"2018-03-01"
"202","7LL102DRJS","Lula","Santos",21807.7393,744.9771,26493.503713351,"2018-03-01"
"203","3BRSA496RJS","Lula","Santos",19839.9511,1043.8243,26405.407620383,"2018-03-01"
"204","9LL19RJS","Lula","Santos",22121.5773,662.6888,26289.763941128,"2018-03-01"
"205","7LPA1DSPS","Lapa","Santos",21910.5531,668.8201,26117.304453181,"2018-03-01"
"206","8LL37DRJS","Lula","Santos",19841.259,941.5884,25763.671134204,"2018-03-01"
"207","7LL28DRJS","Lula","Santos",20780.6742,729.6276,25369.893174756,"2018-03-01"
"208","7LL31DRJS","Lula","Santos",18964.0251,929.2847,24809.049298907,"2018-03-01"
"209","7BFR7ESS","Baleia Franca³","Campos",19856.6435,672.3619,24085.672102239,"2018-03-01"
"210","7LL51RJS","Lula","Santos",18214.945,884.8782,23780.660751142,"2018-03-01"
"211","7LL46RJS","Lula","Santos",18489.2167,836.8354,23752.752367274,"2018-03-01"
"212","7JUB58DPAESS","Jubarte³","Campos",18968.7473,632.502,22947.06470462,"2018-03-01"
"213","7LL85RJS","Lula","Santos",17416.0929,873.4746,22910.082173826,"2018-03-01"
"214","7LL63DRJS","Lula","Santos",17540.1253,853.1254,22906.121972174,"2018-03-01"
"215","7LL84DRJS","Lula","Santos",17675.7734,594.9748,21418.051846788,"2018-03-01"
"216","3BRSA865ARJS","Lula","Santos",17271.5823,642.573,21313.24438113,"2018-03-01"
"217","7SPH5SPS","Sapinhoá","Santos",15141.154,892.9596,20757.700221676,"2018-03-01"
"218","9BRSA1212RJS","Sururu","Santos",16835.6686,512.3173,20058.047076713,"2018-03-01"
"219","7LL79DRJS","Lula","Santos",16371.9002,545.7349,19804.469031369,"2018-03-01"
"220","7BFR12PAESS","Baleia Franca³","Campos",15146.1041,678.0705,19411.038711605,"2018-03-01"
"221","8LPA2DSPS","Lapa","Santos",16418.9444,401.7344,18945.777446464,"2018-03-01"
"222","7LL17DRJS","Lula","Santos",15587.3601,523.3847,18879.350419907,"2018-03-01"
"223","7LL66RJS","Lula","Santos",14814.9432,519.9904,18085.584017824,"2018-03-01"
"224","7JUB57DPAESS","Jubarte³","Campos",13723.9775,496.7921,16848.705418501,"2018-03-01"
"225","3BRSA839ARJS","Lula","Santos",13067.2893,569.1015,16646.829605715,"2018-03-01"
"226","3BRSA830RJS","Lula","Santos",10887.458,839.7954,16169.611504874,"2018-03-01"
"227","7LL58RJS","Lula","Santos",13182.6074,437.7013,15935.665413753,"2018-03-01"
"228","7BAZ8ESS","Baleia Azul³","Campos",12869.2465,405.9112,15422.350824872,"2018-03-01"
"229","6BRSA639ESS","Jubarte³","Campos",11324.5832,435.3986,14063.157668266,"2018-03-01"
"230","7JUB44ESS","Jubarte³","Campos",10749.1849,311.821,12710.47974401,"2018-03-01"
"231","9BRSA908DRJS","Lula","Santos",8969.5635,573.4481,12576.443093861,"2018-03-01"
"232","7BAZ4ESS","Baleia Azul³","Campos",9832.4215,376.0857,12197.929096717,"2018-03-01"
"233","7SPH16DSPS","Sapinhoá","Santos",9507.9051,421.7096,12160.378359176,"2018-03-01"
"234","8JUB39ESS","Jubarte³","Campos",10075.7962,296.5624,11941.117349144,"2018-03-01"
"235","7MLL73DRJS","Marlim Leste","Campos",9585.6867,177.5047,10702.157537107,"2018-03-01"
"236","7MLL78DRJS","Marlim Leste","Campos",7700.8353,148.1552,8632.703358512,"2018-03-01"
"237","7JUB55ESS","Jubarte³","Campos",7006.3409,219.7317,8388.411543977,"2018-03-01"
"238","7LL61RJS","Lula","Santos",6677.0862,221.2384,8068.633700704,"2018-03-01"
"239","6BRSA631DBESS","Baleia Azul³","Campos",6113.9548,204.9186,7402.853859466,"2018-03-01"
"240","7BAZ3ESS","Baleia Azul³","Campos",5096.8349,168.582,6157.18364942,"2018-03-01"
"241","7LL3DRJS","Lula","Santos",4685.4312,161.9435,5704.025045735,"2018-03-01"
"242","7BR69DARJS","Barracuda/Caratinga","Campos",5169.0354,74.4601,5637.375281581,"2018-03-01"
"243","6BRSA770DRJS","Marlim/Voador","Campos",4687.9216,140.9719,5574.608066339,"2018-03-01"
"244","3BRSA883RJS","Lula","Santos",3408.9104,186.1733,4579.905084073,"2018-03-01"
"245","7LL8HRJS","Lula","Santos",2945.0735,236.8615,4434.887331315,"2018-03-01"
"246","7MLL72RJS","Marlim Leste","Campos",3723.6868,79.785,4225.51929085,"2018-03-01"
"247","6BRSA817RJS","Marlim Leste","Campos",3679.196,69.4041,4115.734602221,"2018-03-01"
"248","7LL60DRJS","Lula","Santos",2659.774,144.4842,3568.552166002,"2018-03-01"
"249","3BRSA1017DRJS","Marlim Leste","Campos",2992.834,45.0614,3276.261644334,"2018-03-01"
"250","7CRT49RJS","Barracuda/Caratinga","Campos",2891.2418,53.01,3224.6646281,"2018-03-01"
"251","7LL106DARJS","Lula","Santos",2003.8606,59.5088,2378.159645328,"2018-03-01"
"252","7PM  0017D RJS","Pampo","Campos",64.4854,1.4632,73.688649992,"2018-03-01"
"253","7SPH2DSPS","Sapinhoá","Santos",0.8372,0.0285,1.016459585,"2018-03-01"
"254","Total Geral",NA,NA,1395903.5868,55486.5776,1744903.61745426,"2018-03-01"
"255","3BRSA1305ARJS","Mero","Santos",36085.0088,2352.1568,50879.628162208,"2018-04-01"
"256","8LL87DRJS","Lula","Santos",32568.6917,1091.5906,39434.589171786,"2018-04-01"
"257","7SPH17SPS","Sapinhoá","Santos",31687.8166,1076.3976,38458.152988456,"2018-04-01"
"258","7LL36ARJS","Lula","Santos",28164.4118,1360.7132,36723.039292492,"2018-04-01"
"259","7LL80DBRJS","Lula","Santos",29947.8923,1035.7789,36462.744783009,"2018-04-01"
"260","7LL48DRJS","Lula","Santos",29727.9601,1014.355,36108.06032255,"2018-04-01"
"261","8LL81DRJS","Lula","Santos",29012.89,1047.5767,35601.948403427,"2018-04-01"
"262","7LL83DRJS","Lula","Santos",26812.8518,1285.6606,34899.412698486,"2018-04-01"
"263","7SPH7DSPS","Sapinhoá","Santos",27769.8229,1016.6627,34164.438117087,"2018-04-01"
"264","7LL73DRJS","Lula","Santos",24464.5699,1470.2123,33711.925926663,"2018-04-01"
"265","7LL63DRJS","Lula","Santos",25353.2182,1247.2509,33198.189383329,"2018-04-01"
"266","7SPH14DSPS","Sapinhoá","Santos",25526.7809,1113.0849,32527.873434869,"2018-04-01"
"267","7LL15DRJS","Lula","Santos",26396.866,968.4844,32488.448863964,"2018-04-01"
"268","7LL84DRJS","Lula","Santos",26707.8652,906.3997,32408.947097057,"2018-04-01"
"269","8LL37DRJS","Lula","Santos",24688.6857,1163.0686,32004.166210966,"2018-04-01"
"270","7LL91RJS","Lula","Santos",26295.5395,904.0172,31981.635924732,"2018-04-01"
"271","9LL7RJS","Lula","Santos",25219.2997,981.111,31390.30147891,"2018-04-01"
"272","3BRSA496RJS","Lula","Santos",23429.9532,1233.6582,31189.428882942,"2018-04-01"
"273","7LL97RJS","Lula","Santos",25545.088,877.9222,31067.051832782,"2018-04-01"
"274","3BRSA839ARJS","Lula","Santos",24361.876,1056.2397,31005.423027457,"2018-04-01"
"275","7LL60DRJS","Lula","Santos",23073.7183,1224.6446,30776.500151526,"2018-04-01"
"276","7LL27RJS","Lula","Santos",23011.3254,1201.8511,30570.740467291,"2018-04-01"
"277","9LL2RJS","Lula","Santos",22109.4912,1246.2709,29948.298369529,"2018-04-01"
"278","7LL22DRJS","Lula","Santos",24349.2657,831.4712,29579.061568472,"2018-04-01"
"279","3BRSA788SPS","Sapinhoá","Santos",22799.8014,1051.1446,29411.301216526,"2018-04-01"
"280","7LL45DRJS","Lula","Santos",21873.5489,1152.1482,29120.342169842,"2018-04-01"
"281","7LL28DRJS","Lula","Santos",23721.6301,835.8645,28979.058990745,"2018-04-01"
"282","7LL79DRJS","Lula","Santos",23912.6961,805.4581,28978.874511961,"2018-04-01"
"283","7LL69RJS","Lula","Santos",24015.5395,771.7915,28869.961394615,"2018-04-01"
"284","7JUB34HESS","Jubarte³","Campos",23327.7092,847.8414,28660.470516134,"2018-04-01"
"285","6BRSA1222AESS","Jubarte³","Campos",23667.7722,777.6106,28558.795127986,"2018-04-01"
"286","7LL90DRJS","Lula","Santos",22936.2228,774.5017,27807.691337677,"2018-04-01"
"287","9LL19RJS","Lula","Santos",22905.7604,691.5872,27255.712486432,"2018-04-01"
"288","3BRSA883RJS","Lula","Santos",20257.4403,1106.8096,27219.062390176,"2018-04-01"
"289","7LPA1DSPS","Lapa","Santos",22718.67,715.4526,27218.730918006,"2018-04-01"
"290","7LL102DRJS","Lula","Santos",20825.5437,706.2283,25267.585523623,"2018-04-01"
"291","7BFR7ESS","Baleia Franca³","Campos",20006.1471,669.9365,24219.920397065,"2018-04-01"
"292","7LL46RJS","Lula","Santos",18874.0364,847.0447,24201.786624507,"2018-04-01"
"293","7LL85RJS","Lula","Santos",17855.2636,874.1495,23353.497866595,"2018-04-01"
"294","9LL20DRJS","Lula","Santos",17736.4786,858.1193,23133.885954333,"2018-04-01"
"295","7JUB58DPAESS","Jubarte³","Campos",18518.1366,596.1847,22268.025087907,"2018-04-01"
"296","7LL31DRJS","Lula","Santos",16762.4692,816.2941,21896.803993121,"2018-04-01"
"297","3BRSA865ARJS","Lula","Santos",17171.4966,634.4534,21162.087939854,"2018-04-01"
"298","6BRSA639ESS","Jubarte³","Campos",16975.9332,591.426,20695.89036906,"2018-04-01"
"299","3BRSA830RJS","Lula","Santos",13804.0623,1071.5534,20543.929590854,"2018-04-01"
"300","7LL17DRJS","Lula","Santos",16686.2606,552.3907,20160.693148767,"2018-04-01"
"301","9BRSA1212RJS","Sururu","Santos",16303.9633,495.2514,19419.000508234,"2018-04-01"
