Poço,Campo,Bacia,Localização,Gás natural (Mm³/d),mes,Operador
3-BRSA-515-AM,Rio Urucu,Solimões,Terra,252.418875806452,2019-01-01,Petrobras
7-LUC-19D-AM,Leste Do Urucu,Solimões,Terra,237.618137741935,2019-01-01,Petrobras
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,587.336675714286,2019-02-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,534.809002857143,2019-02-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,523.212128928571,2019-02-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,511.762855,2019-02-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,471.825040357143,2019-02-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,447.690450714286,2019-02-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,426.613497142857,2019-02-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,422.623445357143,2019-02-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,422.365185357143,2019-02-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,421.0924825,2019-02-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,409.100013214286,2019-02-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,406.056217142857,2019-02-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,399.007698214286,2019-02-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,373.286171785714,2019-02-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,360.116484285714,2019-02-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,347.07464,2019-02-01,NA
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,336.547596785714,2019-02-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,324.702013928571,2019-02-01,NA
7-RUC-107HP-AM,Rio Urucu,Solimões,Terra,323.700305,2019-02-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,322.723891428571,2019-02-01,NA
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,310.79066,2019-02-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,297.268927857143,2019-02-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,291.116430357143,2019-02-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,290.441928571429,2019-02-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,284.816302857143,2019-02-01,NA
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,282.163896785714,2019-02-01,NA
7-LUC-69HP-AM,Leste Do Urucu,Solimões,Terra,261.892553214286,2019-02-01,NA
7-RUC-86H-AM,Rio Urucu,Solimões,Terra,259.84135035714303,2019-02-01,NA
7-RUC-92DP-AM,Rio Urucu,Solimões,Terra,259.779916428571,2019-02-01,NA
7-RUC-65DP-AM,Rio Urucu,Solimões,Terra,251.016283571429,2019-02-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,567.410958064516,2019-03-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,540.766326774194,2019-03-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,483.909690645161,2019-03-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,469.712282258065,2019-03-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,442.471776451613,2019-03-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,437.628975483871,2019-03-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,425.028278387097,2019-03-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,418.76357,2019-03-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,412.669289354839,2019-03-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,408.794212903226,2019-03-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,405.074296129032,2019-03-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,404.341253225806,2019-03-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,398.889186774194,2019-03-01,NA
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,392.297657096774,2019-03-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,369.53710483871,2019-03-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,363.475641612903,2019-03-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,352.657785483871,2019-03-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,334.506276774194,2019-03-01,NA
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,314.706462580645,2019-03-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,310.914316774194,2019-03-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,307.20951483871,2019-03-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,295.063371612903,2019-03-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,294.616677419355,2019-03-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,287.739227096774,2019-03-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,285.104926774194,2019-03-01,NA
3-BRSA-515-AM,Rio Urucu,Solimões,Terra,265.90548516129,2019-03-01,NA
7-RUC-24D-AM,Rio Urucu,Solimões,Terra,255.678512258065,2019-03-01,NA
9-RUC-63D-AM,Rio Urucu,Solimões,Terra,253.929388064516,2019-03-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,253.917522903226,2019-03-01,NA
7-RUC-86H-AM,Rio Urucu,Solimões,Terra,250.47026,2019-03-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,575.577086333333,2019-04-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,490.166736666667,2019-04-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,482.286544,2019-04-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,468.217428,2019-04-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,445.563329666667,2019-04-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,417.019624333333,2019-04-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,411.116433,2019-04-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,407.569211,2019-04-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,399.213964,2019-04-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,397.530477333333,2019-04-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,396.755981666667,2019-04-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,396.400926,2019-04-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,384.960015333333,2019-04-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,375.199268333333,2019-04-01,NA
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,342.341028,2019-04-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,341.319022,2019-04-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,336.563775333333,2019-04-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,330.163367666667,2019-04-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,319.228285333333,2019-04-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,305.417475666667,2019-04-01,NA
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,299.945977,2019-04-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,287.170783333333,2019-04-01,NA
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,281.009375666667,2019-04-01,NA
9-RUC-63D-AM,Rio Urucu,Solimões,Terra,278.660937333333,2019-04-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,278.167337666667,2019-04-01,NA
3-BRSA-515-AM,Rio Urucu,Solimões,Terra,270.375707,2019-04-01,NA
7-RUC-86H-AM,Rio Urucu,Solimões,Terra,262.875918,2019-04-01,NA
7-RUC-24D-AM,Rio Urucu,Solimões,Terra,261.390690666667,2019-04-01,NA
7-RUC-107HP-AM,Rio Urucu,Solimões,Terra,259.136901333333,2019-04-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,255.261328333333,2019-04-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,589.79935516129,2019-05-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,573.141741935484,2019-05-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,499.597558709677,2019-05-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,488.315334193548,2019-05-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,465.31567,2019-05-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,439.053444516129,2019-05-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,422.709457419355,2019-05-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,422.134556129032,2019-05-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,403.26258,2019-05-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,396.23473483871,2019-05-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,389.513174516129,2019-05-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,382.597788709677,2019-05-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,381.730368709677,2019-05-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,374.874398709677,2019-05-01,NA
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,360.097340967742,2019-05-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,354.603248387097,2019-05-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,348.869179354839,2019-05-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,338.117237419355,2019-05-01,NA
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,324.988404193548,2019-05-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,321.053122258065,2019-05-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,319.324138387097,2019-05-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,293.675913548387,2019-05-01,NA
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,288.479763870968,2019-05-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,287.361732258065,2019-05-01,NA
7-RUC-107HP-AM,Rio Urucu,Solimões,Terra,285.83083,2019-05-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,285.096639354839,2019-05-01,NA
9-RUC-63D-AM,Rio Urucu,Solimões,Terra,278.073568709677,2019-05-01,NA
3-BRSA-515-AM,Rio Urucu,Solimões,Terra,271.417980967742,2019-05-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,253.381354516129,2019-05-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,252.231607741935,2019-05-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,598.876958666667,2019-06-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,575.510518666667,2019-06-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,508.600992,2019-06-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,506.550002,2019-06-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,468.319206,2019-06-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,455.380722666667,2019-06-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,454.767121666667,2019-06-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,430.142466,2019-06-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,406.8734,2019-06-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,396.318635333333,2019-06-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,389.568838,2019-06-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,389.339625,2019-06-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,382.551364666667,2019-06-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,381.987774,2019-06-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,378.101472333333,2019-06-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,376.449602333333,2019-06-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,373.18505,2019-06-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,356.787970666667,2019-06-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,352.911668,2019-06-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,349.568616666667,2019-06-01,NA
7-RUC-107HP-AM,Rio Urucu,Solimões,Terra,344.976166,2019-06-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,318.897325666667,2019-06-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,306.074268,2019-06-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,299.481109666667,2019-06-01,NA
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,298.601959,2019-06-01,NA
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,293.328551,2019-06-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,291.180545333333,2019-06-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,286.257195333333,2019-06-01,NA
7-RUC-86H-AM,Rio Urucu,Solimões,Terra,285.467201333333,2019-06-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,279.243673333333,2019-06-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,598.114160967742,2019-07-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,579.265581290323,2019-07-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,526.283014516129,2019-07-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,482.791934193548,2019-07-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,471.418538064516,2019-07-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,466.562403548387,2019-07-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,428.660945483871,2019-07-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,411.690221935484,2019-07-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,390.53644,2019-07-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,387.736544516129,2019-07-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,386.940443870968,2019-07-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,380.456761935484,2019-07-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,374.276625806452,2019-07-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,370.362566129032,2019-07-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,365.080662580645,2019-07-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,355.162703548387,2019-07-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,344.637051612903,2019-07-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,339.34376516129,2019-07-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,332.764008064516,2019-07-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,314.103668064516,2019-07-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,302.751900967742,2019-07-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,301.722603548387,2019-07-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,299.294516774194,2019-07-01,NA
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,297.692459354839,2019-07-01,NA
7-GVR-25D-MA,Gavião Real,Parnaíba,Terra,296.287263225806,2019-07-01,NA
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,287.104786451613,2019-07-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,286.757916451613,2019-07-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,284.419207419355,2019-07-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,280.641318387097,2019-07-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,280.275060967742,2019-07-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,613.865876774194,2019-08-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,541.405645483871,2019-08-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,541.095017419355,2019-08-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,504.740436451613,2019-08-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,463.291378064516,2019-08-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,461.840735483871,2019-08-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,454.075110967742,2019-08-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,405.369207419355,2019-08-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,394.869529677419,2019-08-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,391.579872903226,2019-08-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,383.353341935484,2019-08-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,382.150263870968,2019-08-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,377.111660322581,2019-08-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,373.457289354839,2019-08-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,372.106267741935,2019-08-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,368.304522580645,2019-08-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,359.967280322581,2019-08-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,351.920278064516,2019-08-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,323.199017741935,2019-08-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,314.442362903226,2019-08-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,306.720786129032,2019-08-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,298.807219032258,2019-08-01,NA
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,293.696366774194,2019-08-01,NA
7-RUC-86H-AM,Rio Urucu,Solimões,Terra,293.406199354839,2019-08-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,290.378814516129,2019-08-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,280.682126774194,2019-08-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,279.731319354839,2019-08-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,279.181602258065,2019-08-01,NA
7-GVR-25D-MA,Gavião Real,Parnaíba,Terra,272.903740645161,2019-08-01,NA
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,269.287437419355,2019-08-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,572.883712,2019-09-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,524.808376666667,2019-09-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,508.436338333333,2019-09-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,506.478127666667,2019-09-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,501.863335,2019-09-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,467.632778333333,2019-09-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,440.798841666667,2019-09-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,416.501782,2019-09-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,402.972103666667,2019-09-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,398.612203333333,2019-09-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,396.292644,2019-09-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,394.192829,2019-09-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,394.074636,2019-09-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,391.691631,2019-09-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,389.951611666667,2019-09-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,385.611773666667,2019-09-01,NA
7-GVR-24D-MA,Gavião Real,Parnaíba,Terra,377.491376666667,2019-09-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,375.28243199999997,2019-09-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,363.099141,2019-09-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,357.099054,2019-09-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,354.038125666667,2019-09-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,349.36283,2019-09-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,343.752907,2019-09-01,NA
7-GVR-25D-MA,Gavião Real,Parnaíba,Terra,342.665422666667,2019-09-01,NA
3-PGN-4-MA,Gavião Branco,Parnaíba,Terra,338.135784,2019-09-01,NA
7-GBSE-2D-MA,Gavião Branco,Parnaíba,Terra,335.254880666667,2019-09-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,326.913715,2019-09-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,300.380191666667,2019-09-01,NA
7-GVC-3D-MA,Gavião Caboclo,Parnaíba,Terra,298.953407666667,2019-09-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,296.950257333333,2019-09-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,587.668653548387,2019-10-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,561.826178709677,2019-10-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,534.482381935484,2019-10-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,531.503399354839,2019-10-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,528.413199032258,2019-10-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,453.519263548387,2019-10-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,450.660717096774,2019-10-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,445.698593225806,2019-10-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,425.227402580645,2019-10-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,410.899522580645,2019-10-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,394.674631612903,2019-10-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,392.361754193548,2019-10-01,NA
7-GVB-10-MA,Gavião Branco,Parnaíba,Terra,382.884687096774,2019-10-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,382.612348709677,2019-10-01,NA
7-GVB-6-MA,Gavião Branco,Parnaíba,Terra,382.34769516129,2019-10-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,375.965605483871,2019-10-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,369.683469354839,2019-10-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,367.20446,2019-10-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,357.036637419355,2019-10-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,351.471991935484,2019-10-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,350.774493225806,2019-10-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,343.537093870968,2019-10-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,342.970408387097,2019-10-01,NA
7-GVC-3D-MA,Gavião Caboclo,Parnaíba,Terra,319.131866451613,2019-10-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,307.61682483871,2019-10-01,NA
3-PGN-7D-MA,Gavião Vermelho,Parnaíba,Terra,307.414161612903,2019-10-01,NA
1-OGX-121-MA,Gavião Vermelho,Parnaíba,Terra,298.787846129032,2019-10-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,294.646712580645,2019-10-01,NA
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,293.649868387097,2019-10-01,NA
7-GVC-4D-MA,Gavião Caboclo,Parnaíba,Terra,292.231654516129,2019-10-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,567.114247333333,2019-11-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,566.910733333333,2019-11-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,543.452136,2019-11-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,532.0244,2019-11-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,526.131755666667,2019-11-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,471.955667,2019-11-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,459.227096,2019-11-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,445.406506333333,2019-11-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,431.016496,2019-11-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,410.043766333333,2019-11-01,NA
7-GVB-6-MA,Gavião Branco,Parnaíba,Terra,407.370057666667,2019-11-01,NA
7-GVB-10-MA,Gavião Branco,Parnaíba,Terra,402.3086,2019-11-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,394.540774,2019-11-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,385.426271666667,2019-11-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,385.155438333333,2019-11-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,366.119351333333,2019-11-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,363.075040666667,2019-11-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,362.403022666667,2019-11-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,357.330627333333,2019-11-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,347.66402,2019-11-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,347.66402,2019-11-01,NA
7-GBSE-2D-MA,Gavião Branco,Parnaíba,Terra,347.107128,2019-11-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,342.195750333333,2019-11-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,337.872486,2019-11-01,NA
