...1,Período,produto
Gás Total,2017-09-01,113.899435112333
Gás Total,2018-02-01,109.812798781786
Gás Total,2018-03-01,106.972201362581
Gás Total,2018-06-01,114.923182511667
Gás Total,2018-07-01,115.969689001613
Gás Total,2018-08-01,106.367384568065
Gás Total,2018-09-01,112.902110679333
GASA,2018-10-01,90.1837460574194
GASN,2018-10-01,26.8533906970968
Gás Total,2018-10-01,117.037136754516
GASA,2018-11-01,88.842747727
GASN,2018-11-01,23.5091080053333
Gás Total,2018-11-01,112.351855732333
GASA,2018-09-01,87.7959347426667
GASA,2018-10-01,90.1837460574194
GASA,2018-11-01,88.8427496886667
GASA,2018-12-01,93.2741811374193
GASN,2018-09-01,25.1061759366667
GASN,2018-10-01,26.8533906970968
GASN,2018-11-01,23.5091080053333
GASN,2018-12-01,20.4096585658064
Gás Total,2018-09-01,112.902110679333
Gás Total,2018-10-01,117.037136754516
Gás Total,2018-11-01,112.351857694
Gás Total,2018-12-01,113.683839703226
GASA,2018-11-01,88.8427496886667
GASA,2018-12-01,93.2741811374193
GASA,2019-01-01,92.2647566712903
GASN,2018-12-01,20.4096585658064
GASN,2019-01-01,20.9319000490322
Gás Total,2018-11-01,112.351857694
Gás Total,2018-12-01,113.683839703226
Gás Total,2019-01-01,113.196656720323
GASA,2019-02-01,89.5874699621428
GASN,2019-02-01,20.5651407682143
Gás Total,2019-02-01,110.152610730357
GASA,2019-03-01,92.5816703664516
GASN,2019-03-01,18.9096413048387
Gás Total,2019-03-01,111.49131167129
GASA,2019-03-01,92.5816742374193
GASA,2019-04-01,94.033607284
GASN,2019-04-01,18.894523033
Gás Total,2019-03-01,111.491315542258
Gás Total,2019-04-01,112.928130317
GASA,2019-05-01,98.5109403651613
GASN,2019-05-01,19.4282871616129
Gás Total,2019-05-01,117.939227526774
GASA,2019-05-01,98.5111299658064
GASA,2019-06-01,92.0403059303333
GASN,2019-06-01,19.111857669
Gás Total,2019-05-01,117.939417127419
Gás Total,2019-06-01,111.152163599333
GASA,2019-07-01,100.704296007097
GASN,2019-07-01,23.4523908290322
Gás Total,2019-07-01,124.156686836129
GASA,2019-08-01,107.599570959032
GASN,2019-08-01,25.7231392590323
Gás Total,2019-08-01,133.322710218065
GASA,2019-01-01,92.2647566712903
GASA,2019-02-01,89.5874699621428
GASA,2019-03-01,92.5816742374193
GASA,2019-04-01,94.033607284
GASA,2019-05-01,98.5111299658064
GASA,2019-06-01,92.0403059303333
GASA,2019-07-01,100.704296007097
GASA,2019-08-01,107.599664166129
GASA,2019-09-01,102.903797009333
GASN,2019-01-01,20.9319000490322
GASN,2019-02-01,20.5651407682143
GASN,2019-03-01,18.9096413048387
GASN,2019-04-01,18.894523033
GASN,2019-05-01,19.4282871616129
GASN,2019-06-01,19.111857669
GASN,2019-07-01,23.4523908290322
GASN,2019-08-01,25.7231392590323
GASN,2019-09-01,25.9525519183333
Gás Total,2019-01-01,113.196656720323
Gás Total,2019-02-01,110.152610730357
Gás Total,2019-03-01,111.491315542258
Gás Total,2019-04-01,112.928130317
Gás Total,2019-05-01,117.939417127419
Gás Total,2019-06-01,111.152163599333
Gás Total,2019-07-01,124.156686836129
Gás Total,2019-08-01,133.322803425161
Gás Total,2019-09-01,128.856348927667
GASA,2019-10-01,106.116400765484
GASN,2019-10-01,25.4782599051613
Gás Total,2019-10-01,131.594660670645
GASA,2019-11-01,110.587249003667
GASN,2019-11-01,26.0096053323333
Gás Total,2019-11-01,136.596854336
GASA,2019-12-01,111.910465947742
GASN,2019-12-01,25.8703816696774
Gás Total,2019-12-01,137.780847617419
GASA,2019-12-01,111.927529607097
GASA,2020-01-01,111.606428019355
GASN,2019-12-01,25.8514826087097
GASN,2020-01-01,27.1464900745161
Gás Total,2019-12-01,137.779012215806
Gás Total,2020-01-01,138.752918093871
GASA,2020-01-01,111.606382977419
GASA,2020-02-01,105.872977705517
GASN,2020-02-01,23.062257192069
Gás Total,2020-01-01,138.752873051935
Gás Total,2020-02-01,128.935234897586
GASA,2020-03-01,106.979967053226
GASN,2020-03-01,14.7693720470968
Gás Total,2020-03-01,121.749339100323
GASA,2020-04-01,110.560868492667
GASN,2020-04-01,13.444934752
Gás Total,2020-04-01,124.005803244667
GASA,2020-05-01,100.042554264194
GASN,2020-05-01,14.324577943871
Gás Total,2020-05-01,114.367132208065
GASA,2020-06-01,110.286178831
GASN,2020-06-01,18.1863721676667
Gás Total,2020-06-01,128.472550998667
GASA,2020-07-01,112.304323348065
GASN,2020-07-01,18.0279311735484
Gás Total,2020-07-01,130.332254521613
GASA,2020-08-01,115.870494624839
GASN,2020-08-01,17.6453982403226
Gás Total,2020-08-01,133.515892865161
GASA,2020-08-01,115.870767130323
GASA,2020-09-01,107.663943362
GASN,2020-09-01,17.5919733476667
Gás Total,2020-08-01,133.516165370645
Gás Total,2020-09-01,125.255916709667
GASA,2020-10-01,107.543565923548
GASA,2020-11-01,103.821405414333
GASN,2020-10-01,22.5072436741935
GASN,2020-11-01,22.5764763036667
Gás Total,2020-10-01,130.050809597742
Gás Total,2020-11-01,126.397881718
GASA,2020-12-01,104.411092187419
GASN,2020-12-01,22.5661972864516
Gás Total,2020-12-01,126.977289473871
GASA,2020-10-01,107.542319997742
Gás Total,2020-10-01,130.049563671935
GASA,2021-01-01,112.923633849677
GASN,2021-01-01,23.4739473412903
Gás Total,2021-01-01,136.397581190968
GASA,2021-02-01,110.92859786
GASA,2021-03-01,111.468897237097
GASN,2021-02-01,20.1581858342857
GASN,2021-03-01,14.6174073780645
Gás Total,2021-02-01,131.086783694286
Gás Total,2021-03-01,126.086304615161
GASA,2021-03-01,111.468900401613
GASA,2021-04-01,116.795420427333
GASN,2021-04-01,14.6363809483333
Gás Total,2021-03-01,126.086307779677
Gás Total,2021-04-01,131.431801375667
GASA,2021-04-01,116.795662995
GASA,2021-05-01,114.275615646774
GASN,2021-04-01,14.6364295816667
GASN,2021-05-01,20.2784904816129
Gás Total,2021-04-01,131.432092576667
Gás Total,2021-05-01,134.554106128387
GASA,2021-06-01,114.143645619333
GASN,2021-06-01,21.6063841816667
Gás Total,2021-06-01,135.750029801
GASA,2021-07-01,117.577067214839
GASN,2021-07-01,21.5564295280645
Gás Total,2021-07-01,139.133496742903
GASA,2021-07-01,117.621592024516
GASA,2021-08-01,114.412748213871
GASN,2021-08-01,22.18164951
Gás Total,2021-07-01,139.178021552581
Gás Total,2021-08-01,136.594397723871
GASA,2021-08-01,114.414076474516
GASA,2021-09-01,116.463370722
GASN,2021-09-01,16.909514949
Gás Total,2021-08-01,136.595725984516
Gás Total,2021-09-01,133.372885671
GASA,2021-10-01,110.693614972258
GASN,2021-09-01,16.9198525223333
GASN,2021-10-01,21.0096445951613
Gás Total,2021-09-01,133.383223244333
Gás Total,2021-10-01,131.703259567419
GASA,2021-10-01,110.694510485161
GASA,2021-11-01,114.244503242333
GASA,2021-12-01,115.198514522581
GASN,2021-11-01,22.3404538483333
GASN,2021-12-01,17.0400373912903
Gás Total,2021-10-01,131.704155080323
Gás Total,2021-11-01,136.584957090667
Gás Total,2021-12-01,132.238551913871
GASA,2021-02-01,110.928570495357
Gás Total,2021-02-01,131.086756329643
GASA,2022-01-01,122.99121943129
GASA,2022-02-01,119.091181519286
GASA,2022-03-01,119.939590909677
GASA,2022-04-01,121.607716935667
GASN,2022-01-01,14.440096266129
GASN,2022-02-01,14.1290439996428
GASN,2022-03-01,14.5032691906452
GASN,2022-04-01,15.235003407
Gás Total,2022-01-01,137.431315697419
Gás Total,2022-02-01,133.220225518929
Gás Total,2022-03-01,134.442860100323
Gás Total,2022-04-01,136.842720342667
GASA,2022-01-01,122.987814882903
GASN,2022-01-01,14.4435008145161
GASA,2022-05-01,116.835945758065
GASA,2022-06-01,112.100966716
GASN,2022-03-01,14.5027691906452
